Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Armstrong;450700;UAP;1936;1936;1936;1936;3;7;0;2;0;5;2;L450000;1936;1990;x
Bester;450701;UAP;1936;1936;1936;1936;3;7;0;1;0;5;1;L450001;1936;1990;x
Beyers;450702;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;L450002;1936;1990;x
Borain;450703;UAP;1936;1936;1990;1990;3;7;0;1;0;5;0;L450003;1936;1990;x
Botha;450704;UAP;1936;1936;1936;1990;3;7;0;1;0;5;0;L450004;1936;1990;x
Brink  A.J.E.;450705;UAP;1936;1936;1990;1990;3;7;0;0;0;5;0;L450005;1936;1990;x
de Goujon de Thuisy;450706;UAP;1936;1936;1990;1990;3;7;0;0;0;5;2;L537011;1936;1990;x
Buchanan;450707;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450007;1936;1990;x
Cooper;450708;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450008;1936;1990;x
de Villiers;450709;UAP;1936;1990;1990;1990;3;7;0;2;0;5;1;L450009;1936;1990;x
de Weenburg du Toit;450710;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450010;1936;1990;x
Furstenburg;450711;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450011;1936;1990;x
Gilbert;450712;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450012;1936;1990;x
Hartshorn;450713;UAP;1936;1990;1990;1990;3;7;0;2;0;5;0;L450013;1936;1990;x
Hayton;450714;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;L450014;1936;1990;x
Hoare;450715;UAP;1936;1936;1990;1990;3;7;0;1;0;5;0;L450015;1936;1990;x
Johnston-Collyer;450716;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450016;1936;1990;x
Klopper;450717;UAP;1936;1936;1936;1936;3;7;0;1;0;5;0;L450017;1936;1990;x
Kriegler;450718;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450018;1936;1990;x
Mitchell-Baker;450719;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450019;1936;1990;x
Newton-King;450720;UAP;1936;1990;1990;1990;3;7;0;1;0;5;1;L450020;1936;1990;x
Palmer;450721;UAP;1936;1936;1936;1990;3;7;0;0;0;5;0;L450021;1936;1990;x
Pienaar;450722;UAP;1936;1936;1990;1990;3;7;0;0;0;5;0;L450022;1936;1990;x
Poole;450723;UAP;1936;1936;1936;1990;3;7;0;0;0;5;0;L450023;1936;1990;x
Ray;450724;UAP;1936;1936;1936;1990;3;7;0;0;0;5;2;L450024;1936;1990;x
Sautot;450725;UAP;1936;1936;1936;1990;3;7;0;2;0;5;1;M535009;1936;1990;x
