Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Ardant du Picq;240700;UBO;1936;1936;1936;1936;3;7;0;2;0;5;2;L24000;1936;1990;x
Arlabosse;240701;UBO;1936;1936;1936;1936;3;7;0;1;0;5;1;L24001;1936;1990;x
Armand;240702;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24002;1936;1990;x
Armingeat;240703;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24003;1936;1990;x
Audet;240704;UBO;1936;1936;1936;1990;3;7;0;1;0;5;0;L24005;1936;1990;x
Aymé;240705;UBO;1936;1936;1990;1990;3;7;0;0;0;5;0;L24006;1936;1990;x
Barreau;240706;UBO;1936;1936;1990;1990;3;7;0;0;0;5;2;L24007;1936;1990;x
Bastien;240707;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24008;1936;1990;x
Bertin-Boussus;240708;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24010;1936;1990;x
Bethouart;240709;UBO;1936;1990;1990;1990;3;7;0;2;0;5;1;L24011;1936;1990;x
Billotte;240710;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24012;1936;1990;x
Bingen;240711;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24013;1936;1990;x
Blanc;240712;UBO;1936;1990;1990;1990;3;7;0;1;0;5;0;L24014;1936;1990;x
Blanchard;240713;UBO;1936;1990;1990;1990;3;7;0;2;0;5;0;L24015;1936;1990;x
Blanchet;240714;UBO;1936;1936;1990;1990;3;7;0;0;0;5;1;L24016;1936;1990;x
Blaizot;240715;UBO;1936;1936;1990;1990;3;7;0;1;0;5;0;L24017;1936;1990;x
Bondis;240716;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24018;1936;1990;x
Bourges-Maunory;240717;UBO;1936;1936;1936;1936;3;7;0;1;0;5;0;L24019;1936;1990;x
Bridoux;240718;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24020;1936;1990;x
Brisac;240719;UBO;1936;1990;1990;1990;3;7;0;0;0;5;0;L24021;1936;1990;x
