Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Almazan;19700;UCS;1936;1936;1936;1936;3;7;0;2;0;5;2;L4500;1936;1990;x
Alvarez Algrea;19701;UCS;1936;1936;1936;1936;3;7;0;1;0;5;1;L4501;1936;1990;x
Amaro Dominguez;19702;UCS;1936;1936;1990;1990;3;7;0;0;0;5;1;L4502;1936;1990;x
Ávila Camacho;19703;UCS;1936;1936;1990;1990;3;7;0;1;0;5;0;L4503;1936;1990;x
Ballestreros Miranda;19704;UCS;1936;1936;1936;1990;3;7;0;1;0;5;0;L4504;1936;1990;x
Calles del Rio;19705;UCS;1936;1936;1990;1990;3;7;0;0;0;5;0;L4505;1936;1990;x
Calles Plutarco;19706;UCS;1936;1936;1990;1990;3;7;0;0;0;5;2;L4506;1936;1990;x
Cardenas del Rio;19707;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4507;1936;1990;x
Cardenas Rodriguez;19708;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4508;1936;1990;x
Díaz Ovalle;19709;UCS;1936;1990;1990;1990;3;7;0;2;0;5;1;L4509;1936;1990;x
Estrada Reynoso;19710;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4510;1936;1990;x
Figueroa Figueroa;19711;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4511;1936;1990;x
Garcia Barragan;19712;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4512;1936;1990;x
Garza Siller;19713;UCS;1936;1990;1990;1990;3;7;0;2;0;5;0;L4513;1936;1990;x
Guillermo Villasina;19714;UCS;1936;1936;1990;1990;3;7;0;0;0;5;1;L4514;1936;1990;x
Hernandéz Krumm;19715;UCS;1936;1936;1990;1990;3;7;0;1;0;5;0;L4515;1936;1990;x
Hill;19716;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4516;1936;1990;x
Jara Corona;19717;UCS;1936;1936;1936;1936;3;7;0;1;0;5;0;L4517;1936;1990;x
Lara Viejo;19718;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4518;1936;1990;x
Limon Marquez;19719;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4519;1936;1990;x
Macias Alvarez;19720;UCS;1936;1990;1990;1990;3;7;0;1;0;5;1;L4537;1936;1990;x
Mugica Valdéz;19721;UCS;1936;1936;1936;1990;3;7;0;0;0;5;0;L4521;1936;1990;x
Olachea Aviles;19722;UCS;1936;1936;1990;1990;3;7;0;0;0;5;0;L4522;1936;1990;x
Palafox;19723;UCS;1936;1936;1936;1990;3;7;0;0;0;5;0;L4523;1936;1990;x
Olachea Aviles;19724;UCS;1936;1936;1936;1990;3;7;0;0;0;5;2;L4554;1936;1990;x
Quiroga Escamilla;19725;UCS;1936;1936;1936;1990;3;7;0;2;0;5;1;L4525;1936;1990;x
Ramos Santos;19726;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4526;1936;1990;x
Rojas Razo;19727;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4527;1936;1990;x
Salgado Cordero;19728;UCS;1936;1990;1990;1990;3;7;0;0;0;5;0;L4528;1936;1990;x
Serrano;19729;UCS;1936;1990;1990;1990;3;7;0;1;0;5;0;L4529;1936;1990;x
Urquizo Benavides;19730;UCS;1936;1990;1990;1990;3;7;0;2;0;5;1;L4530;1936;1990;x
Zapata Vera;19731;UCS;1936;1936;1990;1990;3;7;0;1;0;5;0;L4531;1936;1990;x
Ángel Castillo;19732;UCS;1936;1936;1990;1990;3;7;0;0;0;5;1;L4532;1936;1990;x
Coello Ochoa;19733;UCS;1936;1936;1936;1936;3;7;0;0;0;5;0;L4533;1936;1990;x
