Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adair;77700;UES;1936;1936;1936;1936;3;7;0;2;0;5;2;L1000;1936;1990;x
Adam;77701;UES;1936;1936;1936;1936;3;7;0;1;0;5;1;L1001;1936;1990;x
Aikenhead;77702;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1002;1936;1990;x
Airey;77703;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1003;1936;1990;x
Aizlewood;77704;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1004;1936;1990;x
Alanbrooke;77705;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1005;1936;1990;x
Allfrey;77706;UES;1936;1936;1990;1990;3;7;0;0;0;5;2;L1007;1936;1990;x
Amyatt-Hull;77707;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1009;1936;1990;x
Arbuthnott;77708;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1012;1936;1990;x
Arkwright-Hore-Ruthven;77709;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1013;1936;1990;x
Baillon;77710;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1015;1936;1990;x
Baird of Stonehaven;77711;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1016;1936;1990;x
Balerno of Currie;77712;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1017;1936;1990;x
Balfour;77713;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1018;1936;1990;x
Ballentine;77714;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1019;1936;1990;x
Bancroft-Cooke;77715;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1020;1936;1990;x
Banks-MacDonald;77716;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1021;1936;1990;x
Bartholomew;77717;UES;1936;1936;1936;1936;3;7;0;1;0;5;0;L1024;1936;1990;x
Barstow;77718;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1025;1936;1990;x
Bastyan;77719;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1026;1936;1990;x
Bateman;77720;UES;1936;1990;1990;1990;3;7;0;1;0;5;1;L1027;1936;1990;x
Beard;77721;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1028;1936;1990;x
Beauman;77722;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1029;1936;1990;x
Beck;77723;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1030;1936;1990;x
Beckett;77724;UES;1936;1936;1936;1990;3;7;0;0;0;5;2;L1031;1936;1990;x
Beloe;77725;UES;1936;1936;1936;1990;3;7;0;2;0;5;1;L1033;1936;1990;x
Bernard;77726;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1034;1936;1990;x
Berney-Ficklin;77727;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1035;1936;1990;x
Betts;77728;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1036;1936;1990;x
Bird;77729;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1037;1936;1990;x
Birks;77730;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1038;1936;1990;x
Blakiston-Houston;77731;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1039;1936;1990;x
Blaxland;77732;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1040;1936;1990;x
Boddington;77733;UES;1936;1936;1936;1936;3;7;0;0;0;5;0;L1041;1936;1990;x
Bols;77734;UES;1936;1936;1936;1936;3;7;0;1;0;5;1;L1042;1936;1990;x
Boucher;77735;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1043;1936;1990;x
Bourne of Atherstone;77736;UES;1936;1936;1936;1990;3;7;0;2;0;5;0;L1044;1936;1990;x
Bower;77737;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1045;1936;1990;x
Broad;77738;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1049;1936;1990;x
Brocas-Burrows;77739;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1050;1936;1990;x
Brooke-Popham;77740;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1051;1936;1990;x
Brown;77741;UES;1936;1936;1990;1990;3;7;0;1;0;5;2;L1052;1936;1990;x
Bruce;77742;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1054;1936;1990;x
Bullen-Smith;77743;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1056;1936;1990;x
Calthrop-Thorne;77744;UES;1936;1936;1936;1990;3;7;0;1;0;5;1;L1059;1936;1990;x
Calvert-Jones;77745;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1060;1936;1990;x
Campbell of Achalader;77746;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1062;1936;1990;x
Campbell of Airds;77747;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1063;1936;1990;x
Cameron;77748;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1065;1936;1990;x
Carne;77749;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1066;1936;1990;x
Carr-White;77750;UES;1936;1936;1936;1936;3;7;0;1;0;5;0;L1067;1936;1990;x
Carton de Wiart;77751;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1068;1936;1990;x
Carver;77752;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1069;1936;1990;x
Charrington;77753;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1072;1936;1990;x
Christison;77754;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1074;1936;1990;x
Clark;77755;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1076;1936;1990;x
Clutterbuck;77756;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1078;1936;1990;x
Collett;77757;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1079;1936;1990;x
Collier;77758;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1080;1936;1990;x
Combe;77759;UES;1936;1936;1936;1990;3;7;0;2;0;5;1;L1081;1936;1990;x
Cottrell-Hill;77760;UES;1936;1936;1990;1990;3;7;0;0;0;5;2;L1082;1936;1990;x
Cox;77761;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1083;1936;1990;x
Craven-Vicary-Brevett;77762;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1084;1936;1990;x
Crocker;77763;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1085;1936;1990;x
Currie;77764;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1087;1936;1990;x
Custance;77765;UES;1936;1990;1990;1990;3;7;0;0;0;5;2;L1089;1936;1990;x
Dalrymple-Fanshawe;77766;UES;1936;1936;1936;1936;3;7;0;2;0;5;1;L1090;1936;1990;x
D'Arcy Anderson;77767;UES;1936;1936;1936;1990;3;7;0;0;0;5;1;L1091;1936;1990;x
Davy;77768;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1092;1936;1990;x
Dawnay;77769;UES;1936;1936;1936;1936;3;7;0;1;0;5;0;L1093;1936;1990;x
de Burgh;77770;UES;1936;1990;1990;1990;3;7;0;0;0;5;1;L1094;1936;1990;x
de la Poer Beresford-Peirse;77771;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1095;1936;1990;x
de la Poer Gough;77772;UES;1936;1990;1990;1990;3;7;0;0;0;5;1;L1096;1936;1990;x
de L'Isle;77773;UES;1936;1936;1990;1990;3;7;0;1;0;5;1;L1097;1936;1990;x
de Renzy-Channer;77774;UES;1936;1936;1990;1990;3;7;0;0;0;5;2;L1098;1936;1990;x
Denholm-Young;77775;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1100;1936;1990;x
de Riemer-Morgan;77776;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1101;1936;1990;x
des Voux;77777;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1102;1936;1990;x
Deverell;77778;UES;1936;1936;1990;1990;3;7;0;2;0;5;0;L1103;1936;1990;x
Dill;77779;UES;1936;1936;1990;1990;3;7;0;1;0;5;1;L1105;1936;1990;x
Dobbie;77780;UES;1936;1936;1990;1990;3;7;0;0;0;5;2;L1106;1936;1990;x
Dobie;77781;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1107;1936;1990;x
Dorman-Smith;77782;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1109;1936;1990;x
Down;77783;UES;1936;1936;1936;1990;3;7;0;0;0;5;1;L1110;1936;1990;x
Drew;77784;UES;1936;1936;1936;1990;3;7;0;2;0;5;0;L1111;1936;1990;x
Dunford-Slater;77785;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1113;1936;1990;x
Ebbels;77786;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1114;1936;1990;x
Erskine;77787;UES;1936;1990;1990;1990;3;7;0;0;0;5;1;L1115;1936;1990;x
Evelegh;77788;UES;1936;1936;1936;1990;3;7;0;1;0;5;2;L1117;1936;1990;x
Festing;77789;UES;1936;1990;1990;1990;3;7;0;0;0;5;1;L1120;1936;1990;x
Fisher;77790;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1121;1936;1990;x
Fitzpatrick;77791;UES;1936;1990;1990;1990;3;7;0;1;0;5;1;L1122;1936;1990;x
Floyer-Acland;77792;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1123;1936;1990;x
Fortune;77793;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1124;1936;1990;x
Fowkes;77794;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1125;1936;1990;x
Fox-Pitt;77795;UES;1936;1936;1936;1990;3;7;0;0;0;5;1;L1126;1936;1990;x
Franklyn;77796;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1127;1936;1990;x
Fraser;77797;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1128;1936;1990;x
Frost;77798;UES;1936;1936;1990;1990;3;7;0;2;0;5;1;L1129;1936;1990;x
Gairdner;77799;UES;1936;1990;1990;1990;3;7;0;2;0;5;2;L1130;1936;1990;x
Gale;77800;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1131;1936;1990;x
Gambier-Parry;77801;UES;1936;1990;1990;1990;3;7;0;0;0;5;1;L1132;1936;1990;x
Gatehouse;77802;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1133;1936;1990;x
Giffard;77803;UES;1936;1990;1990;1990;3;7;0;1;0;5;1;L1134;1936;1990;x
Godley;77804;UES;1936;1936;1936;1936;3;7;0;0;0;5;0;L1135;1936;1990;x
Godwin-Austin;77805;UES;1936;1990;1990;1990;3;7;0;0;0;5;1;L1136;1936;1990;x
Gordon-Finlayson;77806;UES;1936;1936;1936;1990;3;7;0;2;0;5;2;L1137;1936;1990;x
Gort;77807;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1138;1936;1990;x
Gott;77808;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1139;1936;1990;x
Gough;77809;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1140;1936;1990;x
