Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Aakerhielm;89700;UGS;1936;1936;1936;1936;3;7;0;2;0;5;2;L9000;1936;1990;x
af Klercker;89701;UGS;1936;1936;1936;1936;3;7;0;1;0;5;1;L9001;1936;1990;x
Andrén;89702;UGS;1936;1936;1990;1990;3;7;0;0;0;5;1;L9002;1936;1990;x
Backlund;89703;UGS;1936;1936;1990;1990;3;7;0;1;0;5;0;L9003;1936;1990;x
Bennedich;89704;UGS;1936;1936;1936;1990;3;7;0;1;0;5;0;L9004;1936;1990;x
Bredberg;89705;UGS;1936;1936;1990;1990;3;7;0;0;0;5;0;L9005;1936;1990;x
Cederskiöld;89706;UGS;1936;1936;1990;1990;3;7;0;0;0;5;2;L9006;1936;1990;x
Douglas;89707;UGS;1936;1990;1990;1990;3;7;0;1;0;5;0;L9007;1936;1990;x
Ehrensvärd CA.;89708;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9008;1936;1990;x
Gadd  H.;89709;UGS;1936;1990;1990;1990;3;7;0;2;0;5;1;L9009;1936;1990;x
Gadd  S.;89710;UGS;1936;1990;1990;1990;3;7;0;1;0;5;0;L9010;1936;1990;x
Gyllenkrok;89711;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9011;1936;1990;x
Hagelberg;89712;UGS;1936;1990;1990;1990;3;7;0;1;0;5;0;L9012;1936;1990;x
Hamilton;89713;UGS;1936;1990;1990;1990;3;7;0;2;0;5;0;L9013;1936;1990;x
Holmquist;89714;UGS;1936;1936;1990;1990;3;7;0;0;0;5;1;L9014;1936;1990;x
Högberg;89715;UGS;1936;1936;1990;1990;3;7;0;1;0;5;0;L9015;1936;1990;x
Jung;89716;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9016;1936;1990;x
Malmberg;89717;UGS;1936;1936;1936;1936;3;7;0;1;0;5;0;L9017;1936;1990;x
Nygren;89718;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9018;1936;1990;x
Peyron;89719;UGS;1936;1990;1990;1990;3;7;0;0;0;5;0;L9019;1936;1990;x
Rappe;89720;UGS;1936;1990;1990;1990;3;7;0;1;0;5;1;L9020;1936;1990;x
Rosenblad;89721;UGS;1936;1936;1936;1990;3;7;0;0;0;5;0;L9021;1936;1990;x
Staalhane;89722;UGS;1936;1936;1990;1990;3;7;0;0;0;5;0;L9022;1936;1990;x
Sylvan;89723;UGS;1936;1936;1936;1990;3;7;0;0;0;5;0;L9023;1936;1990;x
