Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Aphaiwong;101700;UIC;1936;1936;1936;1936;3;7;0;2;0;5;2;L100000;1936;1990;x
Banomyong;101701;UIC;1936;1936;1936;1936;3;7;0;1;0;5;1;L100001;1936;1990;x
Bunyaket;101702;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100002;1936;1990;x
Chitnasongkhla;101703;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100003;1936;1990;x
Huntrakool;101704;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L100004;1936;1990;x
Kamlanavin;101705;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100005;1936;1990;x
Khanphialong;101706;UIC;1936;1936;1990;1990;3;7;0;0;0;5;2;L100006;1936;1990;x
Maghaviphulaya;101707;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100007;1936;1990;x
Munsilpa Sinadyodharaksa;101708;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100008;1936;1990;x
Nakrob;101709;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;L100009;1936;1990;x
Phaholphonphayuhasena;101710;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100010;1936;1990;x
Phamonmontri;101711;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100011;1936;1990;x
Phanomyong;101712;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100012;1936;1990;x
Phibunsongkhram;101713;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L100013;1936;1990;x
Phromyothi;101714;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100014;1936;1990;x
Phronalanathai;101715;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100015;1936;1990;x
Punyaketu;101716;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100016;1936;1990;x
Rama Prichulangkorn;101717;UIC;1936;1936;1936;1936;3;7;0;1;0;5;0;L100017;1936;1990;x
Rama VIII;101718;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100018;1936;1990;x
Rangsit;101719;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100019;1936;1990;x
Sampatisiri;101720;UIC;1936;1990;1990;1990;3;7;0;1;0;5;1;L100020;1936;1990;x
Sawatronnachai Sawatdikiat;101721;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100021;1936;1990;x
Shilalongkorn;101722;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100022;1936;1990;x
Suebong;101723;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100023;1936;1990;x
Thishampula;101724;UIC;1936;1936;1936;1990;3;7;0;0;0;5;2;L100024;1936;1990;x
Vechayanrangsarit;101725;UIC;1936;1936;1936;1990;3;7;0;2;0;5;1;L100025;1936;1990;x
Wichitsongkram;101726;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100026;1936;1990;x
Wichitwathakarn;101727;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100027;1936;1990;x
Chamnanarthayutha;101728;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100028;1936;1990;x
Kamonawin;101729;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100029;1936;1990;x
Luansonburano;101730;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;L100030;1936;1990;x
Pholasinthanawat;101731;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L100031;1936;1990;x
Phunawasawat;101732;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100032;1936;1990;x
Phutianands;101733;UIC;1936;1936;1936;1936;3;7;0;0;0;5;0;L100033;1936;1990;x
Preechacholayudha;101734;UIC;1936;1936;1936;1936;3;7;0;1;0;5;1;L100034;1936;1990;x
Thamrongnawasawat;101735;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100035;1936;1990;x
Wichanworajak;101736;UIC;1936;1936;1936;1990;3;7;0;2;0;5;0;L100036;1936;1990;x
Wichcitcholathai;101737;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L100037;1936;1990;x
Yuthasatkoson;101738;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L100038;1936;1990;x
Aminothraykorn;101739;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L100039;1936;1990;x
Arvudsikikorn;101740;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100040;1936;1990;x
Chalermarkas;101741;UIC;1936;1936;1990;1990;3;7;0;1;0;5;2;L100041;1936;1990;x
Chalermarkiart;101742;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100042;1936;1990;x
Kajsongkram;101743;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L100043;1936;1990;x
Phuketsamlee;101744;UIC;1936;1936;1936;1990;3;7;0;1;0;5;1;L100044;1936;1990;x
Prawasjamshee;101745;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100045;1936;1990;x
Silpasakrakorn;101746;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100046;1936;1990;x
Sinthusongkhramchai;101747;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L100047;1936;1990;x
Thayarnpikart;101748;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L100048;1936;1990;x
Vechayanrangsarit;101749;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L100049;1936;1990;x
Vehasayarn;101750;UIC;1936;1936;1936;1936;3;7;0;1;0;5;0;L100050;1936;1990;x
Abalan;101751;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L542000;1936;1990;x
Baucheron de Boissoudy;101752;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L542001;1936;1990;x
Bao Dai;101753;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L542002;1936;1990;x
Bernardino;101754;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L542003;1936;1990;x
Chavanac;101755;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L542004;1936;1990;x
Decoux;101756;UIC;1936;1990;1990;1990;3;7;0;2;0;5;1;M542006;1936;1990;x
de Beauharné;101757;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;M542008;1936;1990;x
d'Hers;101758;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L542007;1936;1990;x
de la Poype;101759;UIC;1936;1936;1936;1990;3;7;0;2;0;5;1;L542008;1936;1990;x
Duc Dat;101760;UIC;1936;1936;1990;1990;3;7;0;0;0;5;2;L542009;1936;1990;x
Duong Van Minh;101761;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;M542046;1936;1990;x
Fabrichet;101762;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L542011;1936;1990;x
Fourcaud;101763;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L542012;1936;1990;x
Germain;101764;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L542013;1936;1990;x
Gauthier;101765;UIC;1936;1990;1990;1990;3;7;0;0;0;5;2;M541007;1936;1990;x
Hoang Minh Chao;101766;UIC;1936;1936;1936;1936;3;7;0;2;0;5;1;L542015;1936;1990;x
Ho Chi Minh;101767;UIC;1936;1936;1936;1990;3;7;0;0;0;5;1;M542047;1936;1990;x
Iehlé;101768;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;M542037;1936;1990;x
Jore;101769;UIC;1936;1936;1936;1936;3;7;0;1;0;5;0;M542021;1936;1990;x
le Cocq;101770;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;L542019;1936;1990;x
le Coniac de la Longrays;101771;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L542020;1936;1990;x
Le Duan;101772;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;L542021;1936;1990;x
Le Van Kim;101773;UIC;1936;1936;1990;1990;3;7;0;1;0;5;1;L542022;1936;1990;x
Livry-Level;101774;UIC;1936;1936;1990;1990;3;7;0;0;0;5;2;L542023;1936;1990;x
Magné;101775;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L542024;1936;1990;x
Ne Van Chinh;101776;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L542025;1936;1990;x
Nguyen Cao The;101777;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L542026;1936;1990;x
Nguyen Coo Hieu;101778;UIC;1936;1936;1990;1990;3;7;0;2;0;5;0;L542027;1936;1990;x
Nguyen Huu Coo;101779;UIC;1936;1936;1990;1990;3;7;0;1;0;5;1;M542043;1936;1990;x
Nguyen Khanh;101780;UIC;1936;1936;1990;1990;3;7;0;0;0;5;2;L542029;1936;1990;x
Pelissier;101781;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L542030;1936;1990;x
Robin;101782;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;M542002;1936;1990;x
Thao Bac Tho;101783;UIC;1936;1936;1936;1990;3;7;0;0;0;5;1;L542032;1936;1990;x
Vigneux;101784;UIC;1936;1936;1936;1990;3;7;0;2;0;5;0;L542033;1936;1990;x
Vinh Loc;101785;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;L542034;1936;1990;x
Vo Nguyen Giap;101786;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L542035;1936;1990;x
Vuong Van Dong;101787;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;L542036;1936;1990;x
An Nuoc Cao;101788;UIC;1936;1936;1936;1990;3;7;0;1;0;5;2;L542037;1936;1990;x
Bernardino;101789;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;L542003;1936;1990;x
Ho Tan Quyen;101790;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;M542051;1936;1990;x
Iehlé;101791;UIC;1936;1990;1990;1990;3;7;0;1;0;5;1;M542037;1936;1990;x
Le Quan;101792;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;M542042;1936;1990;x
Le Vouch;101793;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L542042;1936;1990;x
Nguyen Thanh Tri;101794;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L542043;1936;1990;x
Pasquier;101795;UIC;1936;1936;1936;1990;3;7;0;0;0;5;1;M542009;1936;1990;x
Thrang Tun Doc;101796;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;M542052;1936;1990;x
Boudier;101797;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;M542053;1936;1990;x
Brévié;101798;UIC;1936;1936;1990;1990;3;7;0;2;0;5;1;M542010;1936;1990;x
Brisdoux-Galloni d'Istria;101799;UIC;1936;1990;1990;1990;3;7;0;2;0;5;2;L542048;1936;1990;x
de Montbron;101800;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L542049;1936;1990;x
le Langé;101801;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;M542054;1936;1990;x
Livry-Level;101802;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;L542023;1936;1990;x
Nguyen Huu Tho;101803;UIC;1936;1990;1990;1990;3;7;0;1;0;5;1;M542055;1936;1990;x
Pompéi;101804;UIC;1936;1936;1936;1936;3;7;0;0;0;5;0;L542053;1936;1990;x
Simonet;101805;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;L542054;1936;1990;x
Allmand;101806;UIC;1936;1936;1936;1990;3;7;0;2;0;5;2;L563000;1936;1990;x
Aung San;101807;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L563001;1936;1990;x
Ba Gyi;101808;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L563002;1936;1990;x
Blaker;101809;UIC;1936;1936;1990;1990;3;7;0;0;0;5;1;L563003;1936;1990;x
Clarkson;101810;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;M563008;1936;1990;x
Cochrane;101811;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;M563003;1936;1990;x
Fitzgerald;101812;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;M563037;1936;1990;x
Htunyin Nawngwawn;101813;UIC;1936;1936;1936;1936;3;7;0;1;0;5;2;L563007;1936;1990;x
Khun Sa;101814;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;M563039;1936;1990;x
Khunserk Mangrai;101815;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;L563009;1936;1990;x
Kyi Aung;101816;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L563010;1936;1990;x
Lun Thi;101817;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L563011;1936;1990;x
Maung Khin;101818;UIC;1936;1990;1990;1990;3;7;0;2;0;5;0;M563040;1936;1990;x
Maung Thein;101819;UIC;1936;1936;1936;1990;3;7;0;1;0;5;1;L563013;1936;1990;x 
Suryo;101820;UIC;1936;1936;1990;1990;3;7;0;2;0;5;2;M577054;1936;1990;x
Mya Bo;101821;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;M563038;1936;1990;x
Myint Swe;101822;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L563016;1936;1990;x
Ne Win;101823;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;L101130;1936;1990;x
Nyunt Tin;101824;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;L563018;1936;1990;x
Ohn Myint;101825;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L563019;1936;1990;x
Pyi Sone;101826;UIC;1936;1936;1990;1990;3;7;0;2;0;5;1;L563020;1936;1990;x
Sai Hla;101827;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L563021;1936;1990;x
Saw Oo;101828;UIC;1936;1990;1990;1990;3;7;0;1;0;5;0;M563022;1936;1990;x
Saw Tun;101829;UIC;1936;1936;1990;1990;3;7;0;1;0;5;0;L563023;1936;1990;x
Sein Htwa;101830;UIC;1936;1990;1990;1990;3;7;0;0;0;5;2;L563024;1936;1990;x
Smith Dun;101831;UIC;1936;1936;1936;1990;3;7;0;0;0;5;0;M563036;1936;1990;x
Thaik Tun;101832;UIC;1936;1936;1936;1990;3;7;0;1;0;5;0;M563019;1936;1990;x
Than Shwe;101833;UIC;1936;1936;1990;1990;3;7;0;0;0;5;0;L563027;1936;1990;x
Thapa;101834;UIC;1936;1990;1990;1990;3;7;0;0;0;5;1;L563028;1936;1990;x
Thein Nyunt;101835;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L563029;1936;1990;x
Tin Hlaing;101836;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L563030;1936;1990;x
Tin Htut;101837;UIC;1936;1990;1990;1990;3;7;0;1;0;5;1;L563031;1936;1990;x
Wing Maun;101838;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;M563028;1936;1990;x
Bromell;101839;UIC;1936;1990;1990;1990;3;7;0;0;0;5;0;L563033;1936;1990;x
