Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Afkhami  A.;440700;UPE;1936;1936;1936;1936;3;7;0;2;0;5;2;L440000;1936;1990;x
Afkhami  H.;440701;UPE;1936;1936;1936;1936;3;7;0;1;0;5;1;L440001;1936;1990;x
Afkhami  M.;440702;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440002;1936;1990;x
Gharamani;440703;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440003;1936;1990;x
Gholam Reza Pahlavi;440704;UPE;1936;1936;1936;1990;3;7;0;1;0;5;0;L440004;1936;1990;x
Gilanshah;440705;UPE;1936;1936;1990;1990;3;7;0;0;0;5;0;L440005;1936;1990;x
Hadi Atabay;440706;UPE;1936;1936;1990;1990;3;7;0;0;0;5;2;L440006;1936;1990;x
Hossein Firooz;440707;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440007;1936;1990;x
Majid Firooz;440708;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440008;1936;1990;x
Khan Koopal;440709;UPE;1936;1990;1990;1990;3;7;0;2;0;5;1;L440009;1936;1990;x
Khan Nakziam;440710;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440010;1936;1990;x
Mir Ghani;440711;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440011;1936;1990;x
Mizani;440712;UPE;1936;1990;1990;1990;3;7;0;1;0;5;0;L440012;1936;1990;x
Nakhjavani;440713;UPE;1936;1990;1990;1990;3;7;0;2;0;5;0;L440013;1936;1990;x
Nizamshah;440714;UPE;1936;1936;1990;1990;3;7;0;0;0;5;1;L440014;1936;1990;x
Quaranshah;440715;UPE;1936;1936;1990;1990;3;7;0;1;0;5;0;L440015;1936;1990;x
Reza Pahlavi;440716;UPE;1936;1990;1990;1990;3;7;0;0;0;5;0;L440016;1936;1990;x
