Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abraham;88700;UPR;1936;1936;1936;1936;3;7;0;2;0;5;2;L1;1936;1990;x
Allmendinger;88701;UPR;1936;1936;1936;1936;3;7;0;1;0;5;1;L2;1936;1990;x
Andersen;88702;UPR;1936;1936;1990;1990;3;7;0;0;0;5;1;L3;1936;1990;x
Anton;88703;UPR;1936;1936;1990;1990;3;7;0;1;0;5;0;L4;1936;1990;x
Arndt;88704;UPR;1936;1936;1936;1990;3;7;0;1;0;5;0;L5;1936;1990;x
Auleb;88705;UPR;1936;1936;1990;1990;3;7;0;0;0;5;0;L6;1936;1990;x
Bader;88706;UPR;1936;1936;1990;1990;3;7;0;0;0;5;2;L8;1936;1990;x
Balla;88707;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L10;1936;1990;x
Behlendorff;88708;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L13;1936;1990;x
Behrend;88709;UPR;1936;1990;1990;1990;3;7;0;2;0;5;1;L14;1936;1990;x
Bergen;88710;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L15;1936;1990;x
Bergmann;88711;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L16;1936;1990;x
Berlin;88712;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L17;1936;1990;x
Betz;88713;UPR;1936;1990;1990;1990;3;7;0;2;0;5;0;L18;1936;1990;x
Bieler;88714;UPR;1936;1936;1990;1990;3;7;0;0;0;5;1;L19;1936;1990;x
Boeck-Behrens;88715;UPR;1936;1936;1990;1990;3;7;0;1;0;5;0;L23;1936;1990;x
Boege;88716;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L24;1936;1990;x
Boehlke;88717;UPR;1936;1936;1936;1936;3;7;0;1;0;5;0;L25;1936;1990;x
Boehm-Tettelbach;88718;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L26;1936;1990;x
Breith;88719;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L28;1936;1990;x
Bräuer;88720;UPR;1936;1990;1990;1990;3;7;0;1;0;5;1;L29;1936;1990;x
Buck;88721;UPR;1936;1936;1936;1990;3;7;0;0;0;5;0;L30;1936;1990;x
Buffa;88722;UPR;1936;1936;1990;1990;3;7;0;0;0;5;0;L31;1936;1990;x
Burgdorf;88723;UPR;1936;1936;1936;1990;3;7;0;0;0;5;0;L32;1936;1990;x
Busse;88724;UPR;1936;1936;1936;1990;3;7;0;0;0;5;2;L34;1936;1990;x
Bärenfänger;88725;UPR;1936;1936;1936;1990;3;7;0;2;0;5;1;L35;1936;1990;x
Böhme;88726;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L36;1936;1990;x
Böttcher  F.;88727;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L37;1936;1990;x
Clössner;88728;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L38;1936;1990;x
Conrady;88729;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L39;1936;1990;x
Conrath;88730;UPR;1936;1990;1990;1990;3;7;0;2;0;5;1;L40;1936;1990;x
Cramer;88731;UPR;1936;1936;1990;1990;3;7;0;1;0;5;0;L41;1936;1990;x
Cranz;88732;UPR;1936;1936;1990;1990;3;7;0;0;0;5;1;L42;1936;1990;x
Crüwell;88733;UPR;1936;1936;1936;1936;3;7;0;0;0;5;0;L43;1936;1990;x
de Beaulieu;88734;UPR;1936;1936;1936;1936;3;7;0;1;0;5;1;L45;1936;1990;x
Decker;88735;UPR;1936;1936;1990;1990;3;7;0;0;0;5;0;L46;1936;1990;x
Dehner;88736;UPR;1936;1936;1936;1990;3;7;0;2;0;5;0;L47;1936;1990;x
Demme;88737;UPR;1936;1936;1936;1990;3;7;0;0;0;5;0;L48;1936;1990;x
Digeon von Monteton;88738;UPR;1936;1936;1936;1990;3;7;0;1;0;5;0;L50;1936;1990;x
Dostler;88739;UPR;1936;1936;1990;1990;3;7;0;0;0;5;1;L51;1936;1990;x
Eberbach;88740;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L53;1936;1990;x
Eibl;88741;UPR;1936;1936;1990;1990;3;7;0;1;0;5;2;L54;1936;1990;x
Fahrmbacher;88742;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L55;1936;1990;x
Felber;88743;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L56;1936;1990;x
Feldt;88744;UPR;1936;1936;1936;1990;3;7;0;1;0;5;1;L57;1936;1990;x
Fessmann;88745;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L58;1936;1990;x
Fischer  M.;88746;UPR;1936;1936;1990;1990;3;7;0;0;0;5;0;L59;1936;1990;x
Fischer von Weikersthal;88747;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L60;1936;1990;x
Flörke;88748;UPR;1936;1990;1990;1990;3;7;0;2;0;5;0;L61;1936;1990;x
Folttmann;88749;UPR;1936;1936;1990;1990;3;7;0;0;0;5;0;L62;1936;1990;x
Forst;88750;UPR;1936;1936;1936;1936;3;7;0;1;0;5;0;L63;1936;1990;x
Fortner;88751;UPR;1936;1936;1990;1990;3;7;0;0;0;5;1;L64;1936;1990;x
Fouquet;88752;UPR;1936;1936;1990;1990;3;7;0;1;0;5;0;L65;1936;1990;x
Fox;88753;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L66;1936;1990;x
Franek;88754;UPR;1936;1936;1936;1990;3;7;0;0;0;5;0;L67;1936;1990;x
Franke;88755;UPR;1936;1936;1936;1990;3;7;0;1;0;5;0;L68;1936;1990;x
Frankewitz;88756;UPR;1936;1990;1990;1990;3;7;0;2;0;5;1;L69;1936;1990;x
Franz;88757;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L70;1936;1990;x
Fremerey;88758;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L71;1936;1990;x
Frenking;88759;UPR;1936;1936;1936;1990;3;7;0;2;0;5;1;L72;1936;1990;x
Fretter-Pico  M.;88760;UPR;1936;1936;1990;1990;3;7;0;0;0;5;2;L73;1936;1990;x
Freutel;88761;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L74;1936;1990;x
Friessner;88762;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L75;1936;1990;x
Fronhöfer;88763;UPR;1936;1936;1990;1990;3;7;0;0;0;5;1;L76;1936;1990;x
Föhrenbach;88764;UPR;1936;1990;1990;1990;3;7;0;1;0;5;0;L79;1936;1990;x
Förster;88765;UPR;1936;1990;1990;1990;3;7;0;0;0;5;2;L80;1936;1990;x
Förtsch;88766;UPR;1936;1936;1936;1936;3;7;0;2;0;5;1;L81;1936;1990;x
Gareis;88767;UPR;1936;1936;1936;1990;3;7;0;0;0;5;1;L82;1936;1990;x
Gause;88768;UPR;1936;1936;1936;1990;3;7;0;1;0;5;0;L83;1936;1990;x
Geyer;88769;UPR;1936;1936;1936;1936;3;7;0;1;0;5;0;L84;1936;1990;x
Geyr von Schweppenburg;88770;UPR;1936;1990;1990;1990;3;7;0;0;0;5;1;L85;1936;1990;x
Glokke;88771;UPR;1936;1990;1990;1990;3;7;0;0;0;5;0;L86;1936;1990;x
Gollnick;88772;UPR;1936;1990;1990;1990;3;7;0;0;0;5;1;L87;1936;1990;x
Gollwitzer;88773;UPR;1936;1936;1990;1990;3;7;0;1;0;5;1;L88;1936;1990;x
