Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abe;103700;UPS;1936;1936;1936;1936;3;7;0;2;0;5;2;L101000;1936;1990;x
Arima;103701;UPS;1936;1936;1936;1936;3;7;0;1;0;5;1;L101217;1936;1990;x
Aida;103702;UPS;1936;1936;1990;1990;3;7;0;0;0;5;1;L101002;1936;1990;x
Akashika;103703;UPS;1936;1936;1990;1990;3;7;0;1;0;5;0;L101003;1936;1990;x
Akashita;103704;UPS;1936;1936;1936;1990;3;7;0;1;0;5;0;L101004;1936;1990;x
Amano;103705;UPS;1936;1936;1990;1990;3;7;0;0;0;5;0;L101005;1936;1990;x
Amemiya;103706;UPS;1936;1936;1990;1990;3;7;0;0;0;5;2;L101006;1936;1990;x
Anami;103707;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L101007;1936;1990;x
Ando  R.;103708;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101008;1936;1990;x
Ando  S.;103709;UPS;1936;1990;1990;1990;3;7;0;2;0;5;1;L101009;1936;1990;x
Aoki;103710;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L101010;1936;1990;x
Aotsu;103711;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101011;1936;1990;x
Araki;103712;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L101012;1936;1990;x
Arikawa;103713;UPS;1936;1990;1990;1990;3;7;0;2;0;5;0;L101013;1936;1990;x
Asaka;103714;UPS;1936;1936;1990;1990;3;7;0;0;0;5;1;L101014;1936;1990;x
Aung San;103715;UPS;1936;1936;1990;1990;3;7;0;1;0;5;0;L101015;1936;1990;x
Ayabe;103716;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101016;1936;1990;x
Baba;103717;UPS;1936;1936;1936;1936;3;7;0;1;0;5;0;L101017;1936;1990;x
Banzai;103718;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101018;1936;1990;x
Chandra Bose;103719;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101019;1936;1990;x
Cho;103720;UPS;1936;1990;1990;1990;3;7;0;1;0;5;1;L101020;1936;1990;x
Dohihara;103721;UPS;1936;1936;1936;1990;3;7;0;0;0;5;0;L101021;1936;1990;x
Endo;103722;UPS;1936;1936;1990;1990;3;7;0;0;0;5;0;L101022;1936;1990;x
Fujie;103723;UPS;1936;1936;1936;1990;3;7;0;0;0;5;0;L101023;1936;1990;x
Fukui;103724;UPS;1936;1936;1936;1990;3;7;0;0;0;5;2;L101306;1936;1990;x
Fujioka;103725;UPS;1936;1936;1936;1990;3;7;0;2;0;5;1;L101025;1936;1990;x
Fukui;103726;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L101026;1936;1990;x
Funabiki;103727;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101027;1936;1990;x
Gatot Mangkoepradja;103728;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101028;1936;1990;x
Hanada;103729;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L101029;1936;1990;x
Hanaya;103730;UPS;1936;1990;1990;1990;3;7;0;2;0;5;1;L101030;1936;1990;x
Hara;103731;UPS;1936;1936;1990;1990;3;7;0;1;0;5;0;L101031;1936;1990;x
Endo;103732;UPS;1936;1936;1990;1990;3;7;0;0;0;5;1;L101219;1936;1990;x
Hata;103733;UPS;1936;1936;1936;1936;3;7;0;0;0;5;0;L101034;1936;1990;x
Hara;103734;UPS;1936;1936;1936;1936;3;7;0;1;0;5;1;L101226;1936;1990;x
Hayashi;103735;UPS;1936;1936;1990;1990;3;7;0;0;0;5;0;L101036;1936;1990;x
Hayashida;103736;UPS;1936;1936;1936;1990;3;7;0;2;0;5;0;L101037;1936;1990;x
Higashikuni;103737;UPS;1936;1936;1936;1990;3;7;0;0;0;5;0;L101038;1936;1990;x
Higuchi;103738;UPS;1936;1936;1936;1990;3;7;0;1;0;5;0;L101039;1936;1990;x
Hirata;103739;UPS;1936;1936;1990;1990;3;7;0;0;0;5;1;L101040;1936;1990;x
Hirota;103740;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101041;1936;1990;x
Hitomi;103741;UPS;1936;1936;1990;1990;3;7;0;1;0;5;2;L101042;1936;1990;x
Hong;103742;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101044;1936;1990;x
Hong Sa;103743;UPS;1936;1990;1990;1990;3;7;0;0;0;5;0;L101045;1936;1990;x
Honma;103744;UPS;1936;1936;1936;1990;3;7;0;1;0;5;1;L101046;1936;1990;x
Homma;103745;UPS;1936;1990;1990;1990;3;7;0;1;0;5;0;L101047;1936;1990;x
Horii;103746;UPS;1936;1936;1990;1990;3;7;0;0;0;5;0;L101048;1936;1990;x
