Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adalberto Duca di Bergamo;6700;URO;1936;1936;1936;1936;3;7;0;2;0;5;2;L6000;1936;1990;x
Albert;6701;URO;1936;1936;1936;1936;3;7;0;1;0;5;1;L6001;1936;1990;x
Ago;6702;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6002;1936;1990;x
Ambrosio;6703;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6003;1936;1990;x
Amedeo Duca degli Abruzzi;6704;URO;1936;1936;1936;1990;3;7;0;1;0;5;0;L6004;1936;1990;x
Amico;6705;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6005;1936;1990;x
Antonelli;6706;URO;1936;1936;1990;1990;3;7;0;0;0;5;2;L6006;1936;1990;x
Ardito;6707;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6007;1936;1990;x
Arena;6708;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6008;1936;1990;x
Armellini;6709;URO;1936;1990;1990;1990;3;7;0;2;0;5;1;L6009;1936;1990;x
Asinari di Bernezzo;6710;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6010;1936;1990;x
Babini;6711;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6011;1936;1990;x
Burzagli;6712;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6012;1936;1990;x
Baistrocchi;6713;URO;1936;1990;1990;1990;3;7;0;2;0;5;0;L6014;1936;1990;x
Balisti;6714;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6016;1936;1990;x
Balocco;6715;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6017;1936;1990;x
Barbasetti di Prun;6716;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6018;1936;1990;x
Barbieri;6717;URO;1936;1936;1936;1936;3;7;0;1;0;5;0;L6019;1936;1990;x
Basso;6718;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6020;1936;1990;x
Bastico;6719;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6021;1936;1990;x
Battisti;6720;URO;1936;1990;1990;1990;3;7;0;1;0;5;1;L6022;1936;1990;x
Beraudo di Pralormo;6721;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6023;1936;1990;x
Bergonzoli;6722;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6024;1936;1990;x
Berti;6723;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6025;1936;1990;x
Bettoni;6724;URO;1936;1936;1936;1990;3;7;0;0;0;5;2;L6026;1936;1990;x
Bianchi;6725;URO;1936;1936;1936;1990;3;7;0;2;0;5;1;L6027;1936;1990;x
Bignani;6726;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6028;1936;1990;x
Borghese;6727;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6029;1936;1990;x
Brunetti;6728;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6030;1936;1990;x
Bruno;6729;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6031;1936;1990;x
Cadorna;6730;URO;1936;1990;1990;1990;3;7;0;2;0;5;1;L6032;1936;1990;x
Calvi di Bergolo;6731;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6033;1936;1990;x
Canale;6732;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6034;1936;1990;x
Caracciolo di Feroleto;6733;URO;1936;1936;1936;1936;3;7;0;0;0;5;0;L6035;1936;1990;x
Carboni;6734;URO;1936;1936;1936;1936;3;7;0;1;0;5;1;L6036;1936;1990;x
Carta;6735;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6037;1936;1990;x
Caruso;6736;URO;1936;1936;1936;1990;3;7;0;2;0;5;0;L6038;1936;1990;x
Cassino;6737;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6039;1936;1990;x
Castellano;6738;URO;1936;1936;1936;1990;3;7;0;1;0;5;0;L6040;1936;1990;x
Cavallero;6739;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6041;1936;1990;x
Caviglia;6740;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6042;1936;1990;x
Cerio;6741;URO;1936;1936;1990;1990;3;7;0;1;0;5;2;L6043;1936;1990;x
Coppi;6742;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6044;1936;1990;x
Cei;6743;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6045;1936;1990;x
Cigala-Fulgosi;6744;URO;1936;1936;1936;1990;3;7;0;1;0;5;1;L6046;1936;1990;x
Clerici;6745;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6047;1936;1990;x
Cona;6746;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6048;1936;1990;x
Cotronei;6747;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6049;1936;1990;x
Crea;6748;URO;1936;1990;1990;1990;3;7;0;2;0;5;0;L6050;1936;1990;x
Dall'Ora;6749;URO;1936;1936;1990;1990;3;7;0;0;0;5;0;L6051;1936;1990;x
Dalmazzo;6750;URO;1936;1936;1936;1936;3;7;0;1;0;5;0;L6052;1936;1990;x
Dapino;6751;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6053;1936;1990;x
de Bono;6752;URO;1936;1936;1990;1990;3;7;0;1;0;5;0;L6054;1936;1990;x
de Carolis;6753;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6055;1936;1990;x
de Castiglione;6754;URO;1936;1936;1936;1990;3;7;0;0;0;5;0;L6056;1936;1990;x
de Cia;6755;URO;1936;1936;1936;1990;3;7;0;1;0;5;0;L6057;1936;1990;x
de Simone;6756;URO;1936;1990;1990;1990;3;7;0;2;0;5;1;L6058;1936;1990;x
de Stefanis;6757;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6059;1936;1990;x
de Vecchi di Val Cismon;6758;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6060;1936;1990;x
d'Havet;6759;URO;1936;1936;1936;1990;3;7;0;2;0;5;1;L6061;1936;1990;x
di Nisio;6760;URO;1936;1936;1990;1990;3;7;0;0;0;5;2;L6062;1936;1990;x
Du Pont;6761;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6063;1936;1990;x
Emilio;6762;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6064;1936;1990;x
Esposito;6763;URO;1936;1936;1990;1990;3;7;0;0;0;5;1;L6065;1936;1990;x
Fermé;6764;URO;1936;1990;1990;1990;3;7;0;1;0;5;0;L6066;1936;1990;x
Ferrari Orsi;6765;URO;1936;1990;1990;1990;3;7;0;0;0;5;2;L6067;1936;1990;x
Filiberto Duca di Pistoia;6766;URO;1936;1936;1936;1936;3;7;0;2;0;5;1;L6068;1936;1990;x
Franco;6767;URO;1936;1936;1936;1990;3;7;0;0;0;5;1;L6069;1936;1990;x
Franzosi;6768;URO;1936;1936;1936;1990;3;7;0;1;0;5;0;L6070;1936;1990;x
Frattini;6769;URO;1936;1936;1936;1936;3;7;0;1;0;5;0;L6071;1936;1990;x
Fricchione;6770;URO;1936;1990;1990;1990;3;7;0;0;0;5;1;L6072;1936;1990;x
Frusci;6771;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6073;1936;1990;x
Gambara;6772;URO;1936;1990;1990;1990;3;7;0;0;0;5;1;L6074;1936;1990;x
Gambelli;6773;URO;1936;1936;1990;1990;3;7;0;1;0;5;1;L6075;1936;1990;x
Gandin;6774;URO;1936;1936;1990;1990;3;7;0;0;0;5;2;L6076;1936;1990;x
Geloso;6775;URO;1936;1990;1990;1990;3;7;0;2;0;5;0;L6078;1936;1990;x
Gherzi;6776;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6079;1936;1990;x
Gioda;6777;URO;1936;1990;1990;1990;3;7;0;0;0;5;0;L6080;1936;1990;x
Giovanelli;6778;URO;1936;1936;1990;1990;3;7;0;2;0;5;0;L6081;1936;1990;x
Giorgis;6779;URO;1936;1936;1990;1990;3;7;0;1;0;5;1;L6240;1936;1990;x
