Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adams;65700;USN;1936;1936;1936;1936;3;7;0;2;0;5;2;L60000;1936;1990;x
Alfonte;65701;USN;1936;1936;1936;1936;3;7;0;1;0;5;1;L60002;1936;1990;x
Alkire;65702;USN;1936;1936;1990;1990;3;7;0;0;0;5;1;L60003;1936;1990;x
Almond;65703;USN;1936;1936;1990;1990;3;7;0;1;0;5;0;L60007;1936;1990;x
Althaus;65704;USN;1936;1936;1936;1990;3;7;0;1;0;5;0;L60008;1936;1990;x
Andrus;65705;USN;1936;1936;1990;1990;3;7;0;0;0;5;0;L60012;1936;1990;x
Ankcorn;65706;USN;1936;1936;1990;1990;3;7;0;0;0;5;2;L60013;1936;1990;x
Arms;65707;USN;1936;1990;1990;1990;3;7;0;1;0;5;0;L60014;1936;1990;x
Armstrong;65708;USN;1936;1990;1990;1990;3;7;0;0;0;5;0;L60015;1936;1990;x
Arrowsmith;65709;USN;1936;1990;1990;1990;3;7;0;2;0;5;1;L60017;1936;1990;x
Baehr;65710;USN;1936;1990;1990;1990;3;7;0;1;0;5;0;L60019;1936;1990;x
Baird;65711;USN;1936;1990;1990;1990;3;7;0;0;0;5;0;L60020;1936;1990;x
Baker;65712;USN;1936;1990;1990;1990;3;7;0;1;0;5;0;L60021;1936;1990;x
Barker;65713;USN;1936;1990;1990;1990;3;7;0;2;0;5;0;L60022;1936;1990;x
Barnes;65714;USN;1936;1936;1990;1990;3;7;0;0;0;5;1;L60023;1936;1990;x
Barnett;65715;USN;1936;1936;1990;1990;3;7;0;1;0;5;0;L60024;1936;1990;x
Barr;65716;USN;1936;1990;1990;1990;3;7;0;0;0;5;0;L60025;1936;1990;x
Barrett;65717;USN;1936;1936;1936;1936;3;7;0;1;0;5;0;L60026;1936;1990;x
Barton;65718;USN;1936;1990;1990;1990;3;7;0;0;0;5;0;L60027;1936;1990;x
Bash;65719;USN;1936;1990;1990;1990;3;7;0;0;0;5;0;L60028;1936;1990;x
Beasly;65720;USN;1936;1990;1990;1990;3;7;0;1;0;5;1;L60029;1936;1990;x
Bedell-Smith;65721;USN;1936;1936;1936;1990;3;7;0;0;0;5;0;L60031;1936;1990;x
Beiderlinden;65722;USN;1936;1936;1990;1990;3;7;0;0;0;5;0;L60032;1936;1990;x
Beightler;65723;USN;1936;1936;1936;1990;3;7;0;0;0;5;0;L60033;1936;1990;x
Billingslea;65724;USN;1936;1936;1936;1990;3;7;0;0;0;5;2;L60034;1936;1990;x
Birkhead;65725;USN;1936;1936;1936;1990;3;7;0;2;0;5;1;L60035;1936;1990;x
Bissell;65726;USN;1936;1990;1990;1990;3;7;0;1;0;5;0;L60036;1936;1990;x
Bixby;65727;USN;1936;1990;1990;1990;3;7;0;0;0;5;0;L60037;1936;1990;x
Blackmore;65728;USN;1936;1990;1990;1990;3;7;0;0;0;5;0;L60038;1936;1990;x
Blakeley;65729;USN;1936;1990;1990;1990;3;7;0;1;0;5;0;L60039;1936;1990;x
Blount;65730;USN;1936;1990;1990;1990;3;7;0;2;0;5;1;L60040;1936;1990;x
Bluemel;65731;USN;1936;1936;1990;1990;3;7;0;1;0;5;0;L60041;1936;1990;x
Boatner;65732;USN;1936;1936;1990;1990;3;7;0;0;0;5;1;L60042;1936;1990;x
Boggs;65733;USN;1936;1936;1936;1936;3;7;0;0;0;5;0;L60043;1936;1990;x
Bohn;65734;USN;1936;1936;1936;1936;3;7;0;1;0;5;1;L60044;1936;1990;x
