Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Alankup;66700;UTO;1936;1936;1936;1936;3;7;0;2;0;5;2;L61000;1936;1990;x
Arikan;66701;UTO;1936;1936;1936;1936;3;7;0;1;0;5;1;L61001;1936;1990;x
Artunkal;66702;UTO;1936;1936;1990;1990;3;7;0;0;0;5;1;L61002;1936;1990;x
Ayguc;66703;UTO;1936;1936;1990;1990;3;7;0;1;0;5;0;L61003;1936;1990;x
Baransel;66704;UTO;1936;1936;1936;1990;3;7;0;1;0;5;0;L61004;1936;1990;x
Bözer;66705;UTO;1936;1936;1990;1990;3;7;0;0;0;5;0;L61005;1936;1990;x
Cakmak;66706;UTO;1936;1936;1990;1990;3;7;0;0;0;5;2;L61006;1936;1990;x
Calistar;66707;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;L61007;1936;1990;x
Eldelhun;66708;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61008;1936;1990;x
Floxhi;66709;UTO;1936;1990;1990;1990;3;7;0;2;0;5;1;L34609;1936;1990;x
Gürkan;66710;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;L61010;1936;1990;x
Gürler;66711;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61011;1936;1990;x
Gürman;66712;UTO;1936;1990;1990;1990;3;7;0;1;0;5;0;L61012;1936;1990;x
Gürsel;66713;UTO;1936;1990;1990;1990;3;7;0;2;0;5;0;L61013;1936;1990;x
Gürzlin;66714;UTO;1936;1936;1990;1990;3;7;0;0;0;5;1;L61014;1936;1990;x
Inönu;66715;UTO;1936;1936;1990;1990;3;7;0;1;0;5;0;L61015;1936;1990;x
Kanatli;66716;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61016;1936;1990;x
Karabekir;66717;UTO;1936;1936;1936;1936;3;7;0;1;0;5;0;L61017;1936;1990;x
Mengüc;66718;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61018;1936;1990;x
Naci Tinaz;66719;UTO;1936;1990;1990;1990;3;7;0;0;0;5;0;L61019;1936;1990;x
