Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
al-Ghani;530000;ALG;1930;1990;1990;1990;3;3;16;0;0;5;0;M530036;1930;1944;x
Amilakvari;530001;ALG;1930;1941;1943;1990;2;5;5;2;0;5;0;L530001;1930;1960;x
Arnault;530002;ALG;1939;1943;1990;1990;2;3;1;1;0;5;0;L530002;1939;1960;x
ben-Dalal;530003;ALG;1945;1990;1990;1990;3;2;0;0;0;5;0;L530003;1945;1960;x
Badreddine;530004;ALG;1945;1990;1990;1990;3;2;32;0;0;5;0;L530004;1945;1960;x
Barberot;530005;ALG;1942;1990;1990;1990;3;4;256;0;0;5;0;L530005;1942;1960;x
Beaudenom de Lamaze;530006;ALG;1930;1939;1990;1990;2;4;4;1;0;5;0;L530006;1930;1942;x
Boumedienne;530007;ALG;1944;1990;1990;1990;3;3;16;0;0;5;0;M530037;1944;1960;x
Bourdis;530008;ALG;1940;1943;1990;1990;2;4;128;0;0;5;0;M530035;1940;1960;x
Château-Joubert;530009;ALG;1942;1990;1990;1990;3;5;260;0;0;5;0;L530009;1942;1960;x
Colonna d'Istria;530010;ALG;1942;1990;1990;1990;3;3;32;1;0;5;0;L530010;1942;1960;x
de Chevigné;530011;ALG;1940;1943;1990;1990;2;4;256;1;0;5;0;M530008;1940;1960;x
de Wawrin-Passy;530012;ALG;1943;1990;1990;1990;3;3;256;0;0;5;0;L530012;1943;1960;x
Duche de Bricourt;530013;ALG;1930;1990;1990;1990;3;4;1;0;0;5;0;L530013;1930;1942;x
Espana;530014;ALG;1939;1990;1990;1990;3;3;64;0;0;5;0;L530014;1939;1960;x
Heurtaux;530015;ALG;1930;1942;1990;1990;2;3;64;1;0;5;0;M530007;1930;1960;x
Jaboulay;530016;ALG;1939;1990;1990;1990;3;3;4;0;0;5;0;L530016;1939;1960;x
Julitte;530017;ALG;1938;1944;1990;1990;2;3;2;0;0;5;0;M530032;1939;1960;x
Lakmeche;530018;ALG;1944;1990;1990;1990;3;2;0;0;0;5;0;L530018;1944;1960;x
Malec-Natlacen;530019;ALG;1941;1990;1990;1990;3;4;256;0;0;5;0;L530019;1941;1960;x
Oddo;530020;ALG;1939;1942;1990;1990;2;3;128;1;0;5;0;M530038;1939;1960;x
Puech-Samson;530021;ALG;1942;1990;1990;1990;3;5;257;0;0;5;0;L530021;1942;1960;x
Ungerman;530022;ALG;1941;1990;1990;1990;3;5;5;0;0;5;0;L530022;1941;1960;x
Wagner;530023;ALG;1940;1945;1990;1990;2;6;384;1;0;5;0;L530023;1940;1947;x
Wyrouboff;530024;ALG;1938;1990;1990;1990;3;4;1;0;0;5;0;L530024;1938;1960;x
Dadci;530025;ALG;1945;1990;1990;1990;3;2;0;0;0;5;1;M530042;1945;1960;x
de Chevigné;530026;ALG;1940;1990;1990;1990;3;2;0;0;0;5;1;M530008;1940;1960;x
des Moutis;530027;ALG;1938;1990;1990;1990;3;3;0;0;0;5;1;L530027;1938;1960;x
Lakmeche;530028;ALG;1944;1946;1990;1990;2;2;2048;1;0;5;1;L530018;1944;1960;x
Manhés;530029;ALG;1930;1941;1990;1990;2;3;1024;1;0;5;1;M530009;1930;1960;x
Morel;530030;ALG;1941;1990;1990;1990;3;3;4096;0;0;5;1;L530030;1941;1960;x
Baya;530031;ALG;1944;1990;1990;1990;3;2;0;0;0;5;2;M530045;1945;1960;x
Heurtaux;530032;ALG;1930;1942;1990;1990;2;4;16384;1;0;5;2;M530007;1930;1960;x
Morel;530033;ALG;1941;1990;1990;1990;3;3;0;0;0;5;2;L530030;1941;1960;x
Mouchotte;530034;ALG;1937;1990;1990;1990;3;3;65536;0;0;5;2;L530034;1937;1943;x
Sommer;530035;ALG;1930;1941;1990;1990;2;4;4096;1;0;5;2;M530010;1930;1960;x
