Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abdullah I;558000;ARA;1930;1930;1930;1930;0;3;4;0;0;5;0;M556008;1930;1960;x
Abrash;558001;ARA;1942;1990;1990;1990;3;2;0;0;0;5;0;M528054;1942;1960;x
Aflatan Pasha;558002;ARA;1930;1930;1941;1990;2;3;0;1;0;5;0;M512083;1930;1943;x
Ahti;558003;ARA;1930;1940;1990;1990;2;3;2;1;0;5;0;M556029;1930;1960;x
al-Abboud;558004;ARA;1945;1990;1990;1990;3;2;0;1;0;5;0;L529000;1945;1960;x
al-Amir;558005;ARA;1941;1990;1990;1990;3;2;0;0;0;5;0;L556002;1941;1960;x
al-Arab;558006;ARA;1944;1990;1990;1990;3;2;128;0;0;5;0;L529000;1944;1960;x
al-Aslan;558007;ARA;1943;1990;1990;1990;3;2;0;0;0;5;0;L528001;1943;1960;x
al-Fiqri;558008;ARA;1943;1990;1990;1990;3;2;16;0;0;5;0;L528002;1943;1960;x
al-Gawzi;558009;ARA;1930;1930;1930;1990;1;3;576;1;0;5;0;M528024;1930;1946;x
al-Hashimi;558010;ARA;1939;1990;1990;1990;3;5;16;0;0;5;0;L556003;1939;1960;x
al-Hasic;558011;ARA;1930;1990;1990;1990;3;2;1;0;0;5;0;L529002;1930;1946;x
al-Jafaar;558012;ARA;1930;1990;1990;1990;3;2;0;0;0;5;0;M556031;1930;1943;x
al-Nasser;558013;ARA;1945;1990;1990;1990;3;5;256;0;0;5;0;L512001;1945;1960;x
al-Quawugji;558014;ARA;1930;1943;1990;1990;2;2;2;1;0;5;0;M528049;1930;1960;x
al-Shishakli;558015;ARA;1937;1942;1945;1990;2;3;0;2;0;5;0;M528051;1937;1960;x
al-Wali;558016;ARA;1940;1990;1990;1990;3;2;2;0;0;5;0;M556028;1940;1960;x
al-Zaim;558017;ARA;1930;1942;1945;1990;2;3;0;2;0;5;0;M528047;1930;1960;x
Amer;558018;ARA;1945;1990;1990;1990;3;4;4;0;0;5;0;L512002;1945;1960;x
an-Nukraishi;558019;ARA;1930;1930;1990;1990;2;3;513;1;0;5;0;M512016;1930;1942;x
Aoun;558020;ARA;1944;1990;1990;1990;3;2;128;0;0;5;0;L529003;1944;1960;x
as-Sadat;558021;ARA;1944;1946;1990;1990;2;5;4;1;0;3;0;L512004;1944;1960;x
Azzam;558022;ARA;1930;1990;1990;1990;3;2;256;0;0;5;0;M529057;1930;1946;x
Barakat;558023;ARA;1943;1945;1990;1990;2;2;2;1;0;5;0;L529005;1943;1960;x
ben Jamil;558024;ARA;1938;1941;1990;1990;3;3;32;1;0;5;0;L556006;1938;1960;x
Beyran Pasha;558025;ARA;1930;1930;1990;1990;2;3;514;1;0;5;0;L512005;1930;1943;x
Bitar;558026;ARA;1945;1990;1990;1990;3;2;0;0;0;5;0;L529006;1945;1960;x
Chakour;558027;ARA;1939;1944;1990;1990;2;2;2;1;0;5;0;L528012;1939;1960;x
Chehab  A.;558028;ARA;1944;1990;1990;1990;3;2;32;0;0;5;0;L529009;1944;1960;x
Chehab  F.;558029;ARA;1939;1942;1944;1990;1;3;0;2;0;5;0;M529056;1939;1960;x
Daher;558030;ARA;1930;1990;1990;1990;3;2;1;0;0;5;0;L529011;1930;1945;x
el-Hakeem Amer;558031;ARA;1938;1939;1942;1946;1;4;0;3;0;5;0;L512006;1938;1960;x
el-Hamza Makkawi;558032;ARA;1946;1990;1990;1990;3;3;128;0;0;5;0;L512007;1946;1960;x
el-Nizar Ali;558033;ARA;1938;1942;1990;1990;2;4;256;1;0;5;0;L556009;1938;1960;x
el-Rihaz;558034;ARA;1930;1990;1990;1990;3;2;128;0;0;5;0;L556010;1930;1960;x
Fathy Pasha;558035;ARA;1930;1930;1930;1930;0;2;512;1;0;5;0;L512008;1930;1940;x
Fouad Pasha;558036;ARA;1930;1930;1990;1990;2;3;513;1;0;5;0;L512009;1930;1942;x
Ghanem;558037;ARA;1941;1944;1990;1990;2;2;2;1;0;5;0;M529053;1941;1960;x
Ghayib;558038;ARA;1943;1946;1990;1990;2;4;128;1;0;5;0;L512010;1943;1960;x
Goktai;558039;ARA;1930;1938;1943;1990;2;5;1;2;0;5;0;L512011;1930;1960;x
Hamza;558040;ARA;1930;1990;1990;1990;3;4;16;0;0;5;0;L512012;1930;1943;x
Jad;558041;ARA;1941;1990;1990;1990;3;2;1;0;0;5;0;M529059;1941;1960;x
Kamel;558042;ARA;1930;1930;1938;1990;1;3;2;1;0;5;0;M512087;1930;1945;x
Khlat;558043;ARA;1930;1990;1990;1990;3;2;0;0;0;5;0;L529017;1930;1960;x
Lahoud;558044;ARA;1938;1943;1990;1990;2;2;16;1;0;5;0;L529018;1938;1960;x
Mecit Pasha;558045;ARA;1930;1930;1990;1990;2;4;514;1;0;5;0;M556032;1930;1945;x
Naif;558046;ARA;1930;1930;1942;1990;2;3;1;1;0;5;0;M556012;1930;1960;x
Naguib;558047;ARA;1939;1942;1945;1990;1;4;1;2;0;5;0;M512088;1939;1960;x
Naoufai;558048;ARA;1930;1942;1990;1990;2;2;0;1;0;5;0;M529045;1930;1960;x
Nashran;558049;ARA;1939;1942;1990;1990;2;3;0;1;0;5;0;M512080;1939;1960;x
Obeid;558050;ARA;1943;1990;1990;1990;3;2;1;0;0;5;0;L529020;1943;1960;x
Rammal;558051;ARA;1930;1944;1990;1990;3;3;2;1;0;5;0;L529022;1930;1960;x
Refey Pasha;558052;ARA;1930;1938;1990;1990;2;3;0;1;0;5;0;L512016;1930;1960;x
Sabry Pasha;558053;ARA;1930;1930;1930;1990;1;3;514;1;0;5;0;M512007;1930;1940;x
Saleh Pasha;558054;ARA;1930;1941;1990;1990;2;3;1;1;0;5;0;L512018;1930;1960;x
Salim Pasha;558055;ARA;1930;1939;1990;1990;2;3;0;1;0;5;0;L512019;1930;1945;x
Sayed;558056;ARA;1940;1990;1990;1990;3;3;0;0;0;5;0;L556016;1940;1960;x
Sharba;558057;ARA;1943;1990;1990;1990;3;2;1;0;0;5;0;L528021;1943;1960;x
Shmayt;558058;ARA;1944;1947;1990;1990;2;2;4;1;0;5;0;L529025;1944;1960;x
Sirry Pasha;558059;ARA;1930;1930;1941;1990;1;4;2;1;0;5;0;L512020;1930;1946;x
Soliman;558060;ARA;1930;1938;1990;1990;2;3;0;1;0;5;0;M512048;1930;1960;x
Suleiman;558061;ARA;1945;1990;1990;1990;3;2;4;0;0;5;0;L529026;1945;1960;x
Tabril Pasha;558062;ARA;1930;1930;1930;1990;1;4;512;1;0;5;0;L512022;1930;1939;x
Tafoussian;558063;ARA;1943;1990;1990;1990;3;2;256;0;0;5;0;L529027;1943;1960;x
Tawfik;558064;ARA;1943;1990;1990;1990;3;4;256;0;0;5;0;L512023;1943;1960;x
Tourkmani;558065;ARA;1944;1990;1990;1990;3;2;128;0;0;5;0;L528023;1944;1960;x
Yahya Pasha;558066;ARA;1930;1930;1990;1990;2;4;513;1;0;5;0;M512029;1930;1941;x
Ziwar Pasha;558067;ARA;1930;1930;1990;1990;2;2;0;0;0;5;0;M512009;1930;1941;x
Abrash;558068;ARA;1942;1945;1990;1990;2;2;0;1;0;5;1;M528054;1942;1960;x
Aflatan Pasha;558069;ARA;1930;1930;1941;1990;2;3;0;1;0;5;1;M512083;1930;1960;x
al-Gawzi;558070;ARA;1930;1930;1930;1990;1;1;8704;0;0;5;1;M528024;1930;1946;x
Azmy Pasha;558071;ARA;1938;1943;1990;1990;2;3;8192;1;0;5;1;M512096;1938;1960;x
el-Adir;558072;ARA;1930;1990;1990;1990;3;2;1024;0;0;5;1;M556034;1930;1960;x
Fouad Pasha;558073;ARA;1930;1930;1990;1990;2;2;0;0;0;5;1;L512009;1930;1943;x
Hamid Pasha;558074;ARA;1930;1930;1990;1990;2;3;0;0;0;5;1;L512029;1930;1960;x
Jad;558075;ARA;1941;1990;1990;1990;3;2;0;0;0;5;1;M529059;1941;1960;x
Lahoud;558076;ARA;1945;1990;1990;1990;3;2;4096;0;0;5;1;M529055;1945;1960;x
Touchaleaume;558077;ARA;1939;1990;1990;1990;3;3;1024;0;0;5;1;L529034;1939;1960;x
Ziwar Pasha;558078;ARA;1930;1930;1930;1990;1;3;0;0;0;5;1;M512009;1930;1945;x
al-Afiz;558079;ARA;1939;1990;1990;1990;3;2;0;0;0;5;2;M556035;1939;1960;x
al-Khaliq;558080;ARA;1939;1943;1990;1990;2;3;32768;1;0;5;2;M556036;1939;1960;x
al-Nasser;558081;ARA;1945;1990;1990;1990;3;3;0;0;0;5;2;L512001;1945;1960;x
Azmy Pasha;558082;ARA;1938;1943;1990;1990;2;3;131072;1;0;5;2;M512096;1938;1960;x
el-Hamza Makkawi;558083;ARA;1946;1990;1990;1990;3;3;0;0;0;5;2;L512012;1946;1960;x
Gabli;558084;ARA;1943;1990;1990;1990;3;2;32768;0;0;5;2;L529036;1943;1960;x
Johani;558085;ARA;1944;1990;1990;1990;3;2;0;0;0;5;2;L528033;1944;1960;x
Maadarani;558086;ARA;1945;1990;1990;1990;3;2;0;0;0;5;2;L529037;1945;1960;x
Naoufai;558087;ARA;1930;1944;1990;1990;2;2;0;1;0;5;2;M529045;1930;1960;x
