Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Alberto Venâncio;31000;BRA;1943;1990;1990;1990;3;4;1;0;0;3;0;L31000;1943;1960;x
Alvés Marinho;31001;BRA;1930;1930;1941;1990;1;4;0;1;0;5;0;L31001;1930;1946;x
Aurélio de Monteiro;31002;BRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L31002;1930;1938;x
Barata de Azevedo;31003;BRA;1930;1938;1990;1990;2;5;1;1;0;4;0;L31003;1930;1943;x
Barbosa;31004;BRA;1939;1990;1990;1990;3;6;256;0;0;4;0;L31004;1939;1960;x
Borges da Fonseca Neto;31005;BRA;1944;1990;1990;1990;3;5;1;0;0;5;0;L31005;1944;1960;x
Cardoso;31006;BRA;1938;1943;1990;1990;2;4;1;1;0;4;0;L31006;1938;1960;x
Cassiano;31007;BRA;1945;1990;1990;1990;3;4;0;0;0;3;0;L31007;1945;1960;x
Castello Branca;31008;BRA;1940;1942;1990;1990;2;6;4;1;0;4;0;L31008;1940;1946;x
Chadavec de Lavalade;31009;BRA;1930;1930;1990;1990;2;4;0;0;0;5;0;L31009;1930;1941;x
Coelho Neto;31010;BRA;1937;1944;1990;1990;3;6;128;1;0;4;0;L31010;1937;1947;x
Cordeiro de Farias;31011;BRA;1930;1940;1942;1990;1;6;1;2;0;5;0;L31011;1930;1960;x
Costa é Silva;31012;BRA;1942;1947;1949;1951;1;6;4;3;0;5;0;L31012;1942;1960;x
d'Alincourt Fonseca;31013;BRA;1930;1930;1990;1990;2;5;2;0;0;5;0;L31013;1930;1945;x
da Gama Leirós;31014;BRA;1937;1942;1990;1990;2;4;128;1;0;4;0;L31014;1937;1960;x
da Silva;31015;BRA;1930;1938;1990;1990;2;5;544;2;0;5;0;L31015;1930;1946;x
de Assis;31016;BRA;1938;1941;1943;1990;2;6;2;2;0;5;0;L31016;1938;1960;x
de Souza Dantas de Melo;31017;BRA;1930;1990;1990;1990;3;4;0;0;0;3;0;L31017;1930;1940;x
Dilermando de Assis;31018;BRA;1930;1939;1990;1990;2;4;0;1;0;5;0;L31018;1930;1960;x
do Nascimento;31019;BRA;1941;1990;1990;1990;3;6;16;0;0;3;0;L31019;1941;1947;x
do Nascimento Lins;31020;BRA;1930;1990;1990;1990;3;4;0;0;0;5;0;L31020;1930;1944;x
dos Santos;31021;BRA;1938;1945;1990;1990;3;5;256;1;0;3;0;L31021;1938;1960;x
Falconeiro da Cunha;31022;BRA;1941;1990;1990;1990;3;4;0;0;0;4;0;L31022;1941;1960;x
Fernandes da Silva;31023;BRA;1938;1942;1990;1990;2;4;256;1;0;5;0;L31023;1938;1960;x
Figueiredo;31024;BRA;1937;1941;1990;1990;2;6;0;0;0;3;0;L31024;1937;1946;x
Fiuza de Castro;31025;BRA;1938;1941;1990;1990;2;6;4;1;0;5;0;L31025;1938;1960;x
Floriano de Lima Brayner;31026;BRA;1939;1990;1990;1990;3;6;4;1;0;5;0;L31026;1939;1947;x
Gaspar Dutra;31027;BRA;1930;1930;1930;1930;0;6;0;2;0;4;0;L31027;1930;1946;x
Gleuber Viera;31028;BRA;1943;1990;1990;1990;3;5;64;0;0;5;0;L31028;1943;1960;x
Góes Depóe;31029;BRA;1938;1990;1990;1990;3;4;256;0;0;3;0;L31029;1938;1960;x
