Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adams;572000;CAL;1940;1942;1990;1990;2;4;64;1;0;5;0;L572000;1940;1960;x
Andreotti;572001;CAL;1944;1990;1990;1990;3;5;128;0;0;5;0;L572001;1944;1960;x
Barker;572002;CAL;1941;1990;1990;1990;3;5;256;0;0;5;0;L572002;1941;1960;x
Barlow;572003;CAL;1942;1946;1990;1990;2;5;128;1;0;5;0;L572003;1942;1960;x
Barrow;572004;CAL;1943;1990;1990;1990;3;3;0;0;0;5;0;L572004;1943;1960;x
Bodin;572005;CAL;1939;1942;1990;1990;2;5;128;1;0;5;0;L572005;1939;1960;x
Bozeman;572006;CAL;1940;1990;1990;1990;3;4;32;0;0;5;0;L572006;1940;1960;x
Burgin;572007;CAL;1938;1942;1990;1990;2;5;16;1;0;5;0;L572007;1938;1960;x
Byrne;572008;CAL;1938;1941;1943;1990;1;6;1;2;0;5;0;M572027;1938;1960;x
Cannon;572009;CAL;1930;1930;1990;1990;2;6;1;0;0;5;0;L572009;1930;1960;x
Cozine;572010;CAL;1940;1990;1990;1990;3;5;256;0;0;5;0;L572010;1940;1960;x
Davies;572011;CAL;1938;1943;1990;1990;2;4;1;1;0;5;0;L572011;1938;1960;x
Forbes;572012;CAL;1930;1930;1930;1990;1;7;516;1;0;5;0;L572012;1930;1943;x
Gibson;572013;CAL;1939;1941;1990;1990;2;5;2;1;0;5;0;L572013;1939;1960;x
Gidley;572014;CAL;1941;1943;1990;1990;2;5;1;1;0;5;0;L572014;1941;1960;x
Glucas;572015;CAL;1939;1942;1990;1990;2;6;4;1;0;5;0;L572015;1939;1960;x
Halverson;572016;CAL;1942;1990;1990;1990;3;6;128;0;0;5;0;L572016;1942;1960;x
Hartnett;572017;CAL;1939;1942;1990;1990;2;6;0;1;0;5;0;M572026;1939;1960;x
Iffland;572018;CAL;1939;1990;1990;1990;3;4;64;0;0;5;0;L572018;1939;1960;x
James;572019;CAL;1930;1930;1938;1990;1;7;5;1;0;5;0;M572008;1930;1960;x
Lotz;572020;CAL;1930;1939;1990;1990;2;6;4;1;0;5;0;L572020;1930;1960;x
Lowenberg;572021;CAL;1941;1990;1990;1990;3;3;0;0;0;5;0;L572021;1941;1960;x
Minetti;572022;CAL;1942;1990;1990;1990;3;5;128;0;0;5;0;L572022;1942;1960;x
Moore;572023;CAL;1939;1941;1990;1990;2;5;256;1;0;5;0;L572023;1939;1960;x
Owens;572024;CAL;1942;1990;1990;1990;3;3;0;0;0;5;0;L572024;1942;1960;x
Ragsdale;572025;CAL;1940;1990;1990;1990;3;4;32;0;0;5;0;L572025;1940;1960;x
Rataczak;572026;CAL;1942;1990;1990;1990;3;5;4;0;0;5;0;L572026;1942;1960;x
Read;572027;CAL;1942;1990;1990;1990;3;4;2;0;0;5;0;L572027;1942;1960;x
Rees;572028;CAL;1942;1990;1990;1990;3;5;256;0;0;5;0;L572028;1942;1960;x
Rodriguez;572029;CAL;1941;1990;1990;1990;3;3;1;0;0;5;0;L572029;1941;1960;x
Scoggins;572030;CAL;1942;1990;1990;1990;3;5;4;0;0;5;0;L572030;1942;1960;x
