Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Du Ping;579000;PRK;1943;1990;1990;1990;3;6;256;0;0;5;0;L579000;1943;1960;x
Gan Siqi;579001;PRK;1938;1944;1990;1990;2;4;2;1;0;5;0;L579001;1938;1960;x
Han Xianchu;579002;PRK;1930;1940;1944;1990;1;4;0;3;0;5;0;L579002;1930;1960;x
Hong Xuezhi;579003;PRK;1942;1990;1990;1990;3;3;1;0;0;5;0;L579003;1942;1960;x
Kim Il Sung;579004;PRK;1930;1930;1930;1930;0;3;1;1;0;5;0;L579004;1930;1960;x
Lai Chuanzhu;579005;PRK;1944;1990;1990;1990;3;2;0;0;0;5;0;L579005;1944;1960;x
Li Jukui;579006;PRK;1941;1990;1990;1990;3;4;128;0;0;5;0;L579006;1941;1960;x
Liu Fei;579007;PRK;1940;1990;1990;1990;3;3;0;0;0;5;0;L579007;1940;1960;x
Nie Fengzhi;579008;PRK;1937;1942;1943;1990;1;5;128;2;0;5;0;L579008;1937;1960;x
Quin Jiwei;579009;PRK;1940;1943;1990;1990;2;4;64;1;0;5;0;L579009;1940;1960;x
Ra Pilk Wan;579010;PRK;1945;1990;1990;1990;3;2;0;0;0;5;0;L579010;1945;1960;x
Song Shilun;579011;PRK;1930;1940;1990;1990;2;4;64;1;0;5;0;M579007;1930;1960;x
Su Yu;579012;PRK;1930;1930;1942;1943;0;5;9;3;0;5;0;L579012;1930;1960;x
Tao Yong;579013;PRK;1939;1942;1990;1990;2;4;0;1;0;5;0;M579013;1939;1960;x
Wu Ruilin;579014;PRK;1945;1990;1990;1990;3;3;32;0;0;5;0;L579014;1945;1960;x
Xiao Jinguang;579015;PRK;1930;1990;1990;1990;3;4;1;0;0;5;0;M579006;1930;1960;x
Xu Binzhou;579016;PRK;1938;1942;1990;1990;2;5;16;1;0;5;0;M579016;1938;1960;x
Yang Dezhi;579017;PRK;1942;1990;1990;1990;3;2;0;0;0;5;0;L579017;1942;1960;x
Zhang Renchu;579018;PRK;1941;1990;1990;1990;3;4;8;0;0;5;0;M579018;1941;1960;x
Zheng Weishan;579019;PRK;1939;1941;1990;1990;2;3;256;1;0;5;0;M579019;1939;1960;x
Zhoui Biao;579020;PRK;1930;1939;1942;1990;1;5;4;2;0;5;0;M579020;1930;1960;x
Chen Xilian;579021;PRK;1938;1942;1990;1990;2;3;2048;1;0;5;1;L579021;1938;1960;x
Chen Yun;579022;PRK;1930;1990;1990;1990;3;3;0;0;0;5;1;L579022;1930;1960;x
Deng Hua;579023;PRK;1944;1990;1990;1990;3;4;4096;0;0;5;1;L579023;1944;1960;x
Kang Kon;579024;PRK;1942;1990;1990;1990;3;3;0;0;0;5;1;L579024;1942;1960;x
Liu Xiyuan;579025;PRK;1930;1940;1945;1990;1;3;1024;2;0;5;1;M579009;1930;1960;x
Chen Geng;579026;PRK;1940;1990;1990;1990;3;4;131072;0;0;5;2;L579026;1940;1960;x
Li Kenong;579027;PRK;1930;1930;1943;1990;1;4;32768;2;0;5;2;M579010;1930;1960;x
Li Zhimin;579028;PRK;1940;1943;1990;1990;2;3;0;2;0;5;2;L579028;1940;1960;x
Liang Xingchu;579029;PRK;1944;1990;1990;1990;3;3;65536;1;0;5;2;L579029;1944;1960;x
Liu Yalou;579030;PRK;1940;1943;1990;1990;2;4;0;1;0;5;2;L579030;1940;1960;x
Wang Daobang;579031;PRK;1944;1990;1990;1990;3;3;4096;0;0;5;2;L579031;1944;1960;x
Wang Yinshan;579032;PRK;1942;1990;1990;1990;3;4;8192;0;0;5;2;L579032;1942;1960;x
Wu Xinquan;579033;PRK;1938;1942;1990;1990;2;3;0;1;0;5;2;L579033;1938;1960;x
Yuan Shengping;579034;PRK;1945;1990;1990;1990;3;3;0;0;0;5;2;L579034;1945;1960;x
