Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
David;574000;CON;1944;1946;1990;1990;2;3;4;1;0;5;0;L574000;1944;1960;x
Defraiteur;574001;CON;1939;1943;1946;1990;1;5;128;2;0;5;0;M574028;1939;1960;x
de Vlaminge;574002;CON;1930;1930;1930;1990;1;6;3;1;0;5;0;M574006;1930;1945;x
Deruycke;574003;CON;1930;1930;1990;1990;2;4;2;0;0;5;0;M574005;1930;1946;x
Gerima;574004;CON;1945;1990;1990;1990;3;3;256;0;0;5;0;L574004;1945;1960;x
Kasavubu;574005;CON;1939;1941;1944;1990;1;4;32;2;0;5;0;M574027;1939;1960;x
Lapierre;574006;CON;1930;1990;1990;1990;3;5;528;1;0;5;0;M574024;1930;1941;x
LeMagnen;574007;CON;1930;1930;1990;1990;2;4;514;1;0;5;0;M574029;1930;1942;x
Manera;574008;CON;1930;1990;1990;1990;3;4;64;0;0;5;0;L574008;1930;1960;x
Mboma;574009;CON;1943;1945;1990;1990;2;3;5;1;0;5;0;L574009;1943;1960;x
Micombero;574010;CON;1944;1990;1990;1990;3;4;256;0;0;5;0;M574022;1944;1960;x
Mobutu;574011;CON;1943;1945;1946;1990;1;4;1;2;0;5;0;M574030;1943;1960;x
Mutara III;574012;CON;1930;1930;1930;1930;0;2;1;0;0;5;0;M574001;1930;1960;x
Renondeau;574013;CON;1930;1990;1990;1990;3;3;2;0;0;5;0;M574026;1930;1943;x
Teissier;574014;CON;1930;1990;1990;1990;3;3;1;0;0;5;0;L574014;1930;1960;x
van Reynden;574015;CON;1930;1930;1939;1990;1;5;0;1;0;5;0;M574008;1930;1960;x
Berghen;574016;CON;1940;1990;1990;1990;3;3;1024;0;0;5;1;M574031;1940;1960;x
Mbonyumutwa;574017;CON;1944;1990;1990;1990;3;2;0;0;0;5;1;M574032;1944;1960;x
Nillesen;574018;CON;1941;1990;1990;1990;3;3;0;0;0;5;1;L574018;1941;1960;x
Raffage;574019;CON;1943;1946;1990;1990;2;4;4096;1;0;5;1;M574033;1943;1960;x
van Reynden;574020;CON;1930;1930;1990;1990;1;3;0;1;0;5;1;M574008;1930;1960;x
Berghen;574021;CON;1940;1990;1990;1990;3;4;131072;0;0;5;2;M574031;1940;1960;x
Gerima;574022;CON;1945;1990;1990;1990;3;3;0;0;0;5;2;L574004;1945;1960;x
Mahongo;574023;CON;1943;1990;1990;1990;3;2;0;0;0;5;2;L574023;1943;1960;x
Manera;574024;CON;1930;1990;1990;1990;3;3;0;0;0;5;2;L574008;1930;1960;x
Mwambutsa IV;574025;CON;1930;1930;1939;1990;2;2;0;1;0;5;2;M574011;1930;1960;x
Pascal;574026;CON;1930;1940;1990;1990;2;4;16384;1;0;5;2;M574010;1930;1960;x
