Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
de la Espriella;350000;COS;1945;1990;1990;1990;3;3;0;0;0;3;0;L350000;1945;1960;x
Figueres Ferrer;350001;COS;1939;1942;1945;1990;2;5;4;2;0;2;0;L350001;1939;1960;x
Lorenzo Brenes;350002;COS;1945;1990;1990;1990;3;3;0;0;0;3;0;L350002;1945;1960;x
Marshall Jimenéz;350003;COS;1945;1990;1990;1990;3;3;256;0;0;5;0;L350003;1945;1960;x
Marten Chavarria;350004;COS;1930;1942;1990;1990;2;3;2;1;0;2;0;L350004;1930;1960;x
Narvaez Guell;350005;COS;1945;1990;1990;1990;3;3;16;0;0;3;0;L350005;1945;1960;x
Orlich Bolmarich;350006;COS;1930;1939;1990;1990;2;3;128;1;0;3;0;L350006;1930;1945;x
Ortuno Sabrado;350007;COS;1945;1990;1990;1990;3;3;0;0;0;3;0;L350007;1945;1960;x
Ramirez Alcantara;350008;COS;1945;1990;1990;1990;3;3;1;0;0;3;0;L350008;1945;1960;x
Ramirez y Ramirez;350009;COS;1930;1930;1990;1990;2;5;576;1;0;5;0;L350009;1930;1940;x
Rosendo Arguello;350010;COS;1945;1990;1990;1990;3;3;1;0;0;2;0;L350010;1945;1960;x
Ross Cardono  E.;350011;COS;1939;1945;1990;1990;2;3;4;1;0;3;0;L350011;1939;1960;x
Ross Cardono  S.;350012;COS;1945;1990;1990;1990;3;3;0;0;0;3;0;L350012;1945;1960;x
Santa Reynaldo;350013;COS;1940;1990;1990;1990;3;3;0;0;0;4;0;L350013;1940;1945;x
Sinaja Calufa;350014;COS;1945;1945;1990;1990;2;3;0;1;0;3;0;L350014;1945;1947;x
Tinoco;350015;COS;1930;1930;1930;1990;1;3;2;1;0;4;0;L350015;1930;1939;x
Volio Jimenéz;350016;COS;1938;1990;1990;1990;3;3;128;0;0;3;0;L350016;1938;1946;x
Zamora  A.;350017;COS;1930;1942;1945;1990;2;3;0;2;0;3;0;L350017;1930;1960;x
Zamora  E.;350018;COS;1945;1990;1990;1990;3;3;0;0;0;5;0;L350018;1945;1960;x
Abreu Castro;350019;COS;1943;1990;1990;1990;3;3;0;0;0;3;1;L350019;1943;1960;x
Juarez Camposino;350020;COS;1939;1945;1990;1990;2;3;0;1;0;5;1;L350020;1939;1960;x
Siedler Mendoza;350021;COS;1945;1990;1990;1990;3;3;0;0;0;4;1;L350021;1945;1960;x
Vaqueza Cortes;350022;COS;1930;1943;1990;1990;3;3;1024;1;0;5;1;L350022;1930;1945;x
Macho Nuñez;350023;COS;1940;1990;1990;1990;3;4;8192;0;0;3;2;L350023;1940;1945;x
Padilla Sellean;350024;COS;1945;1990;1990;1990;3;3;0;0;0;3;2;L350024;1945;1960;x
Uribé Alpoveda;350025;COS;1945;1990;1990;1990;3;3;0;0;0;3;2;L350025;1945;1960;x
Zamora;350026;COS;1930;1940;1990;1990;2;3;0;1;0;3;2;L350026;1930;1960;x
