Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adair;1000;ENG;1942;1990;1990;1990;3;5;0;1;0;5;0;L1000;1942;1947;x
Adam;1001;ENG;1930;1930;1942;1990;2;6;513;2;0;5;0;L1001;1930;1946;x
Aikenhead;1002;ENG;1944;1990;1990;1990;3;5;64;1;0;5;0;L1002;1944;1947;x
Airey;1003;ENG;1943;1946;1990;1990;3;4;129;2;0;5;0;L1003;1943;1960;x
Aizlewood;1004;ENG;1940;1990;1990;1990;3;5;128;1;0;5;0;L1004;1940;1945;x
Alanbrooke;1005;ENG;1930;1930;1939;1944;1;9;6;5;0;5;0;L1005;1930;1946;x
Alexander;1006;ENG;1930;1940;1942;1944;1;9;7;5;0;5;0;L1006;1930;1946;x
Allfrey;1007;ENG;1941;1944;1990;1990;3;6;2;2;0;5;0;L1007;1941;1960;x
Ambrose;1008;ENG;1943;1990;1990;1990;3;5;16;1;0;5;0;L1008;1943;1947;x
Amyatt-Hull;1009;ENG;1943;1944;1947;1954;0;7;128;4;0;5;0;L1009;1943;1970;x
Anderson  D.F.;1010;ENG;1939;1940;1990;1990;2;5;0;2;0;5;0;L1010;1939;1944;x
Anderson  K.A.N.;1011;ENG;1938;1942;1990;1990;2;7;3;3;0;5;0;L1011;1938;1960;x
Arbuthnott;1012;ENG;1943;1990;1990;1990;3;5;0;1;0;5;0;L1012;1943;1960;x
Arkwright-Hore-Ruthven;1013;ENG;1942;1990;1990;1990;3;5;128;1;0;5;0;L1013;1942;1960;x
Auchinleck;1014;ENG;1930;1939;1940;1946;1;8;7;5;0;5;0;L1014;1930;1947;x
Baillon;1015;ENG;1941;1990;1990;1990;3;5;0;1;0;5;0;L1015;1941;1960;x
Baird of Stonehaven;1016;ENG;1930;1930;1930;1990;1;5;514;1;0;5;0;L1016;1930;1940;x
Balerno of Currie;1017;ENG;1942;1990;1990;1990;3;4;0;1;0;5;0;L1017;1942;1945;x
Balfour;1018;ENG;1930;1941;1990;1990;2;5;0;2;0;5;0;L1018;1930;1942;x
Ballentine;1019;ENG;1943;1990;1990;1990;3;5;128;1;0;5;0;L1019;1943;1960;x
Bancroft-Cooke;1020;ENG;1943;1990;1990;1990;3;7;192;1;0;5;0;L1020;1943;1960;x
Banks-MacDonald;1021;ENG;1939;1990;1990;1990;3;4;516;1;0;5;0;L1021;1939;1945;x
Barker  E.H.;1022;ENG;1941;1944;1990;1990;3;5;0;2;0;5;0;L1022;1941;1960;x
