Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Ardant du Picq;24000;FRA;1930;1938;1990;1990;2;4;1;2;0;5;0;L24000;1930;1960;x
Arlabosse;24001;FRA;1930;1939;1990;1990;3;3;0;2;0;4;0;L24001;1930;1960;x
Armand;24002;FRA;1943;1990;1990;1990;3;4;1;1;0;4;0;L24002;1943;1960;x
Armingeat;24003;FRA;1937;1939;1990;1990;2;3;0;2;0;3;0;L24003;1937;1960;x
Arnaud;24004;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24004;1939;1944;x
Audet;24005;FRA;1930;1938;1943;1990;3;3;2;3;0;4;0;L24005;1930;1960;x
Aymé;24006;FRA;1930;1943;1946;1990;3;4;0;3;0;3;0;L24006;1930;1960;x
Barreau;24007;FRA;1930;1990;1990;1990;3;4;64;1;0;4;0;L24007;1930;1960;x
Bastien;24008;FRA;1943;1990;1990;1990;3;4;256;1;0;3;0;L24008;1943;1960;x
Beaumont;24009;FRA;1938;1990;1990;1990;3;3;32;1;0;4;0;L24009;1938;1960;x
Bertin-Boussus;24010;FRA;1937;1940;1990;1990;3;3;1;2;0;4;0;L24010;1937;1960;x
Bethouart;24011;FRA;1940;1942;1943;1990;1;6;260;3;0;5;0;L24011;1940;1960;x
Billotte;24012;FRA;1943;1946;1990;1990;3;6;0;2;0;5;0;L24012;1943;1960;x
Bingen;24013;FRA;1942;1990;1990;1990;3;5;64;1;0;5;0;L24013;1942;1944;x
Blanc;24014;FRA;1930;1930;1938;1990;1;3;0;2;0;4;0;L24014;1930;1960;x
Blanchard;24015;FRA;1930;1930;1990;1990;2;4;2;1;0;4;0;L24015;1930;1960;x
Blanchet;24016;FRA;1943;1946;1990;1990;3;4;4;2;0;4;0;L24016;1943;1960;x
Blaizot;24017;FRA;1940;1943;1944;1990;2;5;0;3;0;5;0;L24017;1940;1960;x
Bondis;24018;FRA;1944;1945;1990;1990;3;6;256;2;0;5;0;L24018;1944;1960;x
Bourges-Maunory;24019;FRA;1944;1947;1990;1990;3;3;32;2;0;3;0;L24019;1944;1947;x
Bridoux;24020;FRA;1930;1939;1990;1990;2;3;0;1;0;2;0;L24020;1930;1960;x
Brisac;24021;FRA;1944;1945;1990;1990;3;5;0;2;0;5;0;L24021;1944;1960;x
Brocard;24022;FRA;1939;1990;1990;1990;3;4;128;1;0;5;0;L24022;1939;1943;x
Brosset;24023;FRA;1942;1943;1990;1990;2;5;4;2;0;5;0;L24023;1942;1944;x
Bruneau;24024;FRA;1939;1990;1990;1990;3;4;128;1;0;4;0;L24024;1939;1941;x
Callies;24025;FRA;1942;1945;1990;1990;3;5;4;2;0;5;0;L24025;1942;1960;x
Camerini;24026;FRA;1946;1990;1990;1990;3;4;256;1;0;5;0;L24026;1946;1990;x
Carlès;24027;FRA;1930;1938;1990;1990;2;3;1;2;0;4;0;L24027;1930;1960;x
Carpentier;24028;FRA;1940;1944;1947;1990;3;6;1;3;0;5;0;L24028;1940;1960;x
Catroux;24029;FRA;1939;1941;1943;1947;2;6;0;4;0;4;0;L24029;1939;1960;x
Chaban-Delmas;24030;FRA;1944;1990;1990;1990;3;3;1;1;0;5;0;L24030;1944;1960;x
Chardigny;24031;FRA;1930;1930;1990;1990;2;4;514;1;0;5;0;L24031;1930;1939;x
Chevillon;24032;FRA;1942;1946;1990;1990;3;5;1;2;0;5;0;L24032;1942;1960;x
Collet;24033;FRA;1941;1944;1990;1990;3;6;257;2;0;5;0;L24033;1941;1945;x
Colson;24034;FRA;1930;1930;1930;1990;1;5;2;2;0;2;0;L24034;1930;1960;x
Condé;24035;FRA;1930;1930;1930;1990;1;5;514;2;0;5;0;L24035;1930;1960;x
Corap;24036;FRA;1930;1930;1938;1990;1;6;2;2;0;5;0;L24036;1930;1960;x
Cornille;24037;FRA;1930;1930;1990;1990;2;3;514;1;0;5;0;L24037;1930;1939;x
Crepin-Artu;24038;FRA;1943;1990;1990;1990;3;5;4;1;0;4;0;L24038;1943;1960;x
d'Arras;24039;FRA;1930;1939;1990;1990;2;4;0;2;0;5;0;L24039;1930;1960;x
d'Harcourt;24040;FRA;1943;1990;1990;1990;3;4;256;1;0;4;0;L24040;1943;1960;x
de Bazelaire de Ruppiere;24041;FRA;1930;1938;1990;1990;2;4;513;2;0;4;0;L24041;1930;1960;x
de Benouville;24042;FRA;1944;1990;1990;1990;3;5;4;1;0;5;0;L24042;1944;1960;x
de Boissieu de Lugne;24043;FRA;1939;1990;1990;1990;3;4;4;1;0;5;0;L24043;1939;1960;x
de Corta;24044;FRA;1938;1990;1990;1990;3;3;1;1;0;3;0;L24044;1938;1960;x
de Cugis;24045;FRA;1944;1990;1990;1990;3;3;32;1;0;5;0;L24045;1944;1960;x
de Cyvoct;24046;FRA;1939;1990;1990;1990;3;3;2;1;0;4;0;L24046;1939;1942;x
de Gaulle;24047;FRA;1939;1940;1941;1990;1;8;132;3;0;5;0;L24047;1939;1960;x
de Guillebon;24048;FRA;1944;1990;1990;1990;3;4;1;1;0;5;0;L24048;1944;1990;x
de Hesdin;24049;FRA;1942;1943;1946;1990;2;5;64;3;0;5;0;L24049;1942;1960;x
de la Porte du Theil;24050;FRA;1930;1938;1939;1990;2;4;2;3;0;5;0;L24050;1930;1960;x
de Larminat;24051;FRA;1941;1942;1943;1990;1;5;5;3;0;5;0;L24051;1941;1960;x
de Roux;24052;FRA;1938;1990;1990;1990;3;5;0;1;0;5;0;L24052;1938;1960;x
de Saint-Maurice;24053;FRA;1930;1930;1990;1990;2;3;1;1;0;5;0;L24053;1930;1960;x
de Verdillac;24054;FRA;1930;1938;1990;1990;2;5;2;2;0;3;0;L24054;1930;1960;x
Darde;24055;FRA;1939;1990;1990;1990;3;3;0;1;0;4;0;L24055;1939;1960;x
Debeney;24056;FRA;1937;1990;1990;1990;2;5;514;1;0;3;0;L24056;1937;1946;x
Dejussieu-Pontcarel;24057;FRA;1944;1946;1990;1990;3;5;2;2;0;4;0;L24057;1944;1960;x
Delestraint;24058;FRA;1930;1939;1990;1990;2;4;128;2;0;5;0;L24058;1930;1960;x
Dentz;24059;FRA;1930;1930;1938;1990;1;3;256;2;0;3;0;L24059;1930;1945;x
Desmazes;24060;FRA;1930;1939;1990;1990;2;3;0;2;0;4;0;L24060;1930;1960;x
Dio;24061;FRA;1941;1990;1990;1990;3;6;257;1;0;5;0;L24061;1941;1944;x
Doumenc;24062;FRA;1930;1930;1930;1990;1;3;514;2;0;4;0;L24062;1930;1960;x
Doyen;24063;FRA;1930;1939;1990;1990;2;3;128;2;0;4;0;L24063;1930;1960;x
Dronne;24064;FRA;1942;1990;1990;1990;3;6;260;1;0;5;0;L24064;1942;1946;x
Dubuisson;24065;FRA;1930;1930;1939;1990;1;4;0;2;0;3;0;L24065;1930;1960;x
Duclos;24066;FRA;1940;1990;1990;1990;3;5;0;1;0;3;0;L24066;1940;1945;x
