Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abraham;1;GER;1943;1944;1990;1990;3;5;0;2;0;5;0;L1;1943;1960;x
Allmendinger;2;GER;1940;1943;1990;1990;3;6;0;2;0;5;0;L2;1940;1945;x
Andersen;3;GER;1945;1990;1990;1990;3;5;32;1;0;5;0;L3;1945;1960;x
Anton;4;GER;1942;1944;1990;1990;3;6;2;2;0;5;0;L4;1942;1960;x
Arndt;5;GER;1942;1943;1990;1990;2;6;4;2;0;5;0;L5;1942;1960;x
Auleb;6;GER;1939;1943;1990;1990;2;8;0;2;0;5;0;L6;1939;1960;x
Baade;7;GER;1943;1944;1990;1990;3;6;3;2;0;5;0;L7;1943;1945;x
Bader;8;GER;1930;1939;1990;1990;2;7;577;2;0;5;0;L8;1930;1944;x
Balck;9;GER;1942;1943;1990;1990;3;9;128;3;0;5;0;L9;1942;1960;x
Balla;10;GER;1942;1990;1990;1990;3;5;4;1;0;5;0;L10;1942;1944;x
Barenthin;11;GER;1943;1990;1990;1990;3;6;256;1;0;5;0;L11;1943;1960;x
Bayerlein;12;GER;1943;1944;1990;1990;2;8;128;2;0;5;0;L12;1943;1960;x
Behlendorff;13;GER;1938;1940;1941;1990;2;6;32;3;0;5;0;L13;1938;1960;x
Behrend;14;GER;1940;1990;1990;1990;3;5;0;1;0;5;0;L14;1940;1960;x
Bergen;15;GER;1941;1943;1990;1990;2;5;2;2;0;5;0;L15;1941;1960;x
Bergmann;16;GER;1930;1938;1990;1990;2;6;4;2;0;5;0;L16;1930;1941;x
Berlin;17;GER;1940;1943;1990;1990;3;5;0;2;0;5;0;L17;1940;1960;x
Betz;18;GER;1942;1990;1990;1990;3;6;32;1;0;5;0;L18;1942;1944;x
Bieler;19;GER;1938;1941;1990;1990;2;5;0;2;0;5;0;L19;1938;1945;x
Blaskowitz;20;GER;1930;1930;1939;1990;1;9;4;3;0;5;0;L20;1930;1960;x
