Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Acheampong;551000;GLD;1943;1945;1990;1990;2;2;2;1;0;5;0;M551032;1943;1960;x
Afrifa;551001;GLD;1945;1990;1990;1990;3;2;128;0;0;5;0;L551001;1945;1960;x
Akuffo;551002;GLD;1944;1946;1990;1990;2;3;32;1;0;5;0;L551002;1944;1960;x
Ankrah;551003;GLD;1944;1990;1990;1990;3;2;16;0;0;5;0;L551003;1944;1960;x
Arden-Clarke;551004;GLD;1930;1930;1941;1990;1;4;0;0;0;5;0;M551008;1930;1960;x
Bradshaw;551005;GLD;1942;1990;1990;1990;3;4;0;0;0;5;0;L1046;1942;1946;x
Butler;551006;GLD;1930;1942;1990;1990;2;5;5;1;0;5;0;M551006;1930;1960;x
Dolphin;551007;GLD;1930;1990;1990;1990;3;2;256;0;0;5;0;M551017;1930;1942;x
Hartley;551008;GLD;1944;1990;1990;1990;3;2;0;0;0;5;0;M551025;1945;1960;x
Hayman-Joyce;551009;GLD;1941;1990;1990;1990;3;4;0;1;0;5;0;L1157;1941;1947;x
Mazibuko;551010;GLD;1945;1990;1990;1990;3;2;0;0;0;5;0;L551010;1945;1960;x
Ocran;551011;GLD;1945;1990;1990;1990;3;2;64;0;0;5;0;M551031;1945;1960;x
Smyth;551012;GLD;1937;1990;1990;1990;3;4;513;1;0;5;0;L1282;1937;1945;x
Warren;551013;GLD;1937;1942;1990;1990;2;5;2;1;0;5;0;L1309;1937;1945;x
Amedume;551014;GLD;1940;1945;1990;1990;2;3;4096;1;0;5;1;M551037;1940;1960;x
Dolphin;551015;GLD;1930;1990;1990;1990;3;2;0;0;0;5;1;M551017;1930;1942;x
Kwanikwa;551016;GLD;1944;1990;1990;1990;3;2;0;0;0;5;1;M551038;1944;1960;x
Randall-Scott;551017;GLD;1930;1930;1990;1990;2;3;2048;1;0;5;1;M551009;1930;1960;x
Russo;551018;GLD;1941;1990;1990;1990;3;4;1024;0;0;5;1;L551018;1941;1960;x
Amedume;551019;GLD;1940;1945;1990;1990;2;2;131072;1;0;5;2;M551037;1940;1960;x
Arden-Clarke;551020;GLD;1930;1930;1990;1990;2;3;16384;1;0;5;2;M551008;1930;1960;x
Butler;551021;GLD;1930;1942;1990;1990;2;2;32768;1;0;5;2;M551006;1930;1960;x
DeBoer;551022;GLD;1939;1990;1990;1990;3;4;4096;0;0;5;2;L551022;1939;1944;x
Hartley;551023;GLD;1945;1990;1990;1990;3;2;0;0;0;5;2;M551025;1945;1960;x
Pattison;551024;GLD;1938;1990;1990;1990;3;3;0;0;0;5;2;L551024;1938;1960;x
