Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Bergé;537000;GUI;1930;1939;1990;1990;2;4;256;1;0;5;0;M537010;1930;1960;x
Brigouleix;537001;GUI;1940;1990;1990;1990;3;3;2;0;0;5;0;L537001;1940;1960;x
Broche;537002;GUI;1939;1990;1990;1990;3;3;4;0;0;5;0;L537002;1939;1943;x
Delsol;537003;GUI;1940;1990;1990;1990;3;4;64;0;0;5;0;M537022;1940;1960;x
Guelard;537004;GUI;1930;1930;1990;1990;2;3;1;1;0;5;0;M537008;1930;1960;x
Mansion;537005;GUI;1941;1990;1990;1990;3;4;256;0;0;5;0;L537005;1941;1960;x
Mazana;537006;GUI;1938;1990;1990;1990;3;3;1;0;0;5;0;M537021;1938;1945;x
O'Neill;537007;GUI;1941;1990;1990;1990;3;6;260;1;0;5;0;L537007;1941;1960;x
Terrac;537008;GUI;1930;1930;1990;1990;2;3;1;1;0;5;0;M537007;1930;1960;x
Vanier;537009;GUI;1930;1930;1930;1990;1;4;514;1;0;5;0;L537009;1930;1941;x
Brasseur-Kermadec;537010;GUI;1930;1939;1946;1990;2;4;4096;2;0;5;1;M537009;1930;1960;x
de Goujon de Thuisy;537011;GUI;1930;1990;1990;1990;3;2;0;0;0;5;1;L537011;1930;1944;x
Bergé;537012;GUI;1930;1939;1990;1990;2;3;0;1;0;5;2;M537010;1930;1960;x
de Goujon de Thuisy;537013;GUI;1930;1990;1990;1990;3;3;65536;1;0;5;2;L537011;1930;1944;x
Ezanno;537014;GUI;1940;1990;1990;1990;3;3;0;1;0;5;2;L537014;1940;1960;x
