Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Augustis;562000;GUY;1930;1940;1942;1990;1;5;128;2;0;5;0;M562008;1930;1960;x
Barrister;562001;GUY;1942;1990;1990;1990;3;4;32;0;0;5;0;L562001;1942;1960;x
Birchwood;562002;GUY;1930;1930;1990;1990;2;4;2;1;0;5;0;M562007;1930;1960;x
Carpenter;562003;GUY;1941;1990;1990;1990;3;3;0;0;0;5;0;L562003;1941;1960;x
Drew;562004;GUY;1930;1939;1990;1990;2;4;513;2;0;5;0;L1111;1930;1960;x
Forrester;562005;GUY;1938;1941;1990;1990;2;4;1;1;0;5;0;M562025;1938;1960;x
Hilton-Green;562006;GUY;1930;1940;1990;1990;3;4;4;1;0;5;0;L1164;1930;1960;x
Letford;562007;GUY;1941;1990;1990;1990;3;4;256;0;0;5;0;L562007;1941;1960;x
Lobban;562008;GUY;1939;1943;1990;1990;2;3;1;1;0;5;0;M562027;1939;1960;x
Williams;562009;GUY;1942;1990;1990;1990;3;3;64;0;0;5;0;L562009;1942;1960;x
Wooten;562010;GUY;1941;1990;1990;1990;3;2;0;0;0;5;0;L562010;1941;1960;x
Bigelow;562011;GUY;1930;1940;1990;1990;2;5;1024;1;0;5;1;M562009;1930;1960;x
Ferguson;562012;GUY;1939;1990;1990;1990;3;4;4096;0;0;5;1;L562012;1939;1960;x
Lobban;562013;GUY;1939;1943;1990;1990;2;3;0;1;0;5;1;M562027;1939;1960;x
McMurphy;562014;GUY;1940;1990;1990;1990;3;3;2048;0;0;5;1;L562014;1940;1960;x
Baxter;562015;GUY;1939;1990;1990;1990;3;3;65536;0;0;5;2;L562015;1939;1960;x
Burnette;562016;GUY;1930;1940;1990;1990;2;4;131072;1;0;5;2;M562010;1930;1960;x
LeGault;562017;GUY;1940;1990;1990;1990;3;4;0;0;0;5;2;L562017;1940;1960;x
Letford;562018;GUY;1941;1990;1990;1990;3;3;0;0;0;5;2;L562007;1941;1960;x
Lightfoot;562019;GUY;1930;1941;1990;1990;3;3;4096;1;0;5;2;M562031;1930;1960;x
