Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Andras;31100;HUN;1944;1990;1990;1990;3;4;256;0;0;5;0;L31100;1944;1990;x
Algya-Pap;31101;HUN;1938;1942;1990;1990;2;5;4;1;0;3;0;L31101;1938;1946;x
Babics;31102;HUN;1940;1990;1990;1990;3;6;0;0;0;5;0;L31102;1940;1990;x
Bajnóczy;31103;HUN;1930;1930;1943;1990;1;5;64;1;0;5;0;L31103;1930;1990;x
Bakay;31104;HUN;1930;1943;1990;1990;3;5;0;1;0;2;0;L31104;1930;1990;x
Barankay;31105;HUN;1930;1990;1990;1990;3;5;0;0;0;3;0;L31105;1930;1942;x
Barthá von Dálnokfalva;31106;HUN;1930;1930;1930;1990;1;4;544;1;0;5;0;L31106;1930;1942;x
Baumann;31107;HUN;1944;1990;1990;1990;3;4;0;0;0;5;0;L31107;1944;1990;x
Beldy;31108;HUN;1937;1943;1990;1990;3;5;0;1;0;5;0;L31108;1937;1946;x
Beregffy;31109;HUN;1930;1937;1941;1990;1;5;0;2;0;5;0;L31109;1930;1990;x
Berzin;31110;HUN;1945;1947;1990;1990;3;6;4;1;0;5;0;L31110;1945;1990;x
Billinitzer;31111;HUN;1930;1930;1990;1990;2;5;513;1;0;4;0;L31111;1930;1940;x
Bor;31112;HUN;1942;1944;1990;1990;2;4;0;1;0;5;0;L31112;1942;1990;x
Brunswik;31113;HUN;1941;1946;1990;1990;3;5;4;1;0;5;0;L31113;1941;1990;x
Csatay von Csatai;31114;HUN;1930;1930;1941;1990;1;6;576;1;0;5;0;L31114;1930;1990;x
Csicserics von Bacsány;31115;HUN;1930;1930;1990;1990;2;5;514;1;0;4;0;L31115;1930;1939;x
Dalos;31116;HUN;1942;1990;1990;1990;3;6;0;0;0;4;0;L31116;1942;1944;x
Deák;31117;HUN;1944;1990;1990;1990;3;6;128;1;0;2;0;L31117;1944;1990;x
Decleva;31118;HUN;1938;1940;1942;1990;2;6;1;2;0;5;0;L31118;1938;1950;x
Denk;31119;HUN;1930;1930;1938;1990;2;6;516;1;0;5;0;L31119;1930;1990;x
Domaniczky;31120;HUN;1938;1941;1990;1990;2;6;516;2;0;3;0;L31120;1938;1945;x
Dömötör;31121;HUN;1939;1942;1990;1990;2;6;2;2;0;4;0;L31121;1939;1990;x
Duska;31122;HUN;1944;1990;1990;1990;3;7;16;0;0;2;0;L31122;1944;1990;x
Fábry;31123;HUN;1938;1940;1990;1990;2;6;513;1;0;4;0;L31123;1938;1990;x
Faragho;31124;HUN;1940;1943;1990;1990;2;5;2;1;0;5;0;L31124;1940;1953;x
Farkas;31125;HUN;1941;1943;1945;1990;2;5;0;2;0;5;0;L31125;1941;1990;x
Feketehalmy-Czeydner;31126;HUN;1939;1941;1944;1990;2;6;32;2;0;3;0;L31126;1939;1990;x
Ferjentsik;31127;HUN;1930;1930;1990;1990;2;4;512;1;0;5;0;L31127;1930;1939;x
Friedrich;31128;HUN;1938;1990;1990;1990;3;4;0;0;0;5;0;L31128;1938;1939;x
Gálócsy;31129;HUN;1944;1990;1990;1990;3;5;32;2;0;3;0;L31129;1944;1958;x
Gátmezei;31130;HUN;1944;1990;1990;1990;3;6;256;0;0;5;0;L31130;1944;1990;x
Gorondy-Novák;31131;HUN;1930;1938;1941;1990;1;7;516;3;0;4;0;L31131;1930;1954;x
Grassy;31132;HUN;1942;1990;1990;1990;3;7;128;2;0;5;0;L31132;1942;1990;x
Gömbös;31133;HUN;1930;1990;1990;1990;3;6;2;0;0;5;0;L31133;1930;1940;x
Hardy;31134;HUN;1942;1990;1990;1990;3;5;0;0;0;5;0;L31134;1942;1990;x
Hennyey;31135;HUN;1930;1941;1944;1990;2;7;2;3;0;5;0;L31135;1930;1990;x
