Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
An San Kham;543000;IDC;1930;1990;1990;1990;3;2;1;0;0;5;0;L541000;1930;1960;x
Aphay;543001;IDC;1938;1943;1990;1990;2;3;4;1;0;5;0;M540034;1938;1960;x
Bao Dai;543002;IDC;1930;1930;1930;1930;0;1;0;0;0;5;0;L542002;1930;1960;x
Boun;543003;IDC;1930;1930;1990;1990;2;2;0;0;0;5;0;M540010;1930;1960;x
Chhun Lim;543004;IDC;1930;1945;1990;1990;2;2;64;1;0;5;0;M541045;1930;1960;x
Duc Dat;543005;IDC;1944;1990;1990;1990;3;2;1;0;0;5;0;L542009;1944;1960;x
Doung Van Minh;543006;IDC;1943;1947;1990;1990;3;3;128;1;0;5;0;M542046;1943;1960;x
Hmong;543007;IDC;1944;1990;1990;1990;3;6;16;1;0;5;0;L540007;1944;1960;x
Hoang Minh Chao;543008;IDC;1939;1943;1990;1990;2;4;16;1;0;5;0;L542015;1939;1960;x
Ho Chi Minh;543009;IDC;1930;1930;1930;1990;1;6;3;3;0;5;0;M542047;1930;1960;x
Khong;543010;IDC;1943;1990;1990;1990;3;3;256;0;0;5;0;L540008;1943;1960;x
Kieng Vang;543011;IDC;1930;1945;1990;1990;2;3;1;1;0;5;0;M541047;1930;1960;x
Krisan Cheda;543012;IDC;1938;1990;1990;1990;3;2;0;0;0;5;0;M541026;1938;1960;x
Le Duan;543013;IDC;1930;1940;1945;1990;1;6;1;3;0;5;0;L542021;1930;1960;x
Le Van Kim;543014;IDC;1944;1990;1990;1990;3;2;1;0;0;5;0;L542022;1944;1960;x
Lon Nol;543015;IDC;1941;1946;1990;1990;2;3;4;1;0;5;0;M541035;1941;1960;x
Ne Van Chinh;543016;IDC;1945;1990;1990;1990;3;2;128;0;0;5;0;L542025;1945;1960;x
Nguyen Cao The;543017;IDC;1945;1990;1990;1990;3;2;0;0;0;5;0;L542026;1945;1960;x
Nguyen Coo Hieu;543018;IDC;1945;1990;1990;1990;3;3;4;0;0;5;0;L542027;1945;1960;x
Nguyen Huu Coo;543019;IDC;1942;1947;1990;1990;3;3;2;1;0;5;0;M542043;1942;1960;x
Nguyen Khanh;543020;IDC;1945;1990;1990;1990;3;2;256;0;0;5;0;L542029;1945;1960;x
Pao;543021;IDC;1941;1944;1990;1990;2;4;17;1;0;5;0;M540038;1941;1960;x
Phanmong;543022;IDC;1940;1990;1990;1990;3;3;17;0;0;5;0;L540013;1940;1960;x
Phetsarat;543023;IDC;1938;1941;1990;1990;2;3;2;1;0;5;0;M540008;1938;1947;x
Phichith;543024;IDC;1945;1990;1990;1990;3;2;0;0;0;5;0;M540035;1945;1960;x
Phomvihanh;543025;IDC;1943;1946;1990;1990;2;3;1;1;0;5;0;M540029;1943;1960;x
