Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adalberto Duca di Bergamo;6000;ITA;1930;1930;1930;1990;1;4;0;0;0;2;0;L6000;1930;1960;x
Albert;6001;ITA;1944;1946;1990;1990;2;5;64;1;0;3;0;L6001;1944;1960;x
Ago;6002;ITA;1930;1930;1941;1990;1;3;0;1;0;4;0;L6002;1930;1960;x
Ambrosio;6003;ITA;1930;1930;1938;1990;1;5;4;1;0;4;0;L6003;1930;1960;x
Amedeo Duca degli Abruzzi;6004;ITA;1930;1930;1930;1990;1;3;1;1;0;4;0;L6004;1930;1942;x
Amico;6005;ITA;1937;1990;1990;1990;3;4;64;0;0;2;0;L6005;1937;1943;x
Antonelli;6006;ITA;1938;1990;1990;1990;3;2;0;0;0;5;0;L6006;1938;1941;x
Ardito;6007;ITA;1946;1990;1990;1990;3;3;0;0;0;3;0;L6007;1946;1960;x
Arena;6008;ITA;1939;1990;1990;1990;3;4;128;0;0;4;0;L6008;1939;1942;x
Armellini Q.;6009;ITA;1930;1942;1990;1990;2;4;256;1;0;4;0;L6009;1930;1946;x
Asinari di Bernezzo;6010;ITA;1930;1990;1990;1990;3;3;514;1;0;4;0;L6010;1930;1943;x
Babini;6011;ITA;1930;1939;1990;1990;3;3;1;1;0;3;0;L6011;1930;1941;x
Burzagli;6012;ITA;1941;1946;1990;1990;3;4;256;1;0;4;0;L6012;1941;1960;x
Badoglio;6013;ITA;1930;1930;1930;1930;0;5;514;1;0;5;0;L6013;1930;1960;x
Baistrocchi;6014;ITA;1930;1930;1930;1990;1;3;513;1;0;4;0;L6014;1930;1940;x
Balbo;6015;ITA;1930;1930;1930;1930;0;7;1;3;0;5;0;L6015;1930;1960;x
Balisti;6016;ITA;1939;1944;1990;1990;3;4;4;1;0;5;0;L6016;1939;1960;x
Balocco;6017;ITA;1939;1940;1990;1990;2;3;0;1;0;3;0;L6017;1939;1960;x
Barbasetti di Prun;6018;ITA;1930;1940;1990;1990;2;4;129;0;0;3;0;L6018;1930;1960;x
Barbieri;6019;ITA;1937;1939;1990;1990;2;4;128;0;0;4;0;L6019;1937;1960;x
Basso;6020;ITA;1940;1943;1990;1990;2;4;0;1;0;3;0;L6020;1940;1960;x
Bastico;6021;ITA;1930;1930;1930;1942;1;5;516;1;0;4;0;L6021;1930;1960;x
Battisti;6022;ITA;1938;1942;1946;1990;2;5;264;1;0;3;0;L6022;1938;1960;x
Beraudo di Pralormo;6023;ITA;1930;1941;1990;1990;2;4;1;1;0;3;0;L6023;1930;1945;x
Bergonzoli;6024;ITA;1937;1940;1990;1990;2;5;128;1;0;3;0;L6024;1937;1960;x
Berti;6025;ITA;1930;1930;1938;1990;1;3;32;1;0;4;0;L6025;1930;1941;x
Bettoni;6026;ITA;1941;1990;1990;1990;3;3;8;0;0;3;0;L6026;1941;1947;x
Bianchi;6027;ITA;1938;1990;1990;1990;3;3;32;0;0;4;0;L6027;1938;1944;x
Bignani;6028;ITA;1941;1990;1990;1990;3;3;256;0;0;3;0;L6028;1941;1945;x
Borghese;6029;ITA;1942;1990;1990;1990;3;7;1024;3;0;5;1;L6029;1942;1960;x
Brunetti;6030;ITA;1930;1990;1990;1990;3;4;64;0;0;4;0;L6030;1930;1960;x
Bruno;6031;ITA;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1960;x
Cadorna;6032;ITA;1941;1944;1990;1990;3;5;4;1;0;4;0;L6032;1941;1947;x
Calvi di Bergolo;6033;ITA;1930;1990;1990;1990;3;4;132;0;0;4;0;L6033;1930;1960;x
Canale;6034;ITA;1930;1939;1941;1990;2;5;768;1;0;3;0;L6034;1930;1941;x
Caracciolo di Feroleto;6035;ITA;1930;1937;1940;1990;3;4;4;1;0;3;0;L6035;1930;1943;x
Carboni;6036;ITA;1930;1942;1990;1990;2;4;388;1;0;5;0;L6036;1930;1960;x
Carta;6037;ITA;1939;1943;1990;1990;3;4;0;1;0;5;0;L6037;1939;1960;x
Caruso;6038;ITA;1938;1941;1945;1990;2;4;0;2;0;5;0;L6038;1938;1960;x
Cassino;6039;ITA;1945;1990;1990;1990;3;4;0;0;0;4;0;L6039;1945;1960;x
Castellano;6040;ITA;1930;1990;1990;1990;3;3;0;0;0;4;0;L6040;1930;1944;x
Cavallero;6041;ITA;1937;1938;1940;1942;1;5;516;1;0;5;0;L6041;1937;1943;x
Caviglia;6042;ITA;1930;1930;1930;1930;0;2;512;0;0;3;0;L6042;1930;1945;x
Cerio;6043;ITA;1940;1990;1990;1990;3;3;0;0;0;4;0;L6043;1940;1960;x
Coppi;6044;ITA;1938;1990;1990;1990;3;3;128;0;0;3;0;L6044;1938;1960;x
Cei;6045;ITA;1930;1930;1990;1990;2;4;514;1;0;4;0;L6045;1930;1939;x
Cigala-Fulgosi;6046;ITA;1941;1990;1990;1990;3;4;128;0;0;5;0;L6046;1941;1960;x
