Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Bachs;19000;LAT;1930;1990;1990;1990;3;3;0;0;0;3;0;L19000;1930;1941;x
Balodis;19001;LAT;1930;1939;1943;1990;2;4;64;2;0;4;0;L19001;1930;1960;x
Bangerskis;19002;LAT;1937;1939;1942;1990;1;4;2;2;0;3;0;L19002;1937;1960;x
Berkis;19003;LAT;1930;1930;1940;1990;1;4;0;2;0;3;0;L19003;1930;1942;x
Bolsteins;19004;LAT;1938;1990;1990;1990;3;4;4;0;0;4;0;L19004;1938;1940;x
Bubinduss;19005;LAT;1939;1990;1990;1990;3;4;0;0;0;3;0;L19005;1939;1942;x
Buks;19006;LAT;1939;1990;1990;1990;3;3;32;0;0;3;0;L19006;1939;1942;x
Celmins;19007;LAT;1939;1942;1990;1990;3;4;4;1;0;4;0;L19007;1939;1945;x
Dambitis;19008;LAT;1930;1930;1990;1990;2;5;8;1;0;2;0;L19008;1930;1939;x
Dankers;19009;LAT;1930;1930;1945;1990;2;4;0;1;0;2;0;L19009;1930;1960;x
Duze;19010;LAT;1941;1990;1990;1990;3;3;0;0;0;4;0;L19010;1941;1960;x
Ezerins;19011;LAT;1937;1990;1990;1990;3;3;0;0;0;4;0;L19011;1937;1944;x
Goppers;19012;LAT;1930;1930;1930;1990;1;5;514;1;0;5;0;L19012;1930;1939;x
Grosbart;19013;LAT;1940;1941;1990;1990;2;5;128;1;0;2;0;L19013;1940;1944;x
Jeske;19014;LAT;1939;1990;1990;1990;3;3;0;0;0;3;0;L19014;1939;1941;x
Klavins;19015;LAT;1930;1930;1940;1990;1;4;513;1;0;5;0;L19015;1930;1941;x
Klinsons;19016;LAT;1930;1990;1990;1990;3;4;513;1;0;5;0;L19016;1930;1941;x
Krustins;19017;LAT;1930;1940;1990;1990;2;4;0;0;0;3;0;L19017;1930;1941;x
Kurelis;19018;LAT;1938;1943;1990;1990;2;3;32;1;0;3;0;L19018;1938;1960;x
Kurse;19019;LAT;1940;1990;1990;1990;3;3;1;0;0;4;0;L19019;1940;1960;x
Lobe;19020;LAT;1942;1990;1990;1990;3;3;4;0;0;2;0;L19020;1942;1945;x
Osis;19021;LAT;1930;1990;1990;1990;3;3;0;0;0;2;0;L19021;1930;1939;x
Prauls;19022;LAT;1937;1990;1990;1990;3;4;2;0;0;5;0;L19022;1937;1941;x
Rozentseins;19023;LAT;1930;1990;1990;1990;3;3;1;0;0;3;0;L19023;1930;1941;x
Silgailis;19024;LAT;1942;1990;1990;1990;3;3;2;0;0;2;0;L19024;1942;1960;x
Skrapce;19025;LAT;1930;1990;1990;1990;3;3;32;0;0;4;0;L19025;1930;1939;x
Sprogis;19026;LAT;1944;1990;1990;1990;3;5;16;0;0;1;0;L19026;1944;1990;x
Tefpers;19027;LAT;1939;1990;1990;1990;3;3;0;0;0;3;0;L19027;1939;1960;x
Vacietis;19028;LAT;1943;1945;1947;1990;2;5;4;2;0;4;0;L19028;1943;1960;x
Virsaitis;19029;LAT;1930;1930;1990;1990;2;4;528;1;0;3;0;L19029;1930;1943;x
Basko;19030;LAT;1930;1938;1990;1990;2;3;2560;1;0;3;1;L19030;1930;1946;x
Dabolins;19031;LAT;1944;1990;1990;1990;3;3;0;0;0;5;1;L19031;1944;1960;x
Rebalgs;19032;LAT;1930;1930;1990;1990;2;3;0;1;0;5;1;L19032;1941;1945;x
Spade;19033;LAT;1930;1938;1990;1990;2;3;0;1;0;5;1;L19033;1930;1941;x
Zeibots;19034;LAT;1944;1990;1990;1990;3;3;0;0;0;5;1;L19034;1944;1990;x
Basko;19035;LAT;1930;1938;1990;1990;2;4;16384;1;0;3;2;L19035;1930;1946;x
Indans;19036;LAT;1930;1940;1990;1990;3;3;0;1;0;5;2;L19036;1930;1941;x
Kalpaks;19037;LAT;1938;1990;1990;1990;3;3;0;0;0;4;2;L19037;1938;1942;x
Mednitis;19038;LAT;1930;1942;1990;1990;2;4;0;1;0;4;2;L19038;1930;1960;x
Rucels;19039;LAT;1939;1990;1990;1990;3;3;0;0;0;4;2;L19039;1939;1943;x
Vacietis;19040;LAT;1943;1945;1947;1990;2;3;0;2;0;4;2;L19040;1943;1960;x
Vaivads;19041;LAT;1944;1990;1990;1990;3;3;0;0;0;4;2;L19041;1944;1960;x
