Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Allen;390000;LIB;1941;1990;1990;1990;3;3;32;0;0;5;0;L390000;1941;1947;x
Baker;390001;LIB;1939;1990;1990;1990;3;3;0;0;0;5;0;L390001;1939;1945;x
Briggs;390002;LIB;1940;1990;1990;1990;3;3;64;0;0;5;0;L390002;1940;1946;x
Cornelius;390003;LIB;1943;1990;1990;1990;3;3;0;0;0;5;0;L390003;1943;1960;x
Davis;390004;LIB;1939;1941;1943;1990;1;4;4;2;0;5;0;L390004;1939;1946;x
Fox;390005;LIB;1930;1940;1990;1990;2;3;1;1;0;5;0;L390005;1930;1960;x
Perry;390006;LIB;1945;1990;1990;1990;3;4;256;0;0;5;0;L390006;1945;1960;x
Ross;390007;LIB;1937;1990;1990;1990;3;3;16;0;0;5;0;L390007;1937;1943;x
Virgin;390008;LIB;1930;1930;1938;1990;1;2;2;1;0;5;0;L390008;1930;1940;x
Wills;390009;LIB;1942;1945;1990;1990;3;3;128;1;0;5;0;L390009;1942;1960;x
Banks Williams;390010;LIB;1943;1990;1990;1990;3;3;2048;0;0;5;1;L390010;1943;1960;x
Brandon;390011;LIB;1930;1940;1990;1990;2;3;0;1;0;5;1;L390011;1930;1946;x
Gittens;390012;LIB;1945;1990;1990;1990;3;3;1024;0;0;5;1;L390012;1945;1960;x
Mulzac;390013;LIB;1939;1944;1990;1990;2;3;4096;1;0;5;1;L390013;1939;1960;x
Archer;390014;LIB;1945;1990;1990;1990;3;3;0;0;0;5;2;L390014;1945;1960;x
Brandon;390015;LIB;1930;1940;1990;1990;3;3;131072;1;0;5;2;L390015;1930;1946;x
Chan;390016;LIB;1930;1930;1990;1990;2;2;0;1;0;5;2;L390016;1930;1940;x
Cornelius;390017;LIB;1943;1990;1990;1990;3;2;16384;0;0;5;2;L390017;1943;1960;x
Gee;390018;LIB;1942;1990;1990;1990;3;2;0;0;0;5;2;L390018;1942;1946;x
