Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Bastico;576000;LBY;1930;1930;1930;1942;1;5;516;2;0;4;0;L6021;1930;1960;x
Clerici;576001;LBY;1930;1930;1990;1990;2;3;514;1;0;3;0;L6047;1930;1944;x
Dalmazzo;576002;LBY;1930;1930;1990;1990;2;4;4;1;0;3;0;L6052;1930;1960;x
Fowkes;576003;LBY;1941;1990;1990;1990;3;5;1;0;0;5;0;L1125;1941;1960;x
Gariboldi;576004;LBY;1930;1930;1930;1990;1;5;513;1;0;2;0;L6077;1930;1960;x
Hemming;576005;LBY;1941;1990;1990;1990;3;7;192;1;0;5;0;L1160;1941;1960;x
Idris I.;576006;LBY;1940;1940;1940;1940;0;2;0;0;0;5;0;M576011;1940;1960;x
Loewen;576007;LBY;1942;1944;1990;1990;2;6;128;1;0;5;0;L1196;1942;1960;x
Mancinelli;576008;LBY;1937;1943;1946;1990;2;4;1;2;0;2;0;L6096;1937;1960;x
Morris;576009;LBY;1939;1990;1990;1990;3;4;0;0;0;5;0;M576021;1939;1960;x
Nasi;576010;LBY;1930;1930;1939;1990;1;3;1;1;0;5;0;L6108;1930;1960;x
Ricci;576011;LBY;1930;1990;1990;1990;3;3;0;1;0;5;0;L6124;1930;1960;x
Sakizli;576012;LBY;1930;1930;1945;1990;1;3;64;1;0;5;0;M576024;1940;1960;x
Scott;576013;LBY;1940;1990;1990;1990;3;6;256;1;0;5;0;L576013;1940;1960;x
Sidiq;576014;LBY;1940;1940;1946;1990;1;3;2;2;0;5;0;M576026;1940;1960;x
Thurlow;576015;LBY;1930;1930;1945;1990;1;5;1;1;0;5;0;M576025;1940;1960;x
Blagrovan;576016;LBY;1940;1990;1990;1990;3;5;0;0;0;5;1;L1325;1940;1960;x
Cacioppo;576017;LBY;1939;1943;1990;1990;2;4;0;1;0;4;1;L6156;1939;1960;x
de Laurentis;576018;LBY;1930;1942;1990;1990;3;4;0;1;0;5;1;L6166;1930;1960;x
Dillon;576019;LBY;1940;1943;1990;1990;2;5;0;1;0;5;1;L1339;1940;1960;x
Halsey;576020;LBY;1940;1990;1990;1990;3;5;0;0;0;5;1;L1352;1940;1960;x
Khimlani;576021;LBY;1940;1945;1990;1990;2;2;0;1;0;5;1;M576028;1940;1960;x
Martin;576022;LBY;1940;1944;1990;1990;2;5;0;1;0;5;1;L1370;1940;1960;x
Rizzo;576023;LBY;1937;1990;1990;1990;3;3;0;0;0;4;1;L6187;1937;1960;x
Bryan;576024;LBY;1941;1990;1990;1990;3;5;0;0;0;5;2;L1424;1941;1960;x
di Ferro;576025;LBY;1938;1943;1990;1990;3;3;131072;1;0;3;2;L6206;1938;1960;x
Hughes;576026;LBY;1940;1942;1990;1990;2;5;32768;1;0;5;2;L1448;1940;1960;x
Peirse;576027;LBY;1940;1940;1942;1990;1;6;16384;2;0;5;2;L1468;1940;1960;x
Pulford;576028;LBY;1940;1990;1990;1990;3;6;0;0;0;5;2;L1471;1940;1960;x
Rezza;576029;LBY;1930;1938;1990;1990;2;3;0;1;0;5;2;L6228;1930;1945;x
Silvestri;576030;LBY;1938;1945;1990;1990;2;5;65536;1;0;4;2;L6234;1938;1960;x
Soffritti;576031;LBY;1930;1930;1990;1990;2;3;0;1;0;4;2;L6235;1930;1960;x
Umlan;576032;LBY;1944;1990;1990;1990;3;2;32768;0;0;5;2;M576030;1944;1960;x
