Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Bjilgor;250000;MAN;1939;1990;1990;1990;3;6;16;0;0;4;0;L250000;1939;1946;x
Zhang Jinghui;250001;MAN;1930;1930;1930;1990;1;4;513;1;0;4;0;L250001;1930;1942;x
Zhang Haipeng;250002;MAN;1930;1930;1930;1930;0;4;2;1;0;4;0;L250002;1930;1990;x
Zhang Wenzhu;250003;MAN;1943;1990;1990;1990;3;4;8;0;0;4;0;L250003;1943;1990;x
Zhang Yisan;250004;MAN;1938;1942;1990;1990;2;5;0;1;0;4;0;L250004;1938;1946;x
Zhao Qiuhang;250005;MAN;1944;1946;1990;1990;3;5;0;1;0;4;0;L250005;1944;1990;x
Chernokoff;250006;MAN;1938;1943;1990;1990;3;5;8;1;0;3;0;L250006;1938;1946;x
Ji Xing;250007;MAN;1930;1930;1942;1990;1;7;513;1;0;4;0;L250007;1930;1945;x
Hayashi;250008;MAN;1943;1944;1990;1990;3;5;1;2;0;5;0;L250008;1943;1990;x
Xing Shilian;250009;MAN;1938;1940;1944;1990;2;5;0;2;0;4;0;L250009;1938;1990;x
Isogai;250010;MAN;1937;1942;1990;1990;2;4;0;2;0;5;0;L250010;1937;1990;x
Kanjorjab;250011;MAN;1930;1941;1990;1990;2;5;0;1;0;4;0;L250011;1930;1944;x
Kawashima;250012;MAN;1940;1990;1990;1990;3;4;16;0;0;4;0;L250012;1940;1945;x
Kislitsin;250013;MAN;1930;1930;1930;1990;1;6;12;1;0;2;0;L250013;1930;1944;x
Kilobil;250014;MAN;1930;1941;1990;1990;2;6;2;1;0;4;0;L250014;1930;1943;x
Kuligin;250015;MAN;1939;1990;1990;1990;3;4;128;0;0;4;0;L250015;1939;1947;x
Guo Enlin;250016;MAN;1938;1941;1942;1990;1;5;0;2;0;4;0;L250016;1938;1990;x
Lü Heng;250017;MAN;1942;1990;1990;1990;3;3;0;0;0;4;0;L250017;1942;1946;x
Nakajima;250018;MAN;1930;1930;1990;1990;2;4;514;1;0;5;0;L250018;1930;1939;x
Semenov;250019;MAN;1930;1930;1990;1990;2;6;17;1;0;2;0;L250019;1930;1943;x
von Tscherwelen;250020;MAN;1938;1990;1990;1990;3;7;4;0;0;4;0;L250020;1938;1945;x
Wang Zhiyou;250021;MAN;1943;1990;1990;1990;2;4;0;0;0;4;0;L250021;1943;1990;x
Wang Dianzhong;250022;MAN;1930;1930;1990;1990;2;4;0;0;0;4;0;L250022;1930;1941;x
Wu Yuanmin;250023;MAN;1941;1990;1990;1990;3;4;0;0;0;4;0;L250023;1941;1990;x
Yu Chencheng;250024;MAN;1938;1940;1941;1990;1;5;0;2;0;4;0;L250024;1938;1990;x
Yu Zhigong;250025;MAN;1940;1990;1990;1990;3;4;0;0;0;4;0;L250025;1940;1943;x
Hosonoya;250026;MAN;1930;1990;1990;1990;3;4;0;1;0;5;1;L250026;1930;1990;x
Guo Wenlin;250027;MAN;1938;1990;1990;1990;3;4;0;0;0;4;1;L250027;1938;1990;x
Li Wenlong;250028;MAN;1930;1990;1990;1990;3;4;0;0;0;4;1;L250028;1930;1990;x
Oka;250029;MAN;1930;1940;1990;1990;2;4;0;2;0;5;1;L250029;1930;1990;x
Ramilcheff;250030;MAN;1930;1930;1990;1990;2;4;8192;0;0;4;1;L250030;1930;1990;x
Strijnoff;250031;MAN;1930;1990;1990;1990;3;4;0;0;0;3;1;L250031;1930;1942;x
Yin Zuoqian;250032;MAN;1930;1930;1930;1990;1;4;0;1;0;4;1;L250032;1930;1944;x
Arkibaladzhe;250033;MAN;1930;1930;1990;1990;2;4;0;1;0;3;2;L250033;1930;1943;x
Kawahara;250034;MAN;1938;1941;1990;1990;2;6;0;1;0;5;2;L250034;1938;1990;x
Park;250035;MAN;1942;1990;1990;1990;3;4;0;1;0;5;2;L250035;1942;1990;x
Semenovskij;250036;MAN;1930;1990;1990;1990;3;4;8192;0;0;3;2;L250036;1930;1941;x
Shekhovaladze;250037;MAN;1938;1941;1990;1990;3;4;4096;1;0;4;2;L250037;1938;1990;x
Tanigawa;250038;MAN;1939;1990;1990;1990;3;5;0;1;0;5;2;L250038;1939;1990;x
Cao Bingsen;250039;MAN;1939;1943;1990;1990;3;5;0;1;0;4;2;L250039;1939;1990;x
Ayabe;250040;MAN;1938;1942;1990;1990;2;6;0;3;0;5;0;L101016;1938;1990;x
