Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abdul Qaader;310000;OMN;1930;1930;1941;1990;1;2;0;1;0;5;0;L310000;1941;1960;x
Douglas-Hamilton;310001;OMN;1939;1942;1990;1990;2;3;4;1;0;5;0;L310001;1939;1946;x
Dugdale;310002;OMN;1940;1990;1990;1990;3;3;2;0;0;5;0;L310002;1940;1945;x
Hassan ibn Timur;310003;OMN;1940;1943;1990;1990;2;2;0;1;0;5;0;L310003;1940;1960;x
Hassan ibn Zayed;310004;OMN;1930;1930;1990;1990;2;2;0;0;0;5;0;L310004;1930;1947;x
Jones;310005;OMN;1944;1990;1990;1990;3;4;256;1;0;5;0;L310005;1944;1960;x
Khalil ibn Timur;310006;OMN;1941;1990;1990;1990;3;3;16;0;0;5;0;L310006;1941;1960;x
Linsden;310007;OMN;1938;1990;1990;1990;3;2;128;0;0;5;0;L310007;1938;1943;x
Mann;310008;OMN;1945;1990;1990;1990;3;3;64;0;0;5;0;L310008;1945;1960;x
Martin;310009;OMN;1930;1990;1990;1990;3;3;32;0;0;5;0;L310009;1930;1942;x
Mohammad ibn Timur;310010;OMN;1944;1990;1990;1990;3;3;0;0;0;5;0;L310010;1944;1960;x
Said ibn Timur;310011;OMN;1930;1930;1930;1930;0;3;0;1;0;5;0;L310011;1930;1960;x
Wright;310012;OMN;1941;1990;1990;1990;3;3;1;0;0;5;0;L310012;1941;1946;x
Berthon;310013;OMN;1940;1990;1990;1990;3;2;0;0;0;5;1;L310013;1940;1960;x
Claydon;310014;OMN;1930;1940;1990;1990;2;2;0;1;0;5;1;L310014;1930;1945;x
Leaf;310015;OMN;1943;1946;1990;1990;3;3;0;1;0;5;1;L310015;1943;1960;x
Abdallah ibn Timur;310016;OMN;1944;1946;1990;1990;2;2;0;1;0;5;2;L310016;1944;1960;x
Hassan ibn Zayed;310017;OMN;1930;1930;1990;1990;2;1;0;0;0;5;2;L310017;1930;1947;x
Leaf;310018;OMN;1943;1946;1990;1990;3;3;131072;1;0;5;2;L310018;1943;1960;x
Martin;310019;OMN;1930;1990;1990;1990;3;2;0;0;0;5;2;L310019;1930;1942;x
