Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Adolph;549000;OTT;1938;1990;1990;1990;3;4;516;1;0;5;0;L549000;1938;1944;x
al-Husseini;549001;OTT;1941;1990;1990;1990;3;3;256;0;0;5;0;L549001;1941;1960;x
Arnold;549002;OTT;1938;1990;1990;1990;3;3;0;0;0;5;0;L549002;1938;1945;x
Aschenbrandt;549003;OTT;1939;1990;1990;1990;3;4;2;0;0;5;0;L549003;1939;1960;x
Avni Pasha;549004;OTT;1930;1930;1930;1990;1;4;514;1;0;5;0;M549014;1930;1943;x
Barends;549005;OTT;1941;1990;1990;1990;3;4;0;0;0;5;0;L549005;1941;1960;x
Bartcky;549006;OTT;1940;1990;1990;1990;3;5;128;0;0;5;0;L549006;1940;1944;x
Barton;549007;OTT;1941;1990;1990;1990;3;3;4;0;0;5;0;L549007;1941;1960;x
Bilharz;549008;OTT;1939;1990;1990;1990;3;3;256;0;0;5;0;L549008;1939;1960;x
Binark Pasha;549009;OTT;1938;1990;1990;1990;3;2;0;0;0;5;0;L549009;1938;1960;x
Bonatz;549010;OTT;1941;1990;1990;1990;3;4;128;0;0;5;0;L549010;1941;1960;x
Borowski;549011;OTT;1941;1990;1990;1990;3;3;1;0;0;5;0;L549011;1941;1960;x
Brauer;549012;OTT;1938;1990;1990;1990;3;6;576;1;0;5;0;L549012;1938;1944;x
Braumüller;549013;OTT;1941;1990;1990;1990;3;4;16;0;0;5;0;L549013;1941;1960;x
Brugsch Bey;549014;OTT;1930;1990;1990;1990;3;3;32;0;0;5;0;L549014;1930;1960;x
Buch;549015;OTT;1940;1940;1990;1990;2;2;0;0;0;5;0;L549015;1940;1960;x
Burchard;549016;OTT;1939;1942;1944;1990;1;5;64;3;0;5;0;L549016;1939;1946;x
Cetinok;549017;OTT;1939;1990;1990;1990;3;4;24;0;0;5;0;L549017;1939;1960;x
Conradi;549018;OTT;1939;1990;1990;1990;3;4;4;0;0;5;0;L549018;1939;1960;x
Eckhardt;549019;OTT;1940;1990;1990;1990;3;3;2;0;0;5;0;L549019;1940;1960;x
Edhem Pasha;549020;OTT;1930;1940;1990;1990;3;3;0;1;0;5;0;L549020;1930;1960;x
Ehrenberg;549021;OTT;1940;1990;1990;1990;3;4;16;0;0;5;0;L549021;1940;1945;x
Enver Pasha;549022;OTT;1930;1930;1930;1990;1;4;0;2;0;5;0;L549022;1930;1943;x
Fehn;549023;OTT;1940;1990;1990;1990;3;5;128;0;0;5;0;L549023;1940;1960;x
Fuad;549024;OTT;1938;1940;1944;1990;2;4;1;2;0;5;0;M549013;1938;1960;x
Gazi Pasha;549025;OTT;1930;1930;1930;1930;0;3;513;1;0;5;0;L549025;1930;1942;x
Glodkowski;549026;OTT;1940;1990;1990;1990;3;4;256;0;0;5;0;L549026;1940;1960;x
Hajo Bey;549027;OTT;1938;1990;1990;1990;3;4;264;0;0;5;0;L549027;1938;1960;x
Halam Pasha;549028;OTT;1930;1930;1941;1990;1;4;1;1;0;5;0;L549028;1930;1960;x
Halim Pasha;549029;OTT;1938;1942;1990;1990;2;2;2;1;0;5;0;L549029;1938;1960;x
Haupt;549030;OTT;1940;1990;1990;1990;3;2;0;0;0;5;0;L549030;1940;1946;x
Heinrici;549031;OTT;1939;1941;1990;1990;2;3;0;1;0;5;0;L549031;1939;1945;x
Inönu Pasha;549032;OTT;1938;1942;1990;1990;2;5;2;1;0;5;0;M549037;1938;1960;x
Ismail Pasha;549033;OTT;1930;1938;1943;1990;1;4;0;2;0;5;0;L549033;1930;1960;x
Junck;549034;OTT;1938;1990;1990;1990;3;4;520;1;0;5;0;L549034;1938;1943;x
Kemal Pasha;549035;OTT;1930;1939;1943;1990;1;5;6;2;0;5;0;L549035;1930;1960;x
Kiamil Pasha;549036;OTT;1930;1930;1940;1990;2;3;513;1;0;5;0;M549039;1930;1960;x
Lattas Pasha;549037;OTT;1937;1942;1990;1990;2;3;1;1;0;5;0;M549017;1937;1960;x
Moncef Bey;549038;OTT;1930;1940;1990;1990;2;3;1;1;0;5;0;M549006;1930;1960;x
Nazim Bey;549039;OTT;1939;1990;1990;1990;3;3;2;0;0;5;0;L549039;1939;1960;x
Nazim Pasha;549040;OTT;1930;1930;1990;1990;2;2;0;0;0;5;0;M549005;1930;1942;x
Nikhad;549041;OTT;1930;1940;1990;1990;2;2;256;1;0;5;0;M549012;1930;1960;x
Nordt;549042;OTT;1941;1990;1990;1990;3;3;64;0;0;5;0;L549042;1941;1960;x
Nuri Bey;549043;OTT;1937;1990;1990;1990;3;2;0;0;0;5;0;L549043;1937;1960;x
Osman;549044;OTT;1937;1939;1990;1990;2;3;0;1;0;5;0;M549038;1937;1960;x
Osmanoglu;549045;OTT;1939;1990;1990;1990;3;3;0;0;0;5;0;L549045;1939;1960;x
Osman Pasha;549046;OTT;1930;1930;1930;1990;1;3;513;1;0;5;0;L549046;1930;1941;x
Oyan Pasha;549047;OTT;1937;1940;1990;1990;2;3;2;1;0;5;0;L549047;1937;1960;x
Selaniki;549048;OTT;1938;1990;1990;1990;3;2;1;0;0;5;0;L549048;1938;1960;x
Serif Pasha;549049;OTT;1930;1930;1990;1990;2;2;0;0;0;5;0;M549049;1930;1943;x
Temiz Pasha;549050;OTT;1930;1930;1990;1990;3;4;1;0;0;5;0;L549050;1930;1960;x
Tülin;549051;OTT;1937;1941;1990;1990;3;4;128;0;0;5;0;M549043;1937;1960;x
Uche;549052;OTT;1938;1990;1990;1990;3;3;256;0;0;5;0;M549048;1938;1960;x
Vedat Pasha;549053;OTT;1930;1930;1990;1990;2;4;64;0;0;5;0;M549007;1930;1960;x
von Alten;549054;OTT;1940;1990;1990;1990;3;4;8;0;0;5;0;L549054;1940;1947;x
von Arnim;549055;OTT;1939;1990;1990;1990;3;3;4;0;0;5;0;L549055;1939;1943;x
von Bessel;549056;OTT;1940;1990;1990;1990;3;4;32;0;0;5;0;L549056;1940;1946;x
von Detten;549057;OTT;1938;1990;1990;1990;3;2;0;0;0;5;0;L549057;1938;1943;x
von Falkenstein;549058;OTT;1940;1990;1990;1990;3;3;1;0;0;5;0;L549058;1940;1946;x
von Füchtbauer;549059;OTT;1938;1990;1990;1990;3;2;2;0;0;5;0;L549059;1938;1943;x
von Göckel;549060;OTT;1940;1990;1990;1990;3;3;32;0;0;5;0;L549060;1940;1960;x
von Heimburg;549061;OTT;1941;1941;1990;1990;2;3;2;1;0;5;0;L549061;1941;1960;x
Wachenfeld;549062;OTT;1930;1930;1930;1990;1;5;513;1;0;5;0;L549062;1930;1943;x
Ülkü;549063;OTT;1930;1939;1990;1990;3;4;4;1;0;5;0;M549042;1930;1960;x
Aziz Pasha;549064;OTT;1930;1930;1990;1990;2;3;8704;1;0;5;1;L549064;1930;1942;x
Canbulatoglu;549065;OTT;1930;1939;1942;1990;1;4;0;2;0;5;1;L549065;1930;1960;x
Förster;549066;OTT;1938;1938;1938;1990;1;5;8704;1;0;5;1;L549066;1938;1944;x
Jessedin;549067;OTT;1930;1939;1990;1990;2;4;2048;1;0;5;1;L549067;1930;1960;x
Madakbas;549068;OTT;1938;1990;1990;1990;3;3;0;0;0;5;1;L549068;1938;1960;x
Massmann;549069;OTT;1930;1930;1990;1990;2;5;4608;1;0;5;1;L549069;1939;1960;x
Nikhad;549070;OTT;1930;1940;1944;1990;2;3;0;2;0;5;1;M549012;1930;1960;x
Perikanovlu;549071;OTT;1938;1990;1990;1990;3;2;0;0;0;5;1;M549046;1938;1960;x
Rauf;549072;OTT;1930;1940;1990;1990;2;3;1024;0;0;5;1;M549009;1930;1960;x
Zia Pasha;549073;OTT;1930;1930;1990;1990;3;2;4096;0;0;5;1;M549044;1930;1945;x
Cölacan;549074;OTT;1939;1990;1990;1990;3;2;131072;0;0;5;2;L549074;1939;1960;x
Enver Pasha;549075;OTT;1930;1930;1990;1990;2;3;0;1;0;5;2;M549010;1930;1960;x
Erkal;549076;OTT;1940;1990;1990;1990;3;2;0;0;0;5;2;L549076;1940;1960;x
Goyman;549077;OTT;1939;1990;1990;1990;3;2;65536;0;0;5;2;L549077;1939;1960;x
Muhammed Khan;549078;OTT;1930;1930;1930;1990;1;2;4096;1;0;5;2;M549011;1930;1944;x
Murat;549079;OTT;1939;1990;1990;1990;3;2;4096;0;0;5;2;L549079;1939;1960;x
Schweikard;549080;OTT;1938;1939;1940;1990;1;5;16384;2;0;5;2;L549080;1938;1945;x
