Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abraham;8000;POL;1930;1938;1990;1990;2;4;16;1;0;5;0;L8000;1930;1960;x
Alter;8001;POL;1930;1939;1990;1990;3;6;2;1;0;5;0;L8001;1930;1945;x
Anders;8002;POL;1937;1941;1943;1990;2;8;84;3;0;5;0;L8002;1937;1960;x
Berbecki;8003;POL;1930;1990;1990;1990;3;4;32;0;0;5;0;L8003;1930;1938;x
Berling;8004;POL;1940;1942;1945;1990;2;4;0;2;0;3;0;L8004;1940;1960;x
Bittner;8005;POL;1930;1990;1990;1990;3;5;1;0;0;5;0;L8005;1930;1960;x
Boltuc;8006;POL;1930;1930;1990;1990;2;4;32;0;0;5;0;L8006;1930;1940;x
Boncza-Uzdowski;8007;POL;1930;1930;1990;1990;2;4;2;0;0;3;0;L8007;1930;1939;x
Bortnowski;8008;POL;1930;1930;1930;1990;1;5;0;1;0;5;0;L8008;1930;1960;x
Boruta-Spiechowicz;8009;POL;1930;1930;1990;1990;2;6;256;1;0;5;0;L8009;1930;1960;x
Bór-Komorowski;8010;POL;1930;1940;1942;1990;1;5;1;2;0;5;0;L8010;1930;1960;x
Brzechwa-Ajdukiewicz;8011;POL;1938;1990;1990;1990;3;5;2;0;0;5;0;L8011;1938;1960;x
Brzoza-Brzezina;8012;POL;1937;1990;1990;1990;3;5;64;0;0;5;0;L8012;1937;1941;x
Burhardt-Bukacki;8013;POL;1930;1930;1930;1990;1;5;513;1;0;5;0;L8013;1930;1942;x
Cehak;8014;POL;1937;1942;1990;1990;3;5;2;1;0;5;0;L8014;1937;1960;x
Cepa;8015;POL;1941;1990;1990;1990;3;4;32;0;0;5;0;L8015;1941;1960;x
Chrusciel-Monter;8016;POL;1940;1941;1943;1990;2;5;1;2;0;5;0;L8016;1940;1960;x
Chmurowicz;8017;POL;1938;1990;1990;1990;3;4;2;0;0;5;0;L8017;1938;1960;x
Czuma;8018;POL;1930;1930;1990;1990;2;5;2;0;0;5;0;L8018;1930;1960;x
Czyzewski;8019;POL;1938;1990;1990;1990;3;4;0;0;0;5;0;L8019;1938;1960;x
Dab-Biernacki;8020;POL;1930;1930;1937;1990;1;4;0;1;0;5;0;L8020;1930;1960;x
Dabek;8021;POL;1937;1942;1990;1990;3;6;2;1;0;5;0;L8021;1937;1960;x
Dabkowski;8022;POL;1930;1930;1990;1990;3;5;514;1;0;5;0;L8022;1930;1946;x
Dembinski;8023;POL;1930;1930;1990;1990;2;4;2;1;0;5;0;L8023;1930;1939;x
Dindorf-Ankowicz;8024;POL;1930;1938;1990;1990;2;5;0;1;0;5;0;L8024;1930;1960;x
Dobrzanski;8025;POL;1930;1990;1990;1990;3;4;0;0;0;5;0;L8025;1930;1938;x
Drapella;8026;POL;1930;1938;1990;1990;2;4;0;1;0;5;0;L8026;1930;1960;x
Dreszer  R.;8027;POL;1930;1940;1990;1990;2;6;513;1;0;5;0;L8027;1930;1960;x
Drucki-Lubecki;8028;POL;1937;1990;1990;1990;3;4;513;1;0;5;0;L8028;1937;1960;x
Duch;8029;POL;1938;1941;1943;1990;2;5;36;2;0;5;0;L8029;1938;1960;x
Dworak;8030;POL;1937;1941;1943;1990;2;5;128;1;0;5;0;L8030;1937;1960;x
Engel-Ragis;8031;POL;1930;1938;1990;1990;3;5;256;1;0;5;0;L8031;1930;1960;x
Epler;8032;POL;1938;1990;1990;1990;3;6;2;0;0;5;0;L8032;1938;1940;x
Fabrycy;8033;POL;1930;1930;1930;1990;1;4;0;1;0;3;0;L8033;1930;1960;x
Fieldorf-Nil;8034;POL;1939;1941;1945;1990;2;5;1;2;0;5;0;L8034;1939;1960;x
Filipowicz;8035;POL;1930;1990;1990;1990;3;4;0;0;0;5;0;L8035;1930;1941;x
Galadyk;8036;POL;1938;1990;1990;1990;3;5;1;0;0;5;0;L8036;1938;1960;x
Gasiorowski  J.;8037;POL;1938;1990;1990;1990;3;5;0;0;0;5;0;L8037;1938;1960;x
Gasiorowski  W.;8038;POL;1939;1943;1990;1990;2;4;0;1;0;5;0;L8038;1939;1960;x
Giza;8039;POL;1942;1990;1990;1990;3;4;2;0;0;5;0;L8039;1942;1960;x
Glabisz;8040;POL;1938;1942;1990;1990;3;5;0;1;0;5;0;L8040;1938;1960;x
Gluchowski;8041;POL;1938;1944;1990;1990;2;6;513;1;0;5;0;L8041;1938;1960;x
Grot-Rowecki;8042;POL;1937;1941;1990;1990;3;5;1;1;0;5;0;L8042;1937;1944;x
Grzmot-Skotnicki;8043;POL;1930;1938;1990;1990;2;5;2;1;0;5;0;L8043;1930;1960;x
Haller de Hallenburg;8044;POL;1930;1938;1990;1990;2;7;513;1;0;5;0;L8044;1930;1943;x
Haller von Hallenburg;8045;POL;1930;1930;1990;1990;2;4;513;0;0;5;0;L8045;1930;1938;x
Hanka-Kulesza;8046;POL;1930;1930;1990;1990;2;4;2;0;0;5;0;L8046;1930;1938;x
Hutten-Chapski;8047;POL;1930;1930;1990;1990;2;4;514;1;0;5;0;L8047;1930;1938;x
Jagmin-Sadowski;8048;POL;1938;1990;1990;1990;3;6;2;0;0;5;0;L8048;1938;1960;x
Jaklicz;8049;POL;1938;1943;1990;1990;2;4;0;1;0;5;0;L8049;1938;1960;x
Kalabinski;8050;POL;1930;1990;1990;1990;3;5;0;0;0;5;0;L8050;1930;1960;x
Kalina-Zieleniewski;8051;POL;1930;1990;1990;1990;2;5;1;0;0;5;0;L8051;1930;1960;x
Karaszewicz-Tokarzewski;8052;POL;1930;1940;1990;1990;2;5;0;1;0;5;0;L8052;1930;1960;x
Karcz;8053;POL;1938;1990;1990;1990;3;5;2;0;0;5;0;L8053;1938;1943;x
Kasprzycki;8054;POL;1930;1930;1938;1990;1;5;513;1;0;4;0;L8054;1930;1960;x
Kiwerski;8055;POL;1942;1990;1990;1990;3;5;16;0;0;5;0;L8055;1942;1960;x
Klaczynski;8056;POL;1930;1990;1990;1990;3;4;0;0;0;5;0;L8056;1930;1939;x
Kleeberg;8057;POL;1930;1938;1990;1990;2;5;16;1;0;5;0;L8057;1930;1941;x
Klimecki ;8058;POL;1938;1990;1990;1990;3;5;0;0;0;5;0;L8058;1938;1960;x
Kmicic-Skrzynski;8059;POL;1938;1990;1990;1990;3;4;32;0;0;5;0;L8059;1938;1960;x
Knoll-Kownacki;8060;POL;1930;1938;1990;1990;2;5;4;1;0;5;0;L8060;1930;1960;x
Kopanski;8061;POL;1938;1940;1990;1990;3;6;256;1;0;5;0;L8061;1938;1960;x
Kossakowski;8062;POL;1938;1990;1990;1990;3;4;32;0;0;5;0;L8062;1938;1960;x
Kossecki;8063;POL;1941;1990;1990;1990;3;5;4;0;0;5;0;L8063;1941;1960;x
Kowalski;8064;POL;1930;1930;1990;1990;2;5;0;1;0;5;0;L8064;1930;1960;x
Kozicki;8065;POL;1930;1990;1990;1990;3;4;128;0;0;5;0;L8065;1930;1960;x
Kruszewski;8066;POL;1930;1939;1990;1990;2;5;8;1;0;5;0;L8066;1930;1960;x
Krzyzanowski;8067;POL;1930;1938;1990;1990;3;5;16;1;0;5;0;L8067;1930;1960;x
Kukiel;8068;POL;1930;1938;1942;1990;2;5;0;2;0;5;0;L8068;1930;1960;x
Kustron;8069;POL;1938;1990;1990;1990;3;8;256;1;0;5;0;L8069;1938;1940;x
Kutrzeba;8070;POL;1930;1930;1930;1990;1;5;4;1;0;5;0;L8070;1930;1960;x
Langner;8071;POL;1938;1942;1990;1990;2;6;2;1;0;5;0;L8071;1938;1960;x
Levitt;8072;POL;1937;1990;1990;1990;3;4;0;0;0;5;0;L8072;1937;1960;x
Liszka-Lawicz;8073;POL;1938;1990;1990;1990;3;4;2;0;0;5;0;L8073;1938;1960;x
Mackiewicz;8074;POL;1930;1990;1990;1990;3;5;514;1;0;5;0;L8074;1930;1960;x
Maczek;8075;POL;1937;1941;1943;1990;3;6;132;3;0;5;0;L8075;1937;1960;x
Makary-Smorawinski;8076;POL;1937;1990;1990;1990;3;4;64;0;0;5;0;L8076;1937;1960;x
Malinowski;8077;POL;1930;1990;1990;1990;3;4;0;0;0;5;0;L8077;1930;1960;x
Mlot-Fijalkowski;8078;POL;1930;1930;1939;1990;2;5;2;1;0;5;0;L8078;1930;1944;x
Mond;8079;POL;1937;1939;1990;1990;3;4;0;1;0;5;0;L8079;1937;1940;x
Mossor;8080;POL;1939;1942;1946;1990;3;5;0;2;0;3;0;L8080;1939;1960;x
Mozdyniewicz;8081;POL;1938;1990;1990;1990;3;5;2;0;0;5;0;L8081;1938;1960;x
Narbutt-Luczynski;8082;POL;1930;1938;1990;1990;2;5;0;1;0;5;0;L8082;1930;1960;x
Norwid-Neugebauer;8083;POL;1930;1938;1990;1990;2;5;1;1;0;5;0;L8083;1930;1960;x
Odzierzynski;8084;POL;1939;1943;1990;1990;3;5;64;1;0;5;0;L8084;1939;1960;x
Okulicki-Niedzwiadek;8085;POL;1930;1942;1943;1990;3;6;256;2;0;5;0;L8085;1930;1946;x
Olbrycht;8086;POL;1930;1938;1990;1990;2;4;0;1;0;5;0;L8086;1930;1960;x
Olszyna-Wilczynski;8087;POL;1930;1930;1990;1990;2;5;4;0;0;3;0;L8087;1930;1960;x
Orlicz-Dreszer;8088;POL;1930;1930;1941;1990;1;5;16;1;0;3;0;L8088;1930;1960;x
Orlik-Lukoski;8089;POL;1930;1937;1990;1990;2;4;0;1;0;5;0;L8089;1930;1960;x
Orlik-Rueckemann;8090;POL;1930;1937;1939;1990;2;7;4;2;0;5;0;L8090;1930;1960;x
Osinski;8091;POL;1930;1990;1990;1990;3;4;514;1;0;5;0;L8091;1930;1939;x
Ostrowski;8092;POL;1930;1990;1990;1990;3;5;513;1;0;5;0;L8092;1930;1939;x
Oziewicz;8093;POL;1930;1990;1990;1990;3;5;514;1;0;5;0;L8093;1930;1942;x
Paszkiewicz;8094;POL;1930;1940;1990;1990;3;5;0;1;0;5;0;L8094;1930;1960;x
Pelczynski-Grzegorz;8095;POL;1938;1990;1990;1990;3;4;1;0;0;5;0;L8095;1938;1960;x
Piasecki;8096;POL;1930;1939;1990;1990;3;5;1;1;0;5;0;L8096;1930;1960;x
Piekarski;8097;POL;1937;1939;1990;1990;3;4;2;1;0;5;0;L8097;1937;1960;x
Piskor;8098;POL;1930;1930;1937;1990;1;7;514;1;0;5;0;L8098;1930;1960;x
Plisowski;8099;POL;1930;1990;1990;1990;3;5;514;1;0;5;0;L8099;1930;1939;x
Podhorski;8100;POL;1930;1938;1990;1990;3;5;1;1;0;5;0;L8100;1930;1946;x
Popowicz;8101;POL;1930;1930;1990;1990;2;6;514;1;0;5;0;L8101;1930;1941;x
Porwit;8102;POL;1939;1990;1990;1990;3;5;2;0;0;5;0;L8102;1939;1960;x
Powierza;8103;POL;1938;1990;1990;1990;3;5;2;0;0;5;0;L8103;1938;1960;x
Praglowski;8104;POL;1930;1939;1990;1990;3;5;0;1;0;5;0;L8104;1930;1960;x
Prich;8105;POL;1930;1990;1990;1990;3;7;513;3;0;5;0;L8105;1930;1939;x
Prugar-Ketling;8106;POL;1930;1938;1990;1990;3;5;16;1;0;5;0;L8106;1930;1960;x
Przedrzyminski-Krukowicz;8107;POL;1930;1930;1930;1990;1;7;2;1;0;5;0;L8107;1930;1960;x
Przewlocki;8108;POL;1942;1990;1990;1990;3;6;1;0;0;4;0;L8108;1942;1960;x
Przezdziecki;8109;POL;1930;1990;1990;1990;3;5;514;1;0;5;0;L8109;1930;1939;x
Przyjalkowski;8110;POL;1937;1939;1990;1990;3;5;0;1;0;5;0;L8110;1937;1960;x
Rakowski;8111;POL;1942;1945;1990;1990;3;5;128;1;0;5;0;L8111;1942;1960;x
Rola-Arciszewski;8112;POL;1942;1990;1990;1990;3;6;0;0;0;5;0;L8112;1942;1960;x
Rola-Zymierski;8113;POL;1930;1941;1944;1946;3;6;128;3;0;2;0;L8113;1930;1960;x
Romer;8114;POL;1930;1930;1990;1990;2;6;0;1;0;5;0;L8114;1930;1938;x
Rómmel;8115;POL;1930;1930;1930;1990;1;4;0;1;0;5;0;L8115;1930;1960;x
Rostworowski;8116;POL;1930;1930;1990;1990;2;4;0;0;0;5;0;L8116;1930;1960;x
Rudnicki;8117;POL;1939;1942;1990;1990;3;6;128;1;0;5;0;L8117;1939;1960;x
Rys-Trojanowski;8118;POL;1937;1990;1990;1990;3;5;8;0;0;5;0;L8118;1937;1960;x
Sawicki;8119;POL;1937;1990;1990;1990;3;5;0;1;0;5;0;L8119;1937;1960;x
Scewola-Wieczorkiewicz;8120;POL;1930;1937;1990;1990;2;5;0;1;0;4;0;L8120;1930;1941;x
Schally;8121;POL;1930;1930;1930;1990;1;4;514;1;0;5;0;L8121;1930;1960;x
Sikorski  F.;8122;POL;1930;1990;1990;1990;3;5;0;0;0;5;0;L8122;1930;1960;x
Sikorski  W.;8123;POL;1930;1930;1937;1990;1;6;1;2;0;5;0;L8123;1930;1960;x
Skierski;8124;POL;1930;1930;1990;1990;2;5;514;1;0;5;0;L8124;1930;1941;x
Skuratowicz;8125;POL;1930;1990;1990;1990;3;5;513;1;0;5;0;L8125;1930;1960;x
Skwarczynski;8126;POL;1930;1990;1990;1990;3;4;0;0;0;5;0;L8126;1930;1960;x
Slawoj-Skladkowski;8127;POL;1930;1930;1942;1990;2;4;0;1;0;5;0;L8127;1930;1960;x
Smigly-Rydz;8128;POL;1930;1930;1930;1930;0;5;514;1;0;5;0;L8128;1930;1960;x
Smolenski;8129;POL;1938;1990;1990;1990;3;6;0;0;0;5;0;L8129;1939;1960;x
Smorawinski;8130;POL;1930;1930;1990;1990;2;6;544;1;0;5;0;L8130;1930;1960;x
Sosabowski;8131;POL;1939;1942;1990;1990;3;7;260;1;0;5;0;L8131;1939;1960;x
Sosnkowski;8132;POL;1930;1930;1942;1990;1;7;6;2;0;5;0;L8132;1930;1960;x
Spychalski;8133;POL;1937;1940;1942;1944;2;5;0;3;0;3;0;L8133;1937;1960;x
Stachiewicz;8134;POL;1930;1930;1990;1990;2;5;2;0;0;5;0;L8134;1930;1960;x
Staich;8135;POL;1939;1990;1990;1990;3;5;0;0;0;1;0;L8135;1939;1960;x
Strzelecki;8136;POL;1930;1990;1990;1990;3;5;4;0;0;5;0;L8136;1930;1960;x
Sulik;8137;POL;1938;1944;1990;1990;3;5;1;1;0;5;0;L8137;1938;1960;x
Swierczewski;8138;POL;1938;1990;1990;1990;3;5;0;0;0;3;0;L8138;1938;1960;x
Szafran;8139;POL;1937;1990;1990;1990;3;4;2;0;0;5;0;L8139;1937;1960;x
Szylling;8140;POL;1930;1930;1930;1990;1;5;32;1;0;5;0;L8140;1930;1960;x
Szyszko-Bohusz;8141;POL;1937;1942;1990;1990;3;6;36;1;0;5;0;L8141;1937;1960;x
Taczak;8142;POL;1930;1930;1990;1990;2;5;516;1;0;5;0;L8142;1930;1939;x
Tatar;8143;POL;1942;1945;1990;1990;3;4;16;1;0;5;0;L8143;1942;1960;x
Thommée;8144;POL;1930;1930;1990;1990;2;6;2;1;0;5;0;L8144;1930;1960;x
Tomaszewski;8145;POL;1937;1990;1990;1990;3;5;2;0;0;5;0;L8145;1937;1960;x
Trojanowski;8146;POL;1937;1990;1990;1990;3;4;0;0;0;5;0;L8146;1937;1960;x
Turkowski;8147;POL;1938;1990;1990;1990;3;6;2;0;0;5;0;L8147;1938;1945;x
Wachnowski;8148;POL;1930;1990;1990;1990;3;7;16;0;0;5;0;L8148;1930;1943;x
Werobej;8149;POL;1930;1938;1990;1990;3;5;0;1;0;4;0;L8149;1930;1960;x
Wieniawa-Dlugoszowski;8150;POL;1930;1930;1990;1990;2;5;516;1;0;5;0;L8150;1930;1938;x
Wir-Konas;8151;POL;1930;1937;1990;1990;2;5;0;1;0;5;0;L8151;1930;1960;x
Wisniowski;8152;POL;1941;1945;1990;1990;3;6;528;1;0;5;0;L8152;1941;1960;x
Wlad;8153;POL;1930;1990;1990;1990;3;5;2;0;0;5;0;L8153;1930;1939;x
Wolkowicki;8154;POL;1930;1942;1990;1990;3;5;0;1;0;5;0;L8154;1930;1945;x
Zahorski;8155;POL;1938;1990;1990;1990;3;6;514;1;0;5;0;L8155;1938;1941;x
Zakrzewski;8156;POL;1939;1990;1990;1990;3;5;0;0;0;5;0;L8156;1939;1960;x
Zaruski;8157;POL;1930;1990;1990;1990;3;5;514;1;0;5;0;L8157;1930;1939;x
Zegota-Januszajtis;8158;POL;1930;1941;1945;1990;2;5;1;2;0;5;0;L8158;1930;1960;x
Zeligowski;8159;POL;1930;1930;1938;1990;2;4;516;1;0;5;0;L8159;1930;1960;x
Ziemski;8160;POL;1937;1939;1990;1990;3;5;66;0;0;5;0;L8160;1937;1960;x
Zieleniewski;8161;POL;1937;1990;1990;1990;3;4;1;0;0;4;0;L8161;1937;1960;x
Zongollowicz;8162;POL;1930;1990;1990;1990;3;5;514;1;0;5;0;L8162;1930;1939;x
Zubosz-Kalinski;8163;POL;1938;1990;1990;1990;3;5;0;0;0;4;0;L8163;1938;1960;x
Zulauf;8164;POL;1930;1938;1990;1990;2;5;0;1;0;5;0;L8164;1930;1943;x
Czernicki;8165;POL;1930;1930;1938;1990;1;4;2048;0;0;5;1;L8165;1930;1960;x
Frankowski;8166;POL;1930;1937;1990;1990;2;4;0;1;0;5;1;L8166;1930;1941;x
Grudzinski;8167;POL;1937;1990;1990;1990;3;4;1024;0;0;5;1;L8167;1937;1942;x
Kloczkowski;8168;POL;1939;1943;1990;1990;3;4;0;1;0;2;1;L8168;1939;1960;x
Klopotowski;8169;POL;1939;1990;1990;1990;3;4;0;0;0;5;1;L8169;1939;1945;x
Korytowski;8170;POL;1938;1942;1990;1990;2;4;0;1;0;5;1;L8170;1938;1960;x
Romanowski;8171;POL;1930;1990;1990;1990;3;5;1024;0;0;5;1;L8171;1930;1960;x
Steyer;8172;POL;1938;1990;1990;1990;3;4;0;0;0;5;1;L8172;1938;1960;x
Swirski;8173;POL;1930;1930;1940;1990;2;5;4096;1;0;5;1;L8173;1930;1960;x
Szystowski;8174;POL;1939;1990;1990;1990;3;4;0;0;0;5;1;L8174;1939;1943;x
Unrug;8175;POL;1930;1938;1990;1990;2;4;4096;1;0;5;1;L8175;1930;1960;x
Wronski;8176;POL;1937;1942;1990;1990;3;5;0;1;0;5;1;L8176;1937;1960;x
Breda;8177;POL;1938;1990;1990;1990;3;4;0;0;0;4;2;L8177;1938;1960;x
Chalupa;8178;POL;1939;1990;1990;1990;3;4;0;0;0;5;2;L8178;1939;1960;x
Heller;8179;POL;1930;1937;1990;1990;3;5;16384;1;0;5;2;L8179;1930;1960;x
Iwaszkiewicz;8180;POL;1937;1990;1990;1990;3;4;0;0;0;5;2;L8180;1937;1960;x
Jarina;8181;POL;1930;1943;1990;1990;3;5;0;1;0;5;2;L8181;1930;1960;x
Kalkus;8182;POL;1930;1938;1990;1990;2;4;0;1;0;5;2;L8182;1930;1941;x
Karas;8183;POL;1930;1990;1990;1990;3;4;0;0;0;5;2;L8183;1930;1960;x
Karpinski;8184;POL;1940;1990;1990;1990;3;4;0;0;0;1;2;L8184;1940;1960;x
Kowalczyk;8185;POL;1930;1990;1990;1990;3;4;0;0;0;5;2;L8185;1930;1960;x
Krasnodebski;8186;POL;1939;1942;1990;1990;3;5;0;1;0;5;2;L8186;1939;1960;x
Kuzminski;8187;POL;1938;1943;1990;1990;3;5;0;1;0;5;2;L8187;1938;1946;x
Lewandowski;8188;POL;1930;1930;1990;1990;2;4;8704;0;0;5;2;L8188;1930;1944;x
Nazarkiewicz;8189;POL;1938;1990;1990;1990;3;4;0;0;0;5;2;L8189;1938;1960;x
Pawlikowski;8190;POL;1937;1943;1990;1990;3;5;4096;2;0;5;2;L8190;1937;1960;x
Pawluc;8191;POL;1930;1941;1990;1990;2;4;0;1;0;5;2;L8191;1930;1960;x
Prauss;8192;POL;1930;1990;1990;1990;3;5;0;0;0;5;2;L8192;1930;1960;x
Rayski;8193;POL;1930;1930;1942;1990;2;5;0;1;0;5;2;L8193;1930;1960;x
