Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Álvarez Alegría;3000;SPR;1930;1941;1990;1990;3;5;128;1;0;5;0;L3000;1930;1960;x
Álvarez Santiago;3001;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3001;1937;1940;x
Aranguren Roldán;3002;SPR;1930;1930;1990;1990;2;4;0;0;0;5;0;L3002;1930;1939;x
Ascaso Abadía;3003;SPR;1930;1990;1990;1990;3;4;272;0;0;4;0;L3003;1930;1939;x
Asensio Torrado;3004;SPR;1930;1937;1939;1990;2;5;0;2;0;3;0;L3004;1930;1960;x
Barceló Jover;3005;SPR;1930;1930;1990;1990;3;4;0;0;0;4;0;L3005;1930;1939;x
Batet Mestre;3006;SPR;1930;1930;1930;1990;1;5;0;1;0;5;0;L3006;1930;1937;x
Batov;3007;SPR;1930;1937;1990;1990;2;6;128;1;0;4;0;L3007;1930;1960;x
Beldarrain Olalde;3008;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3008;1930;1938;x
Beltran;3009;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3009;1930;1939;x
Burillo Sthole;3010;SPR;1930;1937;1990;1990;3;5;1;1;0;5;0;L3010;1930;1939;x
Casado López;3011;SPR;1930;1938;1990;1990;3;5;4;1;0;2;0;L3011;1930;1960;x
Castelló Manzano;3012;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3012;1937;1940;x
Castelló Pantoja;3013;SPR;1930;1930;1941;1990;2;6;2;1;0;5;0;L3013;1930;1960;x
Castro Delgado;3014;SPR;1930;1990;1990;1990;3;3;0;0;0;4;0;L3014;1930;1938;x
Centaño de la Paz;3015;SPR;1930;1990;1990;1990;3;4;64;0;0;1;0;L3015;1930;1938;x
Contreras;3016;SPR;1930;1990;1990;1990;3;4;0;0;0;4;0;L3016;1930;1939;x
Copic;3017;SPR;1930;1990;1990;1990;3;4;0;0;0;3;0;L3017;1930;1939;x
Cordón García;3018;SPR;1930;1937;1990;1990;2;6;4;1;0;5;0;L3018;1930;1960;x
Coronel Hans;3019;SPR;1937;1990;1990;1990;3;5;1;2;0;4;0;L3019;1937;1939;x
de Lezama;3020;SPR;1937;1990;1990;1990;3;4;260;0;0;5;0;L3020;1937;1941;x
del Barrio Navarra;3021;SPR;1937;1990;1990;1990;3;3;0;0;0;5;0;L3021;1937;1939;x
Doran;3022;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3022;1930;1939;x
Durán Martínez;3023;SPR;1930;1990;1990;1990;3;5;4;0;0;5;0;L3023;1930;1944;x
Durruti Dumange;3024;SPR;1930;1990;1990;1990;3;5;272;0;0;4;0;L3024;1930;1937;x
Eixea Vilar;3025;SPR;1930;1938;1990;1990;3;6;1;1;0;5;0;L3025;1930;1960;x
El Campesino;3026;SPR;1930;1939;1990;1990;3;5;0;1;0;4;0;L3026;1930;1960;x
Escobar Huertas;3027;SPR;1930;1930;1938;1990;2;4;1;1;0;5;0;L3027;1930;1940;x
Escofet Alsina;3028;SPR;1937;1990;1990;1990;3;3;0;0;0;3;0;L3028;1937;1939;x
Estrada Manchon;3029;SPR;1930;1930;1990;1990;2;5;2;0;0;4;0;L3029;1930;1937;x
Fernández de Villa;3030;SPR;1930;1930;1938;1990;1;4;514;1;0;5;0;L3030;1930;1938;x
Fernández Osorio y Tafall;3031;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3031;1930;1939;x
Galán Rodríguez  F.;3032;SPR;1930;1990;1990;1990;3;4;8;0;0;5;0;L3032;1930;1943;x
Galán Rodriguez  J.M.;3033;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3033;1930;1960;x
Gallo;3034;SPR;1930;1990;1990;1990;3;3;0;0;0;3;0;L3034;1930;1939;x
Gamir Ulibarri;3035;SPR;1930;1930;1941;1990;2;5;0;1;0;5;0;L3035;1930;1960;x
García Gómez Caminero;3036;SPR;1930;1930;1930;1990;1;6;513;1;0;5;0;L3036;1930;1938;x
Garcia Vivancos;3037;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3037;1930;1946;x
Generale Goméz;3038;SPR;1937;1990;1990;1990;3;6;0;1;0;3;0;L3038;1937;1939;x
Gimenéz Orge;3039;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3039;1930;1960;x
Gómez Morato;3040;SPR;1930;1930;1930;1990;1;5;0;1;0;5;0;L3040;1930;1960;x
Guarner Vivancos;3041;SPR;1930;1937;1990;1990;3;5;0;1;0;5;0;L3041;1930;1960;x
