Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abrazarian;500000;RUS;1930;1990;1990;1990;3;4;16;0;0;5;0;L500000;1930;1945;x
Alekseev;500001;RUS;1930;1930;1930;1990;1;5;514;1;0;5;0;L500001;1930;1942;x
Barbovich;500002;RUS;1930;1990;1990;1990;3;4;128;0;0;5;0;L500002;1930;1960;x
Belov  I.P.;500003;RUS;1930;1939;1942;1990;1;5;0;2;0;5;0;L9839;1930;1960;x
Belov  S.I.;500004;RUS;1930;1939;1946;1990;2;5;128;2;0;5;0;L9841;1930;1960;x
Berman;500005;RUS;1930;1941;1990;1990;2;5;4;1;0;5;0;L9843;1930;1960;x
Bogaevsky;500006;RUS;1930;1930;1990;1990;2;3;128;0;0;5;0;L500006;1930;1960;x
Daskevych;500007;RUS;1930;1990;1990;1990;3;4;256;0;0;5;0;L500007;1930;1960;x
Deev;500008;RUS;1930;1939;1942;1990;2;4;256;2;0;5;0;L9884;1930;1960;x
Denikin;500009;RUS;1930;1930;1930;1990;1;4;520;1;0;5;0;L500009;1930;1942;x
Dragomirov;500010;RUS;1930;1930;1930;1990;1;4;514;1;0;5;0;L500010;1930;1942;x
Drozdovski;500011;RUS;1930;1930;1939;1943;1;6;128;3;0;5;0;L500011;1930;1960;x
Dutov;500012;RUS;1930;1930;1940;1990;2;4;8;1;0;5;0;L500012;1930;1946;x
Dybenko;500013;RUS;1930;1939;1990;1990;2;5;513;1;0;5;0;L9894;1930;1942;x
Egorov;500014;RUS;1930;1930;1939;1941;0;7;514;2;0;5;0;L9896;1930;1946;x
Erogin;500015;RUS;1930;1941;1990;1990;2;3;4;1;0;5;0;L500015;1930;1960;x
Fabricius;500016;RUS;1930;1930;1930;1990;1;4;514;1;0;5;0;L9907;1930;1941;x
Fedko;500017;RUS;1930;1939;1943;1990;2;4;2;2;0;5;0;L9910;1930;1960;x
Fomin;500018;RUS;1930;1990;1990;1990;3;4;1;0;0;5;0;L9936;1930;1960;x
Gaj;500019;RUS;1930;1939;1941;1990;2;5;1;2;0;5;0;L9930;1930;1960;x
Glazenap;500020;RUS;1930;1930;1990;1990;2;4;520;1;0;5;0;L500020;1930;1943;x
Golubev;500021;RUS;1930;1941;1990;1990;3;4;8;1;0;5;0;L9946;1930;1960;x
Gordon;500022;RUS;1930;1990;1990;1990;3;3;0;0;0;5;0;L9955;1930;1960;x
Hahanyan;500023;RUS;1930;1990;1990;1990;3;5;513;1;0;5;0;L9969;1930;1944;x
Harzevsky;500024;RUS;1930;1942;1990;1990;3;4;128;1;0;5;0;L500024;1930;1960;x
Horoshin;500025;RUS;1930;1930;1990;1990;2;4;32;0;0;5;0;L9974;1930;1960;x
H.R.H. Kyrill;500026;RUS;1930;1930;1930;1930;0;2;0;0;0;5;0;L500026;1930;1960;x
Ionov;500027;RUS;1930;1990;1990;1990;3;4;256;0;0;5;0;L500027;1930;1960;x
Irchakin;500028;RUS;1930;1942;1990;1990;2;4;256;1;0;5;0;L500028;1930;1960;x
Ivanrin;500029;RUS;1930;1939;1990;1990;3;5;4;1;0;5;0;L500029;1930;1960;x
Kaledin;500030;RUS;1930;1938;1943;1990;1;5;8;2;0;5;0;L500030;1930;1960;x
Kalinovski;500031;RUS;1930;1930;1942;1990;2;5;8;1;0;5;0;L9991;1930;1960;x
Kaminski;500032;RUS;1930;1939;1990;1990;2;3;0;1;0;5;0;L9993;1930;1960;x
Kashirin;500033;RUS;1930;1930;1939;1942;1;4;4;2;0;5;0;L10518;1930;1960;x
Kazanovich;500034;RUS;1930;1930;1990;1990;2;3;513;1;0;5;0;L500034;1930;1942;x
Kazhurgin;500035;RUS;1930;1939;1990;1990;2;3;8;2;0;5;0;L500035;1930;1960;x
Keller;500036;RUS;1930;1930;1941;1990;2;6;256;2;0;5;0;L500036;1930;1946;x
Khalatov;500037;RUS;1930;1930;1990;1990;2;4;520;1;0;5;0;L10517;1930;1944;x
Kharitonov;500038;RUS;1930;1943;1990;1990;3;4;0;1;0;5;0;L10006;1930;1960;x
Kirienko;500039;RUS;1930;1941;1990;1990;3;4;8;1;0;5;0;L500039;1930;1960;x
Klimovskih;500040;RUS;1930;1990;1990;1990;3;3;0;0;0;5;0;L10016;1930;1960;x
Kolbyakin;500041;RUS;1930;1941;1990;1990;2;4;64;1;0;5;0;L500041;1930;1960;x
Kolchak;500042;RUS;1930;1930;1941;1990;2;3;256;1;0;5;0;L500042;1970;1971;x
Kolchik;500043;RUS;1930;1930;1945;1990;2;4;0;1;0;5;0;L10019;1930;1960;x
Kopec;500044;RUS;1930;1943;1990;1990;3;4;8;1;0;4;0;L10028;1930;1960;x
Kork;500045;RUS;1930;1930;1938;1990;1;6;528;1;0;3;0;L10031;1930;1945;x
Kornilov;500046;RUS;1930;1930;1930;1990;1;7;513;1;0;5;0;L500046;1930;1960;x
Kotovski;500047;RUS;1930;1938;1944;1990;2;5;136;2;0;5;0;L10042;1930;1960;x
Kuibyshev;500048;RUS;1930;1938;1941;1990;1;3;1;2;0;5;0;L10054;1930;1960;x
Kuravets;500049;RUS;1930;1939;1990;1990;2;4;0;1;0;5;0;L500049;1930;1960;x
Kutepov;500050;RUS;1930;1930;1942;1990;2;5;256;1;0;5;0;L500050;1930;1960;x
Kuzn;500051;RUS;1930;1990;1990;1990;3;3;2;0;0;5;0;L10066;1930;1960;x
Lapin;500052;RUS;1930;1938;1990;1990;2;4;2;1;0;5;0;L10071;1930;1960;x
Levitov;500053;RUS;1930;1943;1990;1990;3;5;128;1;0;5;0;L500053;1930;1960;x
Ludomsky;500054;RUS;1930;1930;1990;1990;2;4;514;1;0;5;0;L500054;1930;1943;x
Manshikov;500055;RUS;1930;1930;1930;1990;1;4;514;1;0;5;0;L500055;1930;1941;x
Manshtein;500056;RUS;1930;1990;1990;1990;3;6;64;0;0;5;0;L500056;1930;1960;x
Markoff;500057;RUS;1930;1930;1941;1943;1;6;6;3;0;5;0;L500057;1930;1960;x
Markulev;500058;RUS;1930;1941;1990;1990;2;3;0;1;0;5;0;L500058;1930;1960;x
Medvedovski;500059;RUS;1930;1939;1943;1990;2;5;8;2;0;5;0;L10114;1930;1960;x
Meklis;500060;RUS;1930;1930;1990;1990;2;4;0;0;0;5;0;L10115;1930;1960;x
Mihailov;500061;RUS;1930;1939;1990;1990;2;4;256;1;0;5;0;L500061;1930;1960;x
Miller;500062;RUS;1930;1930;1930;1990;1;4;514;1;0;5;0;L500062;1930;1942;x
Naumenko;500063;RUS;1930;1990;1990;1990;3;5;16;0;0;5;0;L500063;1930;1960;x
Navrocki;500064;RUS;1930;1939;1990;1990;2;5;8;1;0;5;0;L10137;1930;1960;x
Nazarov;500065;RUS;1930;1930;1939;1990;2;5;513;1;0;5;0;L10138;1930;1943;x
Nezintsev;500066;RUS;1930;1941;1990;1990;2;4;32;1;0;5;0;L500066;1930;1960;x
Nikogerov;500067;RUS;1930;1990;1990;1990;3;5;256;0;0;5;0;L500067;1930;1960;x
Pisarev;500068;RUS;1930;1943;1990;1990;3;4;1;1;0;5;0;L500068;1930;1960;x
Pokrovsky;500069;RUS;1930;1930;1990;1990;2;3;8;0;0;5;0;L500069;1930;1960;x
Polyagin;500070;RUS;1930;1930;1930;1990;1;3;513;1;0;5;0;L500070;1930;1941;x
Primakov;500071;RUS;1930;1930;1943;1945;1;7;1;3;0;5;0;L10202;1930;1960;x
Pshenn;500072;RUS;1930;1990;1990;1990;3;4;1;0;0;5;0;L10208;1930;1960;x
Putna;500073;RUS;1930;1930;1939;1990;1;4;0;1;0;5;0;L10215;1930;1960;x
Rar;500074;RUS;1930;1930;1942;1990;2;4;2;1;0;5;0;L500074;1930;1947;x
Romanovsky;500075;RUS;1930;1940;1943;1990;2;5;4;2;0;5;0;L500075;1930;1960;x
Ryabyshev;500076;RUS;1930;1941;1944;1990;2;6;32;2;0;5;0;L10253;1930;1960;x
Sapoznikov;500077;RUS;1930;1930;1941;1990;2;4;2;2;0;5;0;L500077;1930;1945;x
Sedyakin;500078;RUS;1930;1930;1990;1990;2;4;516;1;0;5;0;L10271;1930;1944;x
Semyonov;500079;RUS;1930;1930;1930;1990;1;6;524;1;0;5;0;L500079;1930;1943;x
Serdich;500080;RUS;1930;1943;1990;1990;3;4;8;1;0;5;0;L10276;1930;1960;x
Serstchiakin;500081;RUS;1930;1930;1990;1990;2;3;520;1;0;5;0;L500081;1930;1941;x
Sharangovich;500082;RUS;1930;1990;1990;1990;3;4;513;1;0;5;0;L10283;1930;1942;x
Sheklanov;500083;RUS;1930;1941;1943;1990;2;5;32;2;0;5;0;L10286;1930;1960;x
Sherbatchev;500084;RUS;1930;1930;1930;1930;0;3;1;1;0;5;0;L500084;1930;1942;x
Shernetsov;500085;RUS;1930;1941;1990;1990;3;4;9;1;0;5;0;L500085;1930;1960;x
Shipov;500086;RUS;1930;1942;1990;1990;3;4;0;1;0;5;0;L500086;1930;1960;x
Shmidt;500087;RUS;1930;1944;1990;1990;3;3;4;1;0;5;0;L10297;1930;1960;x
Shugarev;500088;RUS;1930;1940;1944;1990;2;5;4;2;0;5;0;L500088;1930;1960;x
Shulga;500089;RUS;1930;1942;1990;1990;2;4;128;1;0;5;0;L500089;1930;1960;x
Skoblin;500090;RUS;1930;1943;1990;1990;2;4;8;1;0;5;0;L500090;1930;1960;x
Strepuhov;500091;RUS;1930;1930;1939;1990;2;5;64;1;0;5;0;L10322;1930;1960;x
Tkatchev;500092;RUS;1930;1930;1990;1990;2;3;4;1;0;5;0;L500092;1930;1960;x
Troubetzkoy;500093;RUS;1930;1930;1939;1990;2;5;4;2;0;5;0;L500093;1930;1960;x
Tukhachevsky;500094;RUS;1930;1930;1938;1942;0;5;4;3;0;3;0;L10342;1930;1960;x
Turkul;500095;RUS;1930;1939;1990;1990;2;4;128;1;0;5;0;L500095;1930;1960;x
Unzherov;500096;RUS;1930;1930;1990;1990;2;3;2;0;0;4;0;L10515;1930;1960;x
Uspenski;500097;RUS;1930;1939;1990;1990;2;3;8;1;0;5;0;L10349;1930;1960;x
Vaciljev;500098;RUS;1930;1941;1990;1990;3;4;0;1;0;5;0;L500098;1930;1960;x
Vazetis;500099;RUS;1930;1930;1990;1990;2;4;1;0;0;4;0;L10514;1930;1960;x
Vitkovsky;500100;RUS;1930;1942;1990;1990;3;4;0;1;0;5;0;L500100;1930;1960;x
