Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
al-Aziz;533000;BEN;1930;1930;1990;1990;2;2;1;0;0;5;0;M533057;1930;1942;x
Alley;533001;BEN;1944;1990;1990;1990;3;2;64;0;0;5;0;L533001;1944;1960;x
Bourgoin;533002;BEN;1940;1990;1990;1990;3;4;256;0;0;5;0;L533002;1940;1960;x
Chabert;533003;BEN;1940;1990;1990;1990;3;3;256;0;0;5;0;L533003;1940;1960;x
Colonna d'Ornano;533004;BEN;1930;1990;1990;1990;3;4;1;0;0;5;0;L533004;1930;1941;x
Delpech;533005;BEN;1930;1930;1990;1990;2;3;514;1;0;5;0;M533008;1930;1942;x
de Roux;533006;BEN;1940;1990;1990;1990;3;2;0;0;0;5;0;L533006;1940;1960;x
de Saint-Alary;533007;BEN;1930;1930;1930;1990;1;2;514;1;0;5;0;M533007;1930;1943;x
Favreau;533008;BEN;1938;1942;1990;1990;2;3;1;1;0;5;0;L533008;1938;1960;x
Jomo;533009;BEN;1930;1990;1990;1990;3;2;16;0;0;5;0;M533053;1930;1942;x
Koli;533010;BEN;1938;1943;1990;1990;2;3;17;1;0;5;0;M533058;1938;1960;x
Latrille;533011;BEN;1939;1942;1990;1990;2;3;1;1;0;5;0;M533024;1939;1960;x
Mouniro;533012;BEN;1940;1990;1990;1990;3;2;1;0;0;5;0;L533012;1940;1960;x
Muller;533013;BEN;1930;1990;1990;1990;3;3;32;0;0;5;0;L533013;1930;1960;x
Parant;533014;BEN;1930;1990;1990;1990;3;3;1;0;0;5;0;L533014;1930;1941;x
Pinhede;533015;BEN;1941;1990;1990;1990;3;3;64;0;0;5;0;L533015;1941;1960;x
Podeur;533016;BEN;1941;1990;1990;1990;3;4;4;0;0;5;0;M533056;1941;1960;x
Renard;533017;BEN;1939;1945;1990;1990;2;3;128;1;0;5;0;L533017;1939;1960;x
Saibou;533018;BEN;1945;1990;1990;1990;3;2;2;0;0;5;0;M533054;1945;1960;x
Salceti;533019;BEN;1930;1941;1943;1990;1;4;1;2;0;5;0;M533014;1930;1960;x
Savelli;533020;BEN;1939;1990;1990;1990;3;4;257;0;0;5;0;L533020;1939;1960;x
Scamaroni;533021;BEN;1941;1990;1990;1990;3;2;0;0;0;5;0;M533062;1941;1960;x
Soglo;533022;BEN;1945;1990;1990;1990;3;2;128;0;0;5;0;L533022;1945;1960;x
Villerot;533023;BEN;1939;1942;1945;1990;1;4;1;2;0;5;0;L533023;1939;1960;x
d'Oultre Seille;533024;BEN;1930;1930;1990;1990;2;3;1024;0;0;5;1;M533009;1930;1960;x
Franzone;533025;BEN;1940;1990;1990;1990;3;3;4096;0;0;5;1;L533025;1940;1960;x
Louveau;533026;BEN;1930;1945;1990;1990;2;3;0;1;0;5;1;M533059;1930;1960;x
Canepa;533027;BEN;1941;1990;1990;1990;3;2;4096;0;0;5;2;L533027;1941;1960;x
de Roux;533028;BEN;1940;1990;1990;1990;3;3;4096;0;0;5;2;L533006;1940;1960;x
Flury-Hérard;533029;BEN;1930;1990;1990;1990;3;3;0;0;0;5;2;M533010;1930;1960;x
Risso;533030;BEN;1938;1942;1990;1990;2;4;0;1;0;5;2;L533030;1938;1960;x
Scamaroni;533031;BEN;1941;1990;1990;1990;3;3;16384;0;0;5;2;M533062;1941;1960;x
