Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Belchurkin;503000;CSX;1930;1930;1990;1990;2;2;514;1;0;5;0;L503000;1930;1960;x
Fu Zuoyi;503001;CSX;1930;1930;1942;1990;1;4;128;1;0;3;0;L50085;1930;1960;x
Kernichek;503002;CSX;1930;1990;1990;1990;3;2;1;0;0;5;0;L503002;1930;1960;x
Li Fuying;503003;CSX;1930;1940;1942;1990;2;3;0;2;0;4;0;L50174;1930;1960;x
Peng Ziqin;503004;CSX;1930;1990;1990;1990;3;3;8;0;0;5;0;L503004;1930;1960;x
Rudin;503005;CSX;1930;1990;1990;1990;3;2;128;0;0;5;0;L503005;1930;1960;x
Rymakov;503006;CSX;1930;1990;1990;1990;3;2;256;0;0;5;0;L503006;1930;1960;x
Shang Zhen;503007;CSX;1930;1938;1990;1990;3;2;1;1;0;5;0;L503007;1930;1960;x
Shi Zibo;503008;CSX;1930;1938;1990;1990;2;3;0;1;0;5;0;L503008;1930;1960;x
Dong Qiwu;503009;CSX;1938;1990;1990;1990;3;2;0;0;0;4;0;L50300;1938;1960;x
Wang Jingguo;503010;CSX;1930;1930;1990;1990;2;2;2;0;0;3;0;L50314;1930;1943;x
Yan Xishan;503011;CSX;1930;1930;1938;1940;0;3;2;2;0;5;0;L50348;1930;1960;x
Krolcheff;503012;CSX;1930;1930;1990;1990;2;2;0;0;0;5;1;L503012;1930;1960;x
Rymakov;503013;CSX;1930;1990;1990;1990;3;2;0;0;0;5;1;L503006;1930;1960;x
Yan Xishan;503014;CSX;1930;1930;1938;1990;1;2;0;1;0;5;1;L50348;1930;1960;x
Groszchivili;503015;CSX;1930;1939;1990;1990;2;2;0;1;0;5;2;L503015;1930;1960;x
Piryakin;503016;CSX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L503016;1930;1960;x
Yan Xishan;503017;CSX;1930;1930;1938;1990;1;2;0;1;0;5;2;L50348;1930;1960;x
Streccius;503018;CSX;1930;1930;1990;1990;2;5;4;1;0;5;0;L503018;1930;1944;x
von Döring;503019;CSX;1930;1930;1990;1990;2;3;1;1;0;5;0;L503019;1944;1960;x
