Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Agosti;508000;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508000;1943;1960;x
Agostini;508001;RSI;1943;1990;1990;1990;3;3;16;0;0;5;0;L508001;1943;1960;x
Albera;508002;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508002;1943;1960;x
Arioli;508003;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508003;1943;1960;x
Bader;508004;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508004;1943;1960;x
Babel;508005;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508005;1943;1960;x
Barde;508006;RSI;1943;1990;1990;1990;3;4;0;0;0;5;0;L508006;1943;1960;x
Betzel;508007;RSI;1943;1945;1990;1990;2;5;2;1;0;5;0;L508007;1943;1960;x
Borghese;508008;RSI;1942;1990;1990;1990;3;7;1024;3;0;5;1;L6029;1942;1960;x
Bortolotto;508009;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508009;1943;1960;x
Breithaupt;508010;RSI;1942;1990;1990;1990;3;4;64;0;0;5;0;L508010;1942;1947;x
Brufani;508011;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508011;1943;1960;x
Bruno;508012;RSI;1941;1990;1990;1990;3;2;2;0;0;4;0;L6031;1941;1960;x
Calzolari;508013;RSI;1942;1990;1990;1990;3;3;0;0;0;5;0;L508013;1943;1960;x
Carloni;508014;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508014;1943;1960;x
Carsiviglia;508015;RSI;1943;1990;1990;1990;3;5;256;0;0;5;0;L508015;1943;1960;x
Crimi;508016;RSI;1930;1990;1990;1990;3;3;0;0;0;2;0;L6250;1930;1945;x
D'Oro;508017;RSI;1930;1990;1990;1990;2;3;0;1;0;5;0;L6251;1930;1960;x
de Cia;508018;RSI;1940;1943;1990;1990;3;4;264;1;0;5;0;L6057;1940;1960;x
del Giudice;508019;RSI;1941;1943;1990;1990;2;4;1;1;0;5;0;L6253;1941;1960;x
Dürrstein;508020;RSI;1943;1990;1990;1990;3;3;0;1;0;5;0;L508020;1943;1960;x
Esposito;508021;RSI;1930;1943;1990;1990;2;5;256;1;0;3;0;L6065;1930;1960;x
Fanfani;508022;RSI;1943;1990;1990;1990;3;6;256;1;0;5;0;L508022;1943;1960;x
Farina;508023;RSI;1944;1945;1990;1990;3;4;0;1;0;5;0;L508023;1944;1960;x
Filippani Ronconi;508024;RSI;1944;1990;1990;1990;3;5;4;0;0;5;0;L508024;1944;1960;x
Gambara;508025;RSI;1930;1930;1942;1990;2;6;8;2;0;5;0;L6074;1930;1960;x
Giugni;508026;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508026;1943;1960;x
Gonell;508027;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508027;1943;1960;x
Graziani;508028;RSI;1930;1930;1930;1937;0;5;5;2;0;5;0;L508028;1930;1960;x
Heisig;508029;RSI;1943;1990;1990;1990;3;4;32;0;0;5;0;L508029;1943;1960;x
Heldmann;508030;RSI;1939;1990;1990;1990;3;5;4;0;0;5;0;L508030;1939;1960;x
Hintz;508031;RSI;1943;1990;1990;1990;3;4;64;0;0;5;0;L508031;1943;1960;x
Hufenbach;508032;RSI;1943;1960;1990;1990;3;4;2;0;0;5;0;L508032;1943;1960;x
Hundt;508033;RSI;1942;1943;1990;1990;2;5;128;1;0;5;0;L508033;1944;1960;x
Hölz;508034;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508034;1943;1960;x
Leonardi;508035;RSI;1939;1990;1990;1990;3;2;0;1;0;5;0;L6262;1939;1960;x
Marino;508036;RSI;1944;1990;1990;1990;3;2;0;0;0;5;0;L508036;1944;1960;x
Melchiore;508037;RSI;1930;1930;1990;1990;2;3;0;1;0;5;0;L508037;1943;1960;x
Millica;508038;RSI;1943;1990;1990;1990;3;2;0;0;0;5;0;L508038;1943;1960;x
Montagna;508039;RSI;1943;1990;1990;1990;3;4;0;1;0;5;0;L6265;1943;1960;x
Navarini;508040;RSI;1939;1941;1990;1990;2;5;0;2;0;5;0;L6267;1939;1960;x
Nicchiarelli;508041;RSI;1943;1990;1990;1990;3;3;0;0;0;5;0;L508041;1943;1960;x
Pavolini;508042;RSI;1930;1930;1990;1990;2;4;16;1;0;5;0;L508042;1943;1960;x
Piatti del Pozzo;508043;RSI;1942;1990;1990;1990;2;3;0;1;0;5;0;L6271;1942;1960;x
Pozzi;508044;RSI;1943;1990;1990;1990;3;2;0;0;0;5;0;L508044;1943;1960;x
Romegialli;508045;RSI;1930;1990;1990;1990;2;3;1;1;0;5;0;L6274;1930;1960;x
Ricci;508046;RSI;1930;1990;1990;1990;3;4;0;1;0;5;0;L6124;1930;1956;x
Sommavilla;508047;RSI;1944;1990;1990;1990;3;3;0;0;0;5;0;L508047;1944;1960;x
Voldemyra-Gabini;508048;RSI;1941;1990;1990;1990;3;4;8;0;0;5;0;L6279;1941;1945;x
von Blanckensee;508049;RSI;1943;1990;1990;1990;3;4;4;0;0;5;0;L508049;1943;1960;x
von Hirschfeld;508050;RSI;1943;1990;1990;1990;3;4;128;0;0;5;0;L508050;1943;1960;x
Waue;508051;RSI;1943;1990;1990;1990;3;4;1;0;0;5;0;L508051;1943;1947;x
Zuliani;508052;RSI;1943;1990;1990;1990;3;4;256;0;0;5;0;L508052;1943;1960;x
Arps;508053;RSI;1940;1942;1990;1990;2;4;0;1;0;5;1;L508053;1940;1947;x
Brandimarte;508054;RSI;1938;1943;1944;1990;2;4;0;2;0;5;1;L6280;1938;1960;x
Böhmer;508055;RSI;1943;1990;1990;1990;3;4;0;0;0;5;1;L508055;1943;1960;x
di Cossata;508056;RSI;1941;1943;1990;1990;2;3;1024;1;0;4;1;L6164;1941;1960;x
Gazzana;508057;RSI;1942;1944;1990;1990;3;3;1024;1;0;5;1;L6173;1942;1960;x
Grillo;508058;RSI;1940;1943;1990;1990;2;3;0;1;0;5;1;L6281;1940;1960;x
Hoffmann;508059;RSI;1943;1990;1990;1990;3;4;0;0;0;5;1;L508059;1943;1947;x
Leithäuser;508060;RSI;1943;1990;1990;1990;3;4;0;0;0;5;1;L508060;1943;1947;x
Nobe;508061;RSI;1942;1944;1990;1990;2;4;4096;1;0;5;1;L508061;1942;1960;x
Rasmus;508062;RSI;1942;1990;1990;1990;3;4;0;0;0;5;1;L508062;1942;1960;x
Schall-Emden;508063;RSI;1940;1943;1990;1990;2;4;4096;1;0;5;1;L508063;1940;1960;x
Scheurlen;508064;RSI;1942;1944;1990;1990;2;4;2048;1;0;5;1;L508064;1942;1947;x
Schmidt  A.;508065;RSI;1941;1990;1990;1990;3;4;8192;0;0;5;1;L508065;1941;1960;x
Schmidt  F.T.;508066;RSI;1943;1990;1990;1990;3;4;0;0;0;5;1;L508066;1943;1960;x
Thaon di Revel;508067;RSI;1930;1930;1930;1946;0;3;8704;1;0;5;1;L6188;1930;1960;x
Bärens;508068;RSI;1943;1990;1990;1990;3;4;0;0;0;5;2;L508068;1943;1960;x
Bonomi;508069;RSI;1930;1939;1943;1990;1;4;16384;2;0;5;2;L6282;1930;1960;x
Cagna;508070;RSI;1930;1943;1990;1990;2;3;0;1;0;4;2;L6201;1930;1960;x
Diesling;508071;RSI;1943;1990;1990;1990;3;4;16384;0;0;5;2;L508071;1943;1960;x
di Ferro;508072;RSI;1938;1943;1990;1990;2;3;131072;1;0;3;2;L6206;1938;1960;x
Erdmann;508073;RSI;1943;1944;1990;1990;2;5;4096;1;0;5;2;L508073;1943;1960;x
Erhard;508074;RSI;1943;1990;1990;1990;3;4;0;0;0;5;2;L508074;1943;1960;x
Fricke;508075;RSI;1943;1990;1990;1990;3;5;8192;0;0;5;2;L508075;1943;1960;x
Junck;508076;RSI;1943;1990;1990;1990;3;4;4096;0;0;5;2;L508076;1943;1960;x
Kohlbach;508077;RSI;1943;1990;1990;1990;3;4;65536;0;0;5;2;L508077;1943;1947;x
Lorenz;508078;RSI;1943;1990;1990;1990;3;4;0;2;0;5;2;L508078;1943;1960;x
Maier;508079;RSI;1943;1990;1990;1990;3;4;16384;0;0;5;2;L508079;1943;1960;x
Mecozzi;508080;RSI;1937;1939;1990;1990;2;4;16384;1;0;1;2;L6218;1937;1960;x
Santoro;508081;RSI;1938;1943;1990;1990;2;3;0;1;0;4;2;L6233;1938;1960;x
Tessari;508082;RSI;1938;1941;1943;1990;1;4;0;2;0;5;2;L6283;1938;1960;x
Visconti;508083;RSI;1942;1990;1990;1990;3;5;4096;0;0;5;2;L6237;1942;1960;x
von Löwenstern;508084;RSI;1943;1990;1990;1990;3;4;0;0;0;5;2;L508084;1943;1947;x
Tringali;508087;RSI;1930;1990;1990;1990;1;3;0;1;0;5;0;L6278;1930;1990;x
