Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Aakerhielm;9000;SWE;1941;1990;1990;1990;3;3;0;0;0;4;0;L9000;1941;1960;x
af Klercker;9001;SWE;1930;1930;1930;1990;1;4;514;1;0;5;0;L9001;1930;1939;x
Andrén;9002;SWE;1930;1990;1990;1990;3;3;32;0;0;4;0;L9002;1930;1943;x
Backlund;9003;SWE;1944;1990;1990;1990;3;4;1;0;0;5;0;L9003;1944;1960;x
Bennedich;9004;SWE;1930;1990;1990;1990;3;3;64;0;0;4;0;L9004;1930;1940;x
Bredberg;9005;SWE;1940;1942;1990;1990;2;4;0;1;0;5;0;L9005;1940;1960;x
Cederskiöld;9006;SWE;1939;1990;1990;1990;3;4;0;0;0;5;0;L9006;1939;1960;x
Douglas;9007;SWE;1930;1942;1944;1990;1;6;4;2;0;3;0;L9007;1930;1946;x
Ehrensvärd CA.;9008;SWE;1939;1943;1945;1990;1;7;12;3;0;4;0;L9008;1939;1960;x
Gadd  H.;9009;SWE;1930;1942;1990;1990;3;3;0;1;0;4;0;L9009;1930;1946;x
Gadd  S.;9010;SWE;1944;1990;1990;1990;3;4;64;0;0;5;0;L9010;1944;1960;x
Gyllenkrok;9011;SWE;1930;1990;1990;1990;3;4;2;0;0;3;0;L9011;1930;1940;x
Hagelberg;9012;SWE;1938;1942;1990;1990;3;4;24;1;0;3;0;L9012;1938;1960;x
Hamilton;9013;SWE;1930;1990;1990;1990;3;4;12;1;0;5;0;L9013;1930;1941;x
Holmquist;9014;SWE;1930;1930;1990;1990;2;3;8;0;0;4;0;L9014;1930;1942;x
Högberg;9015;SWE;1943;1990;1990;1990;3;4;0;0;0;5;0;L9015;1943;1960;x
Jung;9016;SWE;1942;1944;1990;1990;1;5;12;0;0;4;0;L9016;1942;1960;x
Malmberg;9017;SWE;1930;1990;1990;1990;3;3;0;0;0;4;0;L9017;1930;1941;x
Nygren;9018;SWE;1930;1930;1930;1990;1;3;8;1;0;5;0;L9018;1930;1941;x
Peyron;9019;SWE;1930;1930;1990;1990;2;4;576;1;0;4;0;L9019;1930;1940;x
Rappe;9020;SWE;1939;1943;1990;1990;1;7;128;1;0;3;0;L9020;1939;1960;x
Rosenblad;9021;SWE;1930;1930;1990;1990;2;4;520;1;0;5;0;L9021;1930;1943;x
Staalhane;9022;SWE;1930;1930;1990;1990;2;3;520;1;0;5;0;L9022;1930;1939;x
Sylvan;9023;SWE;1930;1930;1990;1990;2;4;0;0;0;5;0;L9023;1930;1942;x
Thörnell;9024;SWE;1930;1936;1940;1990;1;3;9;3;0;5;0;L9024;1930;1944;x
Tottie;9025;SWE;1938;1943;1990;1990;3;3;0;1;0;5;0;L9025;1938;1960;x
von Rosen;9026;SWE;1930;1930;1990;1990;2;4;12;1;0;5;0;L9026;1930;1943;x
Biörklund;9027;SWE;1942;1990;1990;1990;3;3;0;0;0;4;1;L9027;1942;1960;x
de Champs;9028;SWE;1930;1930;1990;1990;2;3;0;0;0;4;1;L9028;1930;1944;x
Dyrssen;9029;SWE;1930;1930;1990;1990;2;3;4608;0;0;5;1;L9029;1930;1941;x
Ehrensvärd;9030;SWE;1930;1939;1943;1990;2;4;4096;2;0;4;1;L9030;1930;1960;x
Grefberg;9031;SWE;1940;1990;1990;1990;3;3;1024;0;0;4;1;L9031;1940;1960;x
Hamilton;9032;SWE;1930;1990;1990;1990;3;4;0;0;0;4;1;L9032;1930;1942;x
Lindström;9033;SWE;1930;1930;1940;1990;1;4;0;1;0;3;1;L9033;1930;1946;x
Strömbäck;9034;SWE;1939;1990;1990;1990;2;5;0;0;0;5;1;L9034;1939;1960;x
Tamm;9035;SWE;1938;1942;1946;1990;2;4;0;2;0;4;1;L9035;1938;1960;x
Friis;9036;SWE;1930;1930;1930;1990;1;3;0;1;0;4;2;L9036;1930;1945;x
Iacobi;9037;SWE;1938;1941;1945;1990;2;4;65536;2;0;5;2;L9037;1938;1960;x
Karlsson;9038;SWE;1943;1990;1990;1990;3;3;0;0;0;5;2;L9038;1943;1960;x
Ljungdahl;9039;SWE;1938;1990;1990;1990;3;3;0;0;0;5;2;L9039;1938;1960;x
Nordenskiöld;9040;SWE;1939;1941;1990;1990;2;5;0;1;0;3;2;L9040;1939;1960;x
Salwen;9041;SWE;1940;1990;1990;1990;3;3;131072;0;0;5;2;L9041;1940;1944;x
Tamm;9042;SWE;1945;1990;1990;1990;3;3;0;0;0;4;2;L9042;1945;1960;x
Theler;9043;SWE;1940;1990;1990;1990;3;4;8192;0;0;4;2;L9043;1940;1960;x
Örnberg;9044;SWE;1930;1939;1990;1990;3;3;4096;1;0;4;2;L9044;1930;1942;x
Linder;9045;SWE;1930;1930;1990;1990;2;3;8;0;0;5;0;L9045;1930;1943;x
