Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Andruk Gonpo Tashi;150000;TIB;1930;1990;1990;1990;3;2;256;0;0;4;0;L150000;1930;1942;x
Bapa Yeshe;150001;TIB;1943;1945;1990;1990;3;3;16;1;0;4;0;L150001;1943;1960;x
Chaghoe Namgyal Dorje;150002;TIB;1930;1990;1990;1990;3;2;256;0;0;4;0;L150002;1930;1945;x
Chama Samphe;150003;TIB;1944;1946;1990;1990;3;3;16;1;0;4;0;L150003;1944;1960;x
Gyato Wangdu;150004;TIB;1942;1990;1990;1990;3;2;128;0;0;4;0;L150004;1942;1960;x
Jampal Rabgyé Rinpoche;150005;TIB;1930;1930;1939;1990;1;2;0;1;0;4;0;L150005;1930;1944;x
Kalsang Tsultrim;150006;TIB;1941;1990;1990;1990;3;2;32;0;0;4;0;L150006;1941;1960;x
Khemey Sonam Wangdi;150007;TIB;1930;1930;1944;1990;2;3;1;1;0;4;0;L150007;1930;1960;x
Lhalu Tsewang Dorje;150008;TIB;1945;1990;1990;1990;3;2;4;0;0;4;0;L150008;1945;1960;x
Ngapoi Ngawang Jigme;150009;TIB;1942;1944;1946;1990;2;3;2;2;0;4;0;L150009;1942;1960;x
Sampo Tsewang Rigzin;150010;TIB;1944;1990;1990;1990;3;2;16;0;0;4;0;L150010;1944;1960;x
Tenpa Jamyang;150011;TIB;1930;1930;1930;1990;1;4;576;1;0;4;0;L150011;1930;1945;x
Wangchuk Tharchin;150012;TIB;1930;1990;1990;1990;3;2;16;0;0;4;0;L150012;1930;1943;x
Chaghoe Namgyal Dorje;150013;TIB;1930;1990;1990;1990;3;2;0;0;0;4;1;L150013;1930;1945;x
Chama Samphe;150014;TIB;1944;1946;1990;1990;2;2;0;1;0;4;1;L150014;1944;1960;x
Lhalu Tsewang Dorje;150015;TIB;1945;1990;1990;1990;3;2;0;0;0;4;1;L150015;1945;1960;x
Bapa Yeshe;150016;TIB;1943;1990;1990;1990;3;1;0;0;0;4;2;L150016;1943;1960;x
Gyato Wangdu;150017;TIB;1942;1990;1990;1990;3;2;0;0;0;4;2;L150017;1942;1960;x
Khemey Sonam Wangdi;150018;TIB;1930;1930;1990;1990;2;1;0;0;0;4;2;L150018;1930;1943;x
Sampo Tsewang Rigzin;150019;TIB;1944;1946;1990;1990;2;2;0;1;0;4;2;L150019;1944;1960;x
