Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Abelardo Schmitt;470000;URU;1944;1990;1990;1990;3;3;256;0;0;5;0;L470000;1944;1960;x
Amancias Rodriguez;470001;URU;1939;1941;1990;1990;2;3;2;1;0;5;0;L470001;1939;1945;x
Amato Masso;470002;URU;1930;1990;1990;1990;3;4;128;0;0;5;0;L470002;1930;1940;x
Baldomir Ferrari;470003;URU;1930;1930;1930;1930;0;3;0;1;0;5;0;L470003;1930;1943;x
Beñavides;470004;URU;1930;1990;1990;1990;3;3;128;0;0;5;0;L470004;1930;1939;x
Cacares;470005;URU;1940;1942;1945;1990;1;4;0;2;0;5;0;L470005;1940;1960;x
Daners Isasmendi;470006;URU;1944;1946;1990;1990;2;4;0;1;0;4;0;L470006;1944;1960;x
de Lara Rivas;470007;URU;1930;1990;1990;1990;3;3;64;0;0;5;0;L470007;1930;1941;x
Díaz Caminate;470008;URU;1943;1990;1990;1990;3;4;1;0;0;5;0;L470008;1943;1960;x
Eloi Mendoza;470009;URU;1930;1930;1990;1990;2;3;2;0;0;5;0;L470009;1930;1941;x
Escalona Vasquez;470010;URU;1939;1942;1990;1990;3;4;0;1;0;5;0;L470010;1939;1946;x
Franki Franque;470011;URU;1942;1990;1990;1990;3;3;16;0;0;5;0;L470011;1942;1960;x
Glockenberger;470012;URU;1942;1945;1990;1990;2;3;2;1;0;5;0;L470012;1942;1960;x
Heinz Azpurua;470013;URU;1940;1942;1943;1990;1;3;2;2;0;5;0;L470013;1940;1960;x
Lopez Camara;470014;URU;1930;1930;1990;1990;2;6;32;0;0;5;0;L470014;1930;1941;x
Macías Alonso;470015;URU;1930;1930;1990;1990;2;5;514;1;0;5;0;L470015;1930;1939;x
Moutisch;470016;URU;1945;1990;1990;1990;3;4;0;0;0;5;0;L470016;1945;1960;x
Ojeto Varela;470017;URU;1943;1947;1990;1990;3;3;1;1;0;5;0;L470017;1943;1960;x
Peres-Canizarés Saez;470018;URU;1945;1990;1990;1990;3;4;256;0;0;5;0;L470018;1945;1960;x
Piraguy Trellés;470019;URU;1930;1930;1990;1990;2;3;1;0;0;5;0;L470019;1930;1942;x
Quintero Salas;470020;URU;1943;1990;1990;1990;3;3;4;0;0;5;0;L470020;1943;1960;x
Ronso Rodriguez;470021;URU;1939;1990;1990;1990;3;4;0;0;0;5;0;L470021;1939;1942;x
Segundo Díaz;470022;URU;1942;1944;1990;1990;3;4;1;1;0;5;0;L470022;1942;1960;x
Vadora;470023;URU;1930;1990;1990;1990;3;5;513;1;0;3;0;L470023;1930;1940;x
Vio Valdéz;470024;URU;1939;1942;1990;1990;2;5;256;1;0;5;0;L470024;1939;1960;x
Buzeta Miranda;470025;URU;1944;1990;1990;1990;3;3;0;0;0;5;1;L470025;1944;1960;x
Coso da Roch;470026;URU;1941;1945;1990;1990;3;4;0;2;0;5;1;L470026;1941;1960;x
Jackson Urribé;470027;URU;1937;1940;1941;1990;1;5;0;2;0;5;1;L470027;1937;1946;x
Jansson Castañeta;470028;URU;1940;1945;1947;1990;2;4;0;2;0;5;1;L470028;1940;1960;x
Martín de la Flores;470029;URU;1945;1990;1990;1990;3;3;0;0;0;5;1;L470029;1945;1960;x
Neves Ochoa;470030;URU;1939;1990;1990;1990;3;4;1024;0;0;5;1;L470030;1939;1945;x
Quintio Reyes;470031;URU;1930;1930;1990;1990;2;5;4608;1;0;5;1;L470031;1930;1940;x
Santibanéz Carreras;470032;URU;1943;1946;1990;1990;3;4;0;1;0;5;1;L470032;1943;1960;x
Suaréz Villablanco;470033;URU;1941;1944;1990;1990;2;3;2048;1;0;5;1;L470033;1941;1960;x
Vio Valdéz;470034;URU;1939;1942;1990;1990;2;3;0;1;0;5;1;L470034;1939;1960;x
Abelardo Schmitt;470035;URU;1944;1990;1990;1990;3;3;0;0;0;5;2;L470035;1944;1960;x
Alvaréz Berisso;470036;URU;1930;1930;1938;1990;1;5;4096;1;0;5;2;L470036;1930;1943;x
de la Fuente del Quillar;470037;URU;1943;1946;1990;1990;3;4;0;1;0;5;2;L470037;1943;1960;x
Garcia Sanchéz;470038;URU;1944;1990;1990;1990;3;3;16384;0;0;5;2;L470038;1944;1960;x
Gomez Villaverde;470039;URU;1930;1990;1990;1990;3;3;32768;0;0;5;2;L470039;1930;1939;x
Martín de la Flores;470040;URU;1944;1946;1990;1990;2;4;131072;1;0;5;2;L470040;1944;1960;x
Ojeto Varela;470041;URU;1944;1990;1990;1990;3;4;16384;0;0;5;2;L470041;1944;1960;x
Peres-Canizarés Saez;470042;URU;1945;1990;1990;1990;3;3;0;0;0;5;2;L470042;1945;1960;x
Redondo Galván;470043;URU;1940;1943;1945;1990;2;4;0;2;0;5;2;L470043;1940;1960;x
Sanchez Elizondo;470044;URU;1930;1990;1990;1990;3;4;4096;0;0;5;2;L470044;1930;1938;x
Zuluega Diáz;470045;URU;1930;1990;1990;1990;3;4;0;0;0;5;2;L470045;1930;1941;x
