Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Arnaud;380000;VIC;1939;1942;1990;1990;2;4;2;2;0;4;0;L380000;1939;1944;x
Audet;380001;VIC;1930;1938;1943;1990;2;5;1;3;0;4;0;L380001;1930;1960;x
Barrau;380002;VIC;1943;1990;1990;1990;3;4;0;1;0;4;0;L380002;1943;1946;x
Barthélémy;380003;VIC;1942;1990;1990;1990;3;4;1;1;0;3;0;L380003;1942;1970;x
Bridoux;380004;VIC;1930;1930;1990;1990;2;4;0;1;0;5;0;L380004;1930;1960;x
Brocard;380005;VIC;1939;1990;1990;1990;3;5;128;1;0;5;0;L380005;1939;1943;x
Carlès;380006;VIC;1930;1938;1990;1990;2;4;1;2;0;4;0;L380006;1930;1943;x
Colson;380008;VIC;1930;1930;1930;1990;1;6;2;1;0;2;0;L380008;1930;1960;x
de Boissieu de Lugne;380009;VIC;1939;1990;1990;1990;3;5;4;1;0;5;0;L380009;1939;1960;x
de Cyvoct;380010;VIC;1939;1941;1990;1990;2;4;514;2;0;4;0;L380010;1939;1943;x
de Griffolet de Laurimont;380011;VIC;1943;1990;1990;1990;3;4;256;1;0;3;0;L380011;1943;1945;x
Debeney;380012;VIC;1937;1942;1990;1990;2;6;514;2;0;3;0;L380012;1937;1960;x
Dentz;380013;VIC;1930;1930;1938;1990;1;4;256;3;0;3;0;L380013;1930;1945;x
Desmazes;380014;VIC;1930;1939;1990;1990;2;4;0;2;0;4;0;L380014;1930;1960;x
de Verdillac;380015;VIC;1930;1938;1941;1990;1;6;1;3;0;5;0;L380015;1930;1960;x
Doumenc;380016;VIC;1930;1930;1930;1990;1;4;514;1;0;4;0;L380016;1930;1948;x
Dubuisson;380017;VIC;1930;1930;1939;1990;1;4;0;2;0;3;0;L380017;1930;1960;x
Falvy;380019;VIC;1938;1939;1990;1990;2;4;1;2;0;4;0;L380019;1938;1960;x
Finot;380020;VIC;1941;1943;1990;1990;2;4;1;2;0;4;0;L380020;1941;1960;x
Francois;380021;VIC;1937;1990;1990;1990;3;5;257;1;0;4;0;L380021;1937;1960;x
Huntziger;380022;VIC;1930;1930;1930;1990;1;8;3;2;0;2;0;L380022;1930;1960;x
Hupel;380023;VIC;1942;1990;1990;1990;3;4;0;1;0;4;0;L380023;1942;1960;x
Keime;380024;VIC;1939;1990;1990;1990;3;4;1;1;0;4;0;L380024;1939;1960;x
Laure;380025;VIC;1930;1930;1938;1990;1;5;2;2;0;5;0;L380025;1930;1946;x
Lemonnier;380026;VIC;1937;1943;1990;1990;2;5;1;2;0;4;0;L380026;1937;1945;x
Mer;380027;VIC;1938;1941;1990;1990;2;4;0;2;0;5;0;L380027;1938;1949;x
Nogues;380028;VIC;1930;1930;1930;1990;1;5;514;1;0;4;0;L380028;1930;1960;x
Pétain;380029;VIC;1930;1930;1930;1930;0;6;514;1;0;5;0;L380029;1930;1960;x
Puaud;380030;VIC;1942;1990;1990;1990;3;6;3;1;0;5;0;L380030;1942;1945;x
Sabattier;380031;VIC;1942;1944;1990;1990;3;5;1;2;0;4;0;L380031;1942;1960;x
Weygand;380032;VIC;1930;1930;1930;1990;1;7;514;1;0;5;0;L380032;1930;1942;x
Abrial;380033;VIC;1930;1939;1940;1990;2;5;4096;2;0;5;1;L380033;1930;1960;x
Darlan;380034;VIC;1930;1930;1930;1941;1;7;4096;3;0;5;1;L380034;1930;1942;x
Decoux;380035;VIC;1930;1939;1990;1990;2;6;1536;2;0;4;1;L380035;1930;1960;x
de Geffrier;380036;VIC;1941;1990;1990;1990;3;4;0;1;0;5;1;L380036;1941;1960;x
de Laborde;380037;VIC;1930;1930;1938;1990;1;4;0;2;0;5;1;L380037;1938;1960;x
Escudier;380038;VIC;1938;1990;1990;1990;3;4;0;1;0;5;1;L380038;1938;1943;x
Esteva;380039;VIC;1930;1930;1940;1990;1;5;1024;2;0;4;1;L380039;1930;1960;x
Gensoul;380040;VIC;1930;1937;1940;1990;2;7;8192;3;0;5;1;L380040;1930;1942;x
Godfroy;380041;VIC;1930;1940;1990;1990;2;4;8704;2;0;5;1;L380041;1930;1943;x
Ibbert;380042;VIC;1942;1944;1990;1990;2;4;0;2;0;5;1;L380042;1942;1960;x
Luc;380043;VIC;1930;1939;1990;1990;2;4;0;2;0;5;1;L380043;1930;1960;x
Baltus;380044;VIC;1937;1990;1990;1990;3;4;0;1;0;5;2;L380044;1937;1960;x
Bergeret;380045;VIC;1938;1941;1990;1990;2;5;0;2;0;5;2;L380045;1938;1960;x
Bouscat;380046;VIC;1938;1942;1990;1990;2;5;16384;2;0;5;2;L380046;1938;1960;x
Clostermann;380047;VIC;1943;1990;1990;1990;3;4;4096;1;0;5;2;L380047;1943;1960;x
d'Arnaud de Vitrolles;380048;VIC;1930;1939;1990;1990;2;6;0;2;0;5;2;L380048;1930;1960;x
de Goys de Mezeyrac;380049;VIC;1942;1990;1990;1990;3;4;0;1;0;5;2;L380049;1942;1960;x
Garde;380050;VIC;1942;1990;1990;1990;3;4;0;1;0;5;2;L380050;1942;1960;x
Jannekeyn;380051;VIC;1930;1939;1942;1990;1;5;0;3;0;5;2;L380051;1930;1960;x
Jauneaud;380052;VIC;1930;1939;1940;1990;2;5;4096;3;0;5;2;L380052;1936;1941;x
Paskewicz;380053;VIC;1942;1990;1990;1990;3;4;0;1;0;5;2;L380053;1942;1960;x
Pinsard;380054;VIC;1930;1930;1990;1990;2;6;4608;1;0;5;2;L380054;1930;1960;x
Rousselot de Saint-Ceran;380055;VIC;1938;1942;1990;1990;2;4;0;2;0;5;2;L380055;1938;1960;x
Royer de Marancour;380056;VIC;1941;1990;1990;1990;3;4;0;1;0;5;2;L380056;1941;1960;x
