Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Belovsky;501000;CYN;1930;1990;1990;1990;3;2;0;0;0;5;0;L501000;1930;1960;x
Golpurchin;501001;CYN;1930;1930;1930;1990;1;2;0;1;0;5;0;L501001;1930;1960;x
Krustin;501002;CYN;1930;1990;1990;1990;3;2;128;0;0;5;0;L501002;1930;1960;x
Kurukikov;501003;CYN;1930;1990;1990;1990;3;2;8;0;0;5;0;L501003;1930;1960;x
Liu Wen-hui;501004;CYN;1930;1938;1990;1990;2;3;2;1;0;2;0;L50218;1930;1960;x
Lu Han;501005;CYN;1930;1930;1990;1990;2;2;2;0;0;3;0;L50228;1930;1943;x
Long Yun;501006;CYN;1930;1930;1930;1990;1;3;16;1;0;2;0;L50232;1930;1960;x
Mozh-Rüttel;501007;CYN;1930;1990;1990;1990;3;2;4;0;0;5;0;L501007;1930;1960;x
Putelkin;501008;CYN;1930;1930;1990;1990;2;2;256;0;0;5;0;L501008;1930;1960;x
Shaposchirtin;501009;CYN;1930;1930;1990;1990;2;2;1;0;0;5;0;L501009;1930;1960;x
von Hesselkammer;501010;CYN;1930;1930;1990;1990;2;3;2;0;0;5;0;L501010;1930;1960;x
Kurukikov;501011;CYN;1930;1990;1990;1990;3;1;0;0;0;5;1;L501003;1930;1960;x
Long Yun;501012;CYN;1930;1930;1930;1990;1;1;0;0;0;2;1;L50232;1930;1960;x
Putelkin;501013;CYN;1930;1930;1990;1990;2;2;0;0;0;5;1;L501008;1930;1960;x
Bozenkov;501014;CYN;1930;1990;1990;1990;2;2;4096;0;0;5;2;L501014;1930;1960;x
Krelnikov;501015;CYN;1930;1990;1990;1990;3;2;0;0;0;5;2;L501015;1930;1960;x
Lu Han;501016;CYN;1930;1930;1990;1990;2;1;0;0;0;3;2;L50228;1930;1943;x
Zhaprosenkov;501017;CYN;1930;1990;1990;1990;3;2;0;0;0;5;2;L501017;1930;1960;x
Eberhard;501018;CYN;1930;1930;1990;1990;2;4;518;1;0;5;0;L501018;1930;1945;x
Kattner;501019;CYN;1930;1930;1990;1990;2;1;2;1;0;5;0;L501019;1945;1960;x
