U94;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
900400;Head of State;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900401;Head of Government;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900402;Foreign Minister;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900403;Minister of Armament;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900404;Minister of Security;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900405;Head of Military Intelligence;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900406;Chief of Staff;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900407;Chief of Army;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900408;Chief of Navy;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900409;Chief of Air Force;Blue Shadow;36;ML;Undistinguished Suit;Very High;unknown;x
900410;Head of State;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900411;Head of Government;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900412;Foreign Minister;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900413;Minister of Armament;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900414;Minister of Security;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900415;Head of Military Intelligence;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900416;Chief of Staff;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900417;Chief of Army;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900418;Chief of Navy;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900419;Chief of Air Force;Black Shadow;36;FA;Undistinguished Suit;Very High;unknown;x
900420;Head of State;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900421;Head of Government;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900422;Foreign Minister;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900423;Minister of Armament;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900424;Minister of Security;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900425;Head of Military Intelligence;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900426;Chief of Staff;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900427;Chief of Army;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900428;Chief of Navy;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
900429;Chief of Air Force;Red Shadow;36;LE;Undistinguished Suit;Very High;unknown;x
