AFG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
54001;Head of State;Muhammed Zahir;36;FA;Autocratic Charmer;Very High;M54001;x
54002;Head of Government;Muhammed Hashim;36;FA;Happy Amateur;High;M54002;x
54003;Foreign Minister;Haji Faiz Muhammed Zikeria;36;FA;Ideological Crusader;High;M54003;x
54004;Minister of Armament;Abdul Majid Zabuli;36;FA;Laissez-Faire Capitalist;High;M54004;x
54005;Minister of Security;Muhammed Hashim;36;FA;Crooked Kleptocrat;Medium;M54002;x
54006;Head of Military Intelligence;Shah Mahmud Ghazi;36;FA;Dismal Enigma;Medium;M54006;x
54007;Chief of Staff;Mohammed Daoud;36;FA;School of Psychology;High;M54007;x
54008;Chief of Army;Mohammed Daoud;36;FA;Elastic Defence Doctrine;Medium;M54007;x
54009;Chief of Navy;Muhammed Zahir;36;FA;Indirect Approach Doctrine;Medium;M54009;x
54010;Chief of Air Force;Mohammed Daoud;36;FA;Army Aviation Doctrine;Medium;M54007;x
54021;Head of State;Muhammed Zahir;39;SC;Benevolent Gentleman;High;M54001;x
54022;Head of State;Muhammed Zahir;46;PA;Autocratic Charmer;Very High;M54001;x
54023;Head of Government;Muhammed Hashim;39;SC;Happy Amateur;High;M54002;x
54024;Head of Government;Shah Mahmud Ghazi;46;PA;Old General;High;M54006;x
54025;Foreign Minister;Abdul Hadi Dawai;37;FA;Apologetic Clerk;High;M54013;x
54026;Foreign Minister;Amanullah;36;FA;Ideological Crusader;Low;M54011;x
54027;Foreign Minister;Mohammed Daoud;39;SC;Great Compromiser;Medium;M54007;x
54028;Foreign Minister;Wazir Akbar Khan;42;SC;General Staffer;Medium;M54018;x
54029;Foreign Minister;Ali Muhammed Khan;39;SC;Biased Intellectual;Medium;M54020;x
54030;Foreign Minister;Mohammed Etemadi Khan;44;SC;The Cloak N Dagger Schemer;Medium;M54016;x
54031;Foreign Minister;Asadullah Seraj Khan;45;PA;Iron Fisted Brute;High;M54031;x
54032;Minister of Armament;Mohammed Daoud;37;FA;Air to Ground Proponent;Medium;M54007;x
54033;Minister of Armament;Italo Sergente;38;FA;Tank Proponent;Low;M54033;x
54034;Minister of Armament;Bortolo Berlotti;39;FA;Administrative Genius;Low;M54034;x
54035;Minister of Armament;Asadullah Seraj Khan;39;SC;Infantry Proponent;Medium;M54031;x
54036;Minister of Armament;Haji Faiz Muhammed Zikeria;40;SC;laissez-faire capitalist;High;M54003;x
54037;Minister of Armament;Nasirullah Husain;40;SC;Battle Fleet Proponent;Medium;M54019;x
54038;Minister of Armament;Feruccio Serafini;40;SC;Air Superiority Proponent;Medium;M54038;x
54039;Minister of Armament;Amanullah;36;SC;Corrupt Kleptocrat;Low;M54011;x
54040;Minister of Armament;Massimo Pilotti;41;SC;Theoretical Scientist;Medium;M54040;x
54041;Minister of Armament;Pompeo Aloisi;43;SC;Military Entrepreneur;Medium;M54041;x
54042;Minister of Armament;Shah Wali Khan;44;SC;Strategic Air Proponent;Medium;M54042;x
54043;Minister of Armament;Mohammed Etemadi Khan;45;PA;Submarine Proponent;Medium;M54016;x
54044;Minister of Armament;Muhammed Nowroz;46;PA;Resource Industrialist;High;M54044;x
54045;Minister of Armament;Ali Muhammed Khan;47;PA;Air to Sea Proponent;Medium;M54020;x
54046;Minister of Security;Carlo Garbasso;38;FA;Prince of Terror;High;M54046;x
54047;Minister of Security;Ghulam Faruq Usman;39;FA;Crime Fighter;High;M54047;x
54048;Minister of Security;Ali Muhammed Khan;39;SC;Efficient Sociopath;Medium;M54020;x
54049;Minister of Security;Muhammed Zahir;41;SC;Man of the People;Medium;M54009;x
54050;Minister of Security;Ricci A. Busatti;43;SC;Silent Lawyer;High;M54050;x
54051;Minister of Security;Abdul Majid Zabuli;45;PA;Crooked Kleptocrat;High;M54004;x
54052;Minister of Security;Muhammed Ghobar;46;PA;Back Stabber;Medium;M54015;x
54053;Minister of Security;Asadullah Seraj Khan;47;PA;Compassionate Gentleman;High;M54031;x
54054;Head of Military Intelligence;Pietro Stoppani;37;FA;Industrial Specialist;Medium;M54054;x
54055;Head of Military Intelligence;Carlo Schanzer;38;FA;Technical Specialist;Medium;M54055;x
54056;Head of Military Intelligence;Carlo Enrico Barduzzi;39;SC;Political Specialist;Medium;M54056;x
54057;Head of Military Intelligence;Ali Muhammed Khan;40;SC;Naval Intelligence Specialist;Medium;M54020;x
54058;Head of Military Intelligence;Abdul Majid Zabuli;43;SC;Dismal Enigma;High;M54004;x
54059;Head of Military Intelligence;Mohammed Etemadi Khan;45;PA;Logistics Specialist;Medium;M54016;x
54060;Chief of Staff;Shah Mahmud Ghazi;36;FA;School of Psychology;Medium;M54006;x
54061;Chief of Staff;Wazir Akbar Khan;39;SC;School of Defence;Medium;M54018;x
54062;Chief of Staff;Nasirullah Husain;43;SC;School of Fire Support;Medium;M54019;x
54063;Chief of Staff;Gholam Wali;44;SC;School of Manoeuvre;Medium;M54063;x
54065;Chief of Army;Renato Bardolucci;37;FA;Armoured Spearhead Doctrine;Medium;M54065;x
54066;Chief of Army;Asadullah Seraj Khan;39;SC;Elastic Defence Doctrine;Medium;M54031;x
54067;Chief of Army;Wazir Akbar Khan;42;SC;Static Defence Doctrine;Medium;M54018;x
54068;Chief of Army;Gholam Wali;43;SC;Guns and Butter Doctrine;Medium;M54063;x
54069;Chief of Army;Nasirullah Husain;45;PA;Decisive Battle Doctrine;Medium;M54019;x
54070;Chief of Navy;Muhammed Hashim;39;SC;Base Control Doctrine;Medium;M54002;x
54071;Chief of Navy;Mohammed Etemadi Khan;43;SC;Indirect Approach Doctrine;Medium;M54016;x
54072;Chief of Navy;Ali Muhammed Khan;44;SC;Power Projection Doctrine;Medium;M54020;x
54073;Chief of Navy;Nasirullah Husain;45;PA;Decisive Naval Battle Doctrine;Medium;M54019;x
54074;Chief of Navy;Shah Wali Khan;46;PA;Open Seas Doctrine;Medium;M54042;x
54075;Chief of Air Force;Gholam Wali;37;FA;Vertical Envelopment Doctrine;Medium;M54063;x
54076;Chief of Air Force;Shah Wali Khan;38;FA;Carpet Bombing Doctrine;Medium;M54042;x
54077;Chief of Air Force;Feruccio Serafini;39;FA;Air Superiority Doctrine;Medium;M54038;x
54078;Chief of Air Force;Muhammed Zahir;39;SC;Army Aviation Doctrine;Medium;M54009;x
54079;Chief of Air Force;Ali Muhammed Khan;45;PA;Naval Aviation Doctrine;Medium;M54020;x
54011;Head of State;Amanullah;36;PA;Resigned Generalissimo;High;M54011;x
54012;Head of Government;Muhammed Ghobar;36;PA;Backroom Backstabber;High;M54012;x
54014;Minister of Armament;Abdul Hadi Dawai;36;PA;Laissez-Faire Capitalist;Medium;M54014;x
54080;Foreign Minister;Mohammed Maiwandwal;51;PA;Ideological Crusader;Medium;M54080;x
