ALG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
530001;Head of State;Georges Le Beau;36;SL;Benevolent Gentleman;High;M530001;x
530002;Head of Government;Georges Le Beau;36;SL;Flamboyant Tough Guy;High;M530001;x
530003;Foreign Minister;Jules de Koenigswarter;36;SL;Ideological Crusader;High;M530003;x
530004;Minister of Armament;Antoine Masurel;36;SL;Tank Proponent;Medium;M530004;x
530005;Minister of Security;Marcel Peyrouton;36;SL;Back Stabber;Medium;M530005;x
530006;Head of Military Intelligence;Jean Revault d'Allonnes;36;SL;Industrial Specialist;Medium;M530006;x
530007;Chief of Staff;Alfred Heurtaux;36;SL;School of Fire Support;Medium;M530007;x
530008;Chief of Army;Pierre de Chevigné;36;SL;Decisive Battle Doctrine;Medium;M530008;x
530009;Chief of Navy;Henri Manhés;36;SL;Indirect Approach Doctrine;Medium;M530009;x
530010;Chief of Air Force;Francois Sommer;36;SL;Air Superiority Doctrine;Medium;M530010;x
530011;Head of State;Jean Abrial;40;SL;Stern Imperialist;High;L24146;x
530012;Head of State;Maxime Weygand;41;SL;Resigned Generalissimo;High;L24145;x
530013;Head of State;Marcel Peyrouton;43;SL;Barking Buffoon;High;M530005;x
530014;Head of State;Georges Catroux;43;SL;Pig-headed Isolationist;High;L24029;x
530015;Head of State;Yves Chataigneau;44;SL;Die-hard Reformer;High;M528020;x
530016;Head of State;Ferhat Abbas;36;LWR;Autocratic Charmer;High;M530016;x
530017;Head of Government;Jean Abrial;40;SL;Old Admiral;High;L24146;x
530018;Head of Government;Maxime Weygand;41;SL;Happy Amateur;High;L24145;x
530019;Head of Government;Marcel Peyrouton;43;SL;Corporate Suit;High;M530005;x
530020;Head of Government;Georges Catroux;43;SL;Old General;High;L24029;x
530021;Head of Government;Yves Chataigneau;44;SL;Corporate Suit;High;M528020;x
530022;Head of Government;Ferhat Abbas;36;LWR;Smiling Oilman;High;M530016;x
530023;Foreign Minister;Pierre-Henri Teitgen;42;SL;The Cloak N Dagger Schemer;High;M530023;x
530024;Foreign Minister;Saadi M'Barka;36;LWR;Biased Intellectual;High;M530024;x
530025;Foreign Minister;Yussef ben-Khedda;41;LWR;Great Compromiser;High;M530025;x
530026;Minister of Armament;Eugene Dechelette;41;SL;Air Superiority Proponent;Medium;M530026;x
530027;Minister of Armament;Frantz Fanon;36;LWR;Military Entrepreneur;Medium;M530027;x
530028;Minister of Armament;Ahmed ben-Bella;45;LWR;Administrative Genius;Medium;M530028;x
530029;Minister of Security;Andre Jean Godin;42;SL;Compassionate Gentleman;Medium;M530029;x
530030;Minister of Security;Yussef ben-Khedda;36;LWR;Back Stabber;Medium;M530025;x
530031;Minister of Security;Djamil Chirine;41;LWR;Man of the People;Medium;M530031;x
530032;Head of Military Intelligence;Pierre Julitte;41;SL;Logistics Specialist;Medium;M530032;x
530033;Head of Military Intelligence;Djamil Chirine;36;LWR;Industrial Specialist;Medium;M530031;x
530034;Head of Military Intelligence;Saadi M'Barka;41;LWR;Naval Intelligence Specialist;Medium;M530024;x
530035;Chief of Staff;Jacques Bourdis;44;SL;School of Manoeuvre;Medium;M530035;x
530036;Chief of Staff;Mustapha al-Ghani;36;LWR;School of Psychology;Medium;M530036;x
530037;Chief of Staff;Houari Boumedienne;44;LWR;School of Mass Combat;Medium;M530037;x
530038;Chief of Army;Paul Oddo;43;SL;Armoured Spearhead Doctrine;Medium;M530038;x
530039;Chief of Army;Mustapha al-Ghani;36;LWR;Elastic Defence Doctrine;Medium;M530036;x
530040;Chief of Army;Houari Boumedienne;44;LWR;Guns and Butter Doctrine;Medium;M530037;x
530041;Chief of Navy;Pierre de Chevigné;43;SL;Base Control Doctrine;Medium;M530008;x
530042;Chief of Navy;Kheireddine Dadci;36;LWR;Open Seas Doctrine;Medium;M530042;x
530043;Chief of Air Force;Alfred Heurtaux;39;SL;Army Aviation Doctrine;Medium;M530007;x
530044;Chief of Air Force;Frantz Fanon;36;LWR;Air Superiority Doctrine;Medium;M530027;x
530045;Chief of Air Force;Bachra Baya;44;LWR;Vertical Envelopment Doctrine;Medium;M530045;x
