ANG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
568001;Head of State;Antonio Lopes Mateus;36;PA;Insignificant Layman;High;M568001;x
568002;Head of Government;Manoel Costa Marques Mano;36;PA;Flamboyant Tough Guy;High;M568002;x
568003;Foreign Minister;Alvaro de Freitas Morna;36;PA;General Staffer;High;M568003;x
568004;Minister of Armament;Vasco Lopes Alves;36;PA;Tank Proponent;Medium;M568004;x
568005;Minister of Security;Paulo Cordeiro;36;PA;Man of the People;Medium;M568005;x
568006;Head of Military Intelligence;Fernando Ferreira Mello;36;PA;Dismal Enigma;Medium;M568006;x
568007;Chief of Staff;João Macedo é Brito;36;PA;School of Psychology;Medium;M568007;x
568008;Chief of Army;Francesco Perreira de Eca;36;PA;Static Defence Doctrine;Medium;M568008;x
568009;Chief of Navy;Mousinho de Albuquerque;36;PA;Indirect Approach Doctrine;Medium;M568009;x
568010;Chief of Air Force;Rogerio Fangueiro;36;PA;Army Aviation Doctrine;Medium;M568010;x
568011;Head of State;Eugenio Daõ Schneider;36;ML;Pig-headed Isolationist;High;M568011;x
568012;Head of State;Vasco Lopes Alves;36;LWR;Resigned Generalissimo;High;M568004;x
568013;Head of Government;Victor Buhr;36;ML;Happy Amateur;High;M568013;x
568014;Head of Government;Paulo Tjipilica;36;LWR;Political Protege;High;M568014;x
568015;Foreign Minister;Waldemar Bornhausen;36;ML;Ideological Crusader;High;M568015;x
568016;Foreign Minister;Manuel Gracioa Tuluma;36;LWR;The Cloak N Dagger Schemer;High;M568016;x
568017;Minister of Armament;Fernando Cunha e Costa;36;ML;Military Entrepreneur;Medium;M568017;x
568018;Minister of Armament;Joaquim Duarte David Costa;36;LWR;Resource Industrialist;Medium;M568018;x
568019;Minister of Security;Manuel Gomes da Costa;36;ML;Crooked Kleptocrat;Medium;M568019;x
568020;Minister of Security;Wenceslau Borini;43;ML;Silent Lawyer;Medium;M568020;x
568021;Minister of Security;Euclides da Costa Bravo;36;LWR;Compassionate Gentleman;Medium;M568021;x
568022;Head of Military Intelligence;Horacio Silva e Silva;36;ML;Industrial Specialist;Medium;M568022;x
568023;Head of Military Intelligence;Pedro de Paula Pinheido;36;LWR;Logistics Specialist;Medium;M568023;x
568024;Chief of Staff;Vasco Lopes Alves;43;PA;School of Manoeuvre;Medium;M568004;x
568025;Chief of Staff;Joaquim Placido Durate;36;ML;School of Defence;Medium;M568025;x
568026;Chief of Staff;Julio Goncalves de Campos;36;LWR;School of Mass Combat;Medium;M568026;x
568027;Chief of Army;Julio de Morais Sarmento;41;PA;Elastic Defence Doctrine;Medium;M568027;x
568028;Chief of Army;Francisco d'Aluz Ribeiro;36;ML;Guns and Butter Doctrine;Medium;M568028;x
568029;Chief of Army;Alvaro de Freitas Morna;36;LWR;Decisive Battle Doctrine;Medium;M568003;x
568030;Chief of Navy;Francisco da Costa Andrade;36;ML;Decisive Naval Battle Doctrine;High;M568030;x
568031;Chief of Navy;Paulo Tjipilica;36;LWR;Base Control Doctrine;High;M568014;x
568032;Chief of Air Force;Joao Luís Carvalho;36;ML;Air Superiority Doctrine;Medium;M568032;x
568033;Chief of Air Force;Manuel Gracioa Tuluma;36;LWR;Carpet Bombing Doctrine;Medium;M568016;x
