ARA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
558001;Head of State;Faruq I;36;SC;Insignificant Layman;High;M512011;x
558002;Head of Government;Mustafa an-Nahhas Pasha;36;SC;Flamboyant Tough Guy;High;M512005;x
558003;Foreign Minister;Ali Mahir Pasha;36;SC;Great Compromiser;High;M512002;x
558004;Minister of Armament;Muhammad Mahmoud Pasha;36;SC;Resource Industrialist;High;M512017;x
558005;Minister of Security;Romarcos Hanna Pasha;36;SC;Crime Fighter;Medium;M512064;x
558006;Head of Military Intelligence;Mohammed Hilmi Issa;36;SC;Dismal Enigma;Medium;M512006;x
558007;Chief of Staff;Hassan Sabry Pasha;36;SC;School of Defence;Medium;M512007;x
558008;Chief of Army;Mohammed Naguib;36;SC;Decisive Battle Doctrine;High;M512088;x
558009;Chief of Navy;Abdallah Ziwar Pasha;36;SC;Indirect Approach Doctrine;Medium;M512009;x
558010;Chief of Air Force;Abdelhamid Soliman;36;SC;Air Superiority Doctrine;Medium;M512048;x
558011;Head of State;Emile Eddeh;36;PA;Pig-headed Isolationist;High;M529001;x
558012;Head of State;H.M. Abdullah I;36;SD;Autocratic Charmer;High;M556001;x
558013;Head of State;Muhammed Bey al-Abid;36;LE;Stern Imperialist;High;M528001;x
558014;Head of Government;Kayreddin al-Ahdab;36;PA;Naive Optimist;High;M529006;x
558015;Head of Government;Ismael Bey Gaspirali;36;SD;Silent Workhorse;High;M556013;x
558016;Head of Government;Shukri al-Kuwaitli;36;LE;Backroom Backstabber;High;M528015;x
558017;Foreign Minister;Abdallah Aref al-Yafi;36;PA;General Staffer;High;M529003;x
558018;Foreign Minister;Samir al-Rifai;36;SD;Apologetic Clerk;High;M556003;x
558019;Foreign Minister;Faris al-Khouri;36;LE;The Cloak N Dagger Schemer;High;M528004;x
558020;Minister of Armament;Kayreddin al-Ahdab;36;PA;laissez-faire capitalist;Medium;M529006;x
558021;Minister of Armament;Ahmad Qadri;36;SD;Military Entrepreneur;Medium;M556017;x
558022;Minister of Armament;Shaykh Abd al-Alim Selim;36;LE;Administrative Genius;Medium;M528030;x
558023;Minister of Security;Nassim Majdalany;36;PA;Compassionate Gentleman;Medium;M529039;x
558024;Minister of Security;Awni Abdul Hadi;36;SD;Silent Lawyer;Medium;M556020;x
558025;Minister of Security;Faris al-Khouri;36;LE;Man of the People;Medium;M528004;x
558026;Head of Military Intelligence;Kayreddin al-Ahdab;36;PA;Technical Specialist;Medium;M529006;x
558027;Head of Military Intelligence;Rustum Haidar;36;SD;Political Specialist;Medium;M556025;x
558028;Head of Military Intelligence;Shaykh Muhammed al-Gawzi;36;LE;Industrial Specialist;Medium;M528024;x
558029;Chief of Staff;Antoine Harb;36;PA;School of Mass Combat;Medium;M529052;x
558030;Chief of Staff;Haddad al-Wali;36;SD;School of Psychology;Medium;M556028;x
558031;Chief of Staff;Shaykh Muhammed al-Gawzi;36;LE;School of Fire Support;Medium;M528024;x
558032;Chief of Army;Jamil Lahoud;36;PA;Armoured Spearhead Doctrine;Medium;M529055;x
558033;Chief of Army;Nair al-Jafaar;36;SD;Guns and Butter Doctrine;Medium;M556031;x
558034;Chief of Army;Adib al-Shishakli;36;LE;Elastic Defence Doctrine;Medium;M528051;x
558035;Chief of Navy;Nabil Jad;36;PA;Open Seas Doctrine;Medium;M529059;x
558036;Chief of Navy;Hibah abd-el Adir;36;SD;Decisive Naval Battle Doctrine;Medium;M556034;x
558037;Chief of Navy;Shaykh Muhammed al-Gawzi;36;LE;Base Control Doctrine;Medium;M528024;x
558038;Chief of Air Force;Slimane Naoufai;36;PA;Army Aviation Doctrine;Medium;M529045;x
558039;Chief of Air Force;Sami al-Afiz;36;SD;Vertical Envelopment Doctrine;Medium;M556035;x
558040;Chief of Air Force;Hussein al-Zaim;36;LE;Carpet Bombing Doctrine;Medium;M528047;x
