ARG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
35001;Head of State;Agustín P. Justo;36;PA;Resigned Generalissimo;High;M35001;x
35002;Head of Government;Agustín P. Justo;36;PA;Old General;High;M35001;x
35003;Foreign Minister;Carlos Saavedra Lamas;36;PA;The Cloak N Dagger Schemer;High;M35003;x
35004;Minister of Armament;Alberto Hueyo;36;PA;laissez-faire capitalist;High;M35004;x
35005;Minister of Security;Ramon Castillo;36;PA;Prince of Terror;Medium;M35005;x
35006;Head of Military Intelligence;Jorge de la Torre;36;PA;Industrial Specialist;Medium;M35006;x
35007;Chief of Staff;Manuel A. Rodriguez;36;PA;School of Defence;Very High;M35007;x
35008;Chief of Army;Manuel A. Rodriguez;36;PA;Decisive Battle Doctrine;Very High;M35007;x
35009;Chief of Navy;Pedro S. Casal;36;PA;Base Control Doctrine;Medium;M35009;x
35010;Chief of Air Force;Antonio Parodi;36;PA;Air Superiority Doctrine;Very High;M35010;x
35031;Head of State;Agustín P. Justo;36;SC;Resigned Generalissimo;High;M35001;x
35032;Head of State;Luis Podesta Costa;38;SC;Benevolent Gentleman;High;M35014;x
35033;Head of State;Ramon Castillo;42;PA;Stern Imperialist;High;M35005;x
35034;Head of State;Manuel Maria de Iriondo;46;SC;Insignificant Layman;High;M35034;x
35035;Head of State;Marcelo T. Alvear;36;SL;Die-hard Reformer;High;M35035;x
35036;Head of State;Robustiano Patrón Costas;42;SL;Popular Figurehead;High;M35036;x
35037;Head of State;Baldassare Baldí Jímenez;36;SD;Weary Stiffneck;High;M35037;x
35038;Head of State;Gustavo Mendoza Curtín;40;SD;Popular Figurehead;High;M35038;x
35039;Head of State;Roberto M. Ortiz;36;PA;Pig-headed Isolationist;High;M35039;x
35040;Head of State;Julio A. Roca;40;SC;Autocratic Charmer;High;M35040;x
35041;Head of State;Edelmiro Farrell;44;SC;Resigned Generalissimo;High;M35041;x
35042;Head of State;Cesar Armeghino;44;PA;Autocratic Charmer;High;M35042;x
35043;Head of State;Carlos Alberto Pueyrredon;36;FA;Ruthless Powermonger;High;M35011;x
35044;Head of State;Juan Domingo Peron;45;LWR;Autocratic Charmer;High;M35021;x
35045;Head of Government;Agustín P. Justo;36;SC;Old General;High;M35001;x
35046;Head of Government;Luis Podesta Costa;38;SC;Backroom Backstabber;High;M35014;x
35047;Head of Government;Ramon Castillo;40;PA;Old General;High;M35005;x
35048;Head of Government;Manuel Maria de Iriondo;46;SC;Silent Workhorse;High;M35034;x
35049;Head of Government;Marcelo T. Alvear;36;SL;Naive Optimist;High;M35035;x
35050;Head of Government;Robustiano Patrón Costas;42;SL;Smiling Oilman;High;M35036;x
35051;Head of Government;Baldassare Baldí Jímenez;36;SD;Political Protege;High;M35037;x
35052;Head of Government;Gustavo Mendoza Curtín;40;SD;Corporate Suit;High;M35038;x
35053;Head of Government;Roberto M. Ortiz;36;PA;Flamboyant Tough Guy;High;M35039;x
35054;Head of Government;Julio A. Roca;40;SC;Happy Amateur;High;M35040;x
35055;Head of Government;Pedro Pablo Ramirez;43;PA;Old General;High;M35055;x
35056;Head of Government;Cesar Armeghino;44;PA;Ambitious Union Boss;High;M35042;x
35057;Head of Government;Carlos Alberto Pueyrredon;36;FA;Flamboyant Tough Guy;High;M35011;x
35058;Head of Government;Juan Domingo Peron;45;LWR;Naive Optimist;High;M35021;x
35060;Foreign Minister;Alberto Hueyo;38;SC;Apologetic Clerk;High;M35004;x
35061;Foreign Minister;Alberto Gilbert;40;SC;Ideological Crusader;High;M35061;x
35062;Foreign Minister;Pedro Aramburu;44;SC;General Staffer;High;M35062;x
35063;Foreign Minister;Daniel Capo Rodriguez;46;SC;The Cloak N Dagger Schemer;Medium;M35063;x
35064;Foreign Minister;Horacio Hoya San Arte;36;SL;Ideological Crusader;Medium;M35064;x
35065;Foreign Minister;Manuel Ramon Alvarado;38;SL;Iron Fisted Brute;High;M35065;x
