AST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
56001;Head of State;Isaac Alfred Isaacs;36;SC;Stern Imperialist;High;M56001;x
56002;Head of Government;Joseph A. Lyons;36;SC;Flamboyant Tough Guy;High;M56002;x
56003;Foreign Minister;George F. Pearce;36;SC;Great Compromiser;High;M56003;x
56004;Minister of Armament;Robert A. Parkhill;36;SC;Resource Industrialist;Medium;M56004;x
56005;Minister of Security;Thomas Paterson;36;SC;Silent Lawyer;Medium;M56005;x
56006;Head of Military Intelligence;Alexander McLachlan;36;SC;Technical Specialist;High;M56006;x
56007;Chief of Staff;Joseph A. Lyons;36;SC;School of Manoeuvre;Very High;M56002;x
56008;Chief of Army;John Lavarack;36;SC;Static Defence Doctrine;Medium;M56008;x
56009;Chief of Navy;Ragnar M. Colvin;36;SC;Open Seas Doctrine;Medium;M56009;x
56010;Chief of Air Force;Richard Williams;36;SC;Air Superiority Doctrine;Medium;M56010;x
56031;Head of State;Alexander G. Arkwright;36;SC;Stern Imperialist;High;M56031;x
56032;Head of State;Henry Duke of Gloucester;45;SC;Autocratic Charmer;High;M56032;x
56035;Head of State;Paul Roseville;36;PA;Benevolent Gentleman;High;M56011;x
56036;Head of State;Lance Sharkey;36;LE;Barking Buffoon;High;M56021;x
56037;Head of Government;Robert G. Menzies;37;SC;Backroom Backstabber;High;M56037;x
56038;Head of Government;John J. Curtin;36;SD;Silent Workhorse;High;M56038;x
56039;Head of Government;Ben Chiffley;45;SD;Political Protege;High;M56039;x
56040;Head of Government;J.H.A. Durant;36;PA;Happy Amateur;High;M56012;x
56041;Head of Government;Lance Sharkey;36;ST;Ambitious Union Boss;High;M56021;x
56042;Foreign Minister;Palmer A. McBride;36;SC;Iron Fisted Brute;High;M56042;x
56043;Foreign Minister;Henry S. Gullett;37;SC;Great Compromiser;Medium;M56043;x
56044;Foreign Minister;William M. Hughes;37;SC;Biased Intellectual;Very High;M56044;x
56045;Foreign Minister;Robert G. Menzies;38;SC;Apologetic Clerk;Very High;M56037;x
56046;Foreign Minister;Frederick Stewart;39;SC;Ideological Crusader;High;M56046;x
56047;Foreign Minister;Thomas Paterson;41;SC;Biased Intellectual;Medium;M56005;x
56048;Foreign Minister;Earle Page;44;SC;Apologetic Clerk;Medium;M56048;x
56049;Foreign Minister;Vernon Sturdee;36;SD;General Staffer;Medium;M56049;x
56050;Foreign Minister;Herbert V. Evatt;41;SD;Biased Intellectual;High;M56050;x
56051;Foreign Minister;Peter Spearitt;36;PA;General Staffer;Low;M56013;x
56052;Foreign Minister;Francesco Piscitelli;40;PA;The Cloak N Dagger Schemer;High;M56052;x
56053;Foreign Minister;Hugh Moxon;36;ST;Ideological Crusader;High;M56023;x
56054;Foreign Minister;George Bateman;42;LE;Biased Intellectual;High;M56054;x
56055;Foreign Minister;John McAuley;44;ST;Great Compromiser;High;M56055;x
56056;Minister of Armament;Edward Davis Millen;36;ML;Resource Industrialist;High;M56056;x
56057;Minister of Armament;G.A. Street;37;SC;Administrative Genius;High;M56046;x
56058;Minister of Armament;Hattil S. Foll;40;SC;Administrative Genius;Medium;M56058;x
56059;Minister of Armament;W.D. Bostock;43;SC;Air to Sea Proponent;High;M56059;x
56060;Minister of Armament;Palmer A. McBride;50;SC;Infantry Proponent;High;M56042;x
56061;Minister of Armament;Norman J. Makin;37;SD;Military Entrepreneur;Medium;M56061;x
56062;Minister of Armament;Stanley Melbourne Bruce;38;SD;laissez-faire capitalist;High;M56062;x
56063;Minister of Armament;A.M.G. Jones;39;SD;Strategic Air Proponent;High;M56063;x
56064;Minister of Armament;Henry Showers;41;SD;Battle Fleet Proponent;Medium;M56064;x
56065;Minister of Armament;Horace William Strutt;43;SD;Infantry Proponent;Medium;M56065;x
56066;Minister of Armament;Sydney Rowell;43;SD;Tank Proponent;Medium;M56066;x
56067;Minister of Armament;Stanley J. Goble;44;SD;Air to Ground Proponent;Medium;M56067;x
56068;Minister of Armament;Guy C.C. Royle;44;SD;Submarine Proponent;Medium;M56068;x
56069;Minister of Armament;John Lavarack;44;SD;Military Entrepreneur;Medium;M56008;x
56070;Minister of Armament;Richard Williams;44;SD;Air Superiority Proponent;Medium;M56010;x
56071;Minister of Armament;Francesco Fantin;36;PA;Battle Fleet Proponent;Medium;M56014;x
56072;Minister of Armament;Frank Carmagnolo;39;PA;Strategic Air Proponent;Medium;M56072;x
56073;Minister of Armament;Paul Roseville;42;PA;Air Superiority Proponent;Very High;M56011;x
56074;Minister of Armament;Richard Overell;44;PA;Administrative Genius;Very High;M56074;x
56075;Minister of Armament;Jack Henry;36;LE;Military Entrepreneur;Medium;M56024;x
56076;Minister of Armament;Jim Henderson;39;ST;Infantry Proponent;Medium;M56076;x
56077;Minister of Armament;Tony McGillick;44;ST;Theoretical Scientist;High;M56077;x
56078;Minister of Security;Kenneth Eather;36;ML;Efficient Sociopath;High;M56078;x
56079;Minister of Security;Alexander McLachlan;37;SC;Crime Fighter;High;M56006;x
56080;Minister of Security;Earle Page;37;SC;Man of the People;Medium;M56048;x
56081;Minister of Security;Henry S. Gullett;39;SC;Prince of Terror;Medium;M56043;x
56082;Minister of Security;Hattil S. Foll;41;SC;Compassionate Gentleman;Medium;M56058;x
56083;Minister of Security;George F. Pearce;36;SC;Silent Lawyer;High;M56003;x
56084;Minister of Security;Robert A. Parkhill;44;SC;Compassionate Gentleman;Medium;M56004;x
56085;Minister of Security;Hubert P. Lazzarini;37;SD;Silent Lawyer;Medium;M56085;x
