AZB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
516001;Head of State;Nizham Narimanov;36;LWR;Stern Imperialist;High;M516001;x
516002;Head of Government;Faraz Guzeinov;36;LWR;Backroom Backstabber;High;M516002;x
516003;Foreign Minister;Suleyman Rustam;36;LWR;The Cloak N Dagger Schemer;High;M516003;x
516004;Minister of Armament;Ilyas Afandiev;36;LWR;Theoretical Scientist;Medium;M516004;x
516005;Minister of Security;Arash Bulbul;36;LWR;Compassionate Gentleman;Medium;M516005;x
516006;Head of Military Intelligence;Rasul Reza;36;LWR;Industrial Specialist;Medium;M516006;x
516007;Chief of Staff;Mahmud Nuri Berköz;36;LWR;School of Mass Combat;Medium;M516007;x
516008;Chief of Army;Khalil Mamedov;36;LWR;Elastic Defence Doctrine;Medium;M516008;x
516009;Chief of Navy;Kambiz Krasnoshapka;36;LWR;Open Seas Doctrine;High;M516009;x
516010;Chief of Air Force;Gurgen Voskan Kamalyan;36;LWR;Air Superiority Doctrine;Medium;M516010;x
516011;Head of State;Rajib Kulbenzhian;36;ML;Barking Buffoon;High;M516011;x
516012;Head of Government;Suleyman Rustam;36;SD;Smiling Oilman;High;M516003;x
516013;Head of Government;Arash Bulbul;36;ML;Flamboyant Tough Guy;Medium;M516005;x
516014;Foreign Minister;Khaslatam Narimanov;36;LWR;General Staffer;High;M516014;x
516015;Foreign Minister;Mammad Amin Rasulzade;36;LWR;Biased Intellectual;High;M516015;x
516016;Foreign Minister;Arash Bulbul;36;SD;Great Compromiser;Medium;M516005;x
516017;Foreign Minister;Mahammad Rahman;36;ML;Iron Fisted Brute;Medium;M516017;x
516018;Minister of Armament;Mehdi Husein;36;LWR;Tank Proponent;Medium;M516018;x
516019;Minister of Armament;dr. Mahmood Ghasbalatam;36;LWR;laissez-faire capitalist;Medium;M516019;x
516020;Minister of Armament;Amin Aziz;36;LWR;Infantry Proponent;Medium;M516020;x
516021;Minister of Armament;Rajib Kulbenzhian;36;SD;Corrupt Kleptocrat;High;M516011;x
516022;Minister of Armament;Ismayl Shikhali;36;ML;Military Entrepreneur;High;M516022;x
516023;Minister of Security;Nigar Rafibelyi;36;LWR;Crime Fighter;Medium;M516023;x
516024;Minister of Security;Sabat Rahman;36;LWR;Silent Lawyer;Medium;M516024;x
516025;Minister of Security;Rasul Reza;36;SD;Man of the People;Medium;M516006;x
516026;Minister of Security;Mirza Ibrahimov;36;ML;Back Stabber;Medium;M516026;x
516027;Head of Military Intelligence;Nariman Narimanov;36;LWR;Naval Intelligence Specialist;Medium;M516027;x
516028;Head of Military Intelligence;Soultanov Khosrov Ebk;36;SD;Logistics Specialist;Medium;M516028;x
516029;Head of Military Intelligence;Rahmud Azizbayob;36;ML;Dismal Enigma;Medium;M516029;x
516030;Chief of Staff;Samed Bey Mehmandarov;36;SD;School of Defence;Medium;M516030;x
516031;Chief of Staff;Khalil Mamedov;36;ML;School of Fire Support;Medium;M516008;x
516032;Chief of Army;Mahmud Nuri Berköz;36;SD;Elastic Defence Doctrine;Medium;M516007;x
516033;Chief of Army;Soureb Hakop Gasparyan;36;ML;Armoured Spearhead Doctrine;Medium;M516033;x
516034;Chief of Navy;Samed Bey Mehmandarov;36;SD;Base Control Doctrine;High;M516030;x
516035;Chief of Navy;Ysmail Makhov;36;ML;Indirect Approach Doctrine;High;M516035;x
516036;Chief of Air Force;Kambiz Krasnoshapka;36;SD;Naval Aviation Doctrine;High;M516009;x
516037;Chief of Air Force;Andronik Abram Kazaryan;36;ML;Army Aviation Doctrine;High;M516037;x
