BEL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
15001;Head of State;Leopold III;36;ML;Benevolent Gentleman;NA;M15001;x
15002;Head of Government;Paul Van Zeeland;36;ML;Silent Workhorse;NA;M15002;x
15003;Foreign Minister;Paul Van Zeeland;36;ML;Biased Intellectual;Very High;M15002;x
15004;Minister of Armament;Albert Devèze;36;ML;Laissez-Faire Capitalist;Very High;M15004;x
15005;Minister of Security;Eugène Soudan;36;SL;Silent Lawyer;Very High;M15005;x
15006;Head of Military Intelligence;Albert Devèze;36;ML;Political Specialist;Very High;M15004;x
15007;Chief of Staff;Oscar Cumont;36;SC;School of Defence;Very High;M15007;x
15008;Chief of Army;Victor van Strydonck de Burkel;36;SC;Static Defence Doctrine;Very High;M15008;x
15009;Chief of Navy;G. Timmermans;36;SC;Indirect Approach Doctrine;Very High;M15009;x
15010;Chief of Air Force;L.F.E. Wouters;36;SC;Vertical Envelopment Doctrine;Very High;M15010;x
15030;Head of State;Leopold III;36;NS;Benevolent Gentleman;NA;M15001;x
15031;Head of State;Karel;44;ML;Benevolent Gentleman;NA;M15031;x
15032;Head of State;Julien Lahaut;45;ST;Ruthless Powermonger;NA;M15024;x
15034;Head of Government;Paul-Henri Spaak;36;SD;Ambitious Union Boss;NA;M15034;x
15035;Head of Government;Leon Degrelle;36;NS;Old General;NA;M15013;x
15036;Head of Government;Paul-Emile Janson;37;ML;Silent Workhorse;NA;M15036;x
15037;Head of Government;Hubert Pierlot;38;SC;Naive Optimist;NA;M15037;x
15038;Head of Government;Camille Huysmans;39;SD;Happy Amateur;NA;M15038;x
15040;Head of Government;Joseph Jacquemotte;44;LE;Political Protege;NA;M15020;x
15041;Head of Government;Achille Van Acker;39;SD;Corporate Suit;NA;M15041;x
15042;Head of Government;Gaston Eyskens;45;SC;Corporate Suit;NA;M15042;x
15043;Head of Government;Julien Lahaut;45;ST;Backroom Backstabber;NA;M15024;x
15044;Foreign Minister;Paul-Henri Spaak;36;SL;Great Compromiser;Very High;M15034;x
15046;Foreign Minister;Leon Degrelle;36;NS;Iron Fisted Brute;Very High;M15013;x
15047;Foreign Minister;Louis de Brouckère;37;SD;Ideological Crusader;Very High;M15047;x
15048;Foreign Minister;Eugène Soudan;38;SL;Ideological Crusader;Very High;M15005;x
15049;Foreign Minister;Hubert Pierlot;39;SC;Great Compromiser;Very High;M15037;x
15051;Foreign Minister;Jules Pire;41;SD;General Staffer;Very High;M15051;x
15052;Foreign Minister;Jef van de Wiele;42;NS;Iron Fisted Brute;Very High;M15011;x
15053;Foreign Minister;Edgar Lalmand;43;ST;Biased Intellectual;Very High;M15022;x
15054;Foreign Minister;Julien Lahaut;45;ST;Ideological Crusader;Very High;M15024;x
15055;Foreign Minister;Gaston Eyskens;47;SC;Great Compromiser;Very High;M15042;x
15056;Minister of Armament;Hendrik de Man;36;SL;Administrative Genius;Very High;M15056;x
15059;Minister of Armament;Camille Gutt;37;ML;Administrative Genius;Very High;M15059;x
15060;Minister of Armament;Leon Degrelle;37;NS;Infantry Proponent;Very High;M15013;x
15061;Minister of Armament;Jules Merlot;38;SD;Resource Industrialist;Very High;M15061;x
15062;Minister of Armament;Emmanuel Michez;39;ML;Tank Proponent;Very High;M15062;x
15063;Minister of Armament;Paul-Henri Spaak;39;SD;Resource Industrialist;Very High;M15034;x
15064;Minister of Armament;Henri Denis;40;SC;Infantry Proponent;Very High;M15064;x
15065;Minister of Armament;Edgar Lalmand;44;LE;Resource Industrialist;Very High;M15022;x
15066;Minister of Armament;Gaston Eyskens;40;ML;Administrative Genius;Very High;M15042;x
15067;Minister of Armament;Franz de Voghel;45;ML;Laissez-Faire Capitalist;Very High;M15067;x
15068;Minister of Armament;Marcel Vauthier;46;ML;Laissez-Faire Capitalist;Very High;M15068;x
15069;Minister of Armament;Albert de Vleeschauwer;46;SC;Resource Industrialist;Very High;M15069;x
15070;Minister of Armament;Jean Duvieusart;47;SC;Administrative Genius;Very High;M15070;x
15071;Minister of Security;Albert Janssen;36;SC;Compassionate Gentleman;Very High;M15071;x
15072;Minister of Security;François Bovesse;36;SC;Silent Lawyer;Very High;M15072;x
15073;Minister of Security;Paul Hymans;36;SL;Compassionate Gentleman;Very High;M15073;x
15075;Minister of Security;Paul Ouwerx;36;NS;Crime Fighter;Very High;M15075;x
15076;Minister of Security;Paul-Emile Janson;37;ML;Crime Fighter;Very High;M15036;x
15077;Minister of Security;Leon Degrelle;37;NS;Prince of Terror;Very High;M15013;x
15079;Minister of Security;Joseph Pholien;38;SC;Silent Lawyer;Very High;M15079;x
15081;Minister of Security;Henri Comte Carton de Wiart;39;ML;Crime Fighter;Very High;M15081;x
15083;Minister of Security;Jules Pire;42;SD;Prince of Terror;Very High;M15051;x
15084;Minister of Security;Victor de Laveleye;44;SL;Crime Fighter;Very High;M15084;x
15085;Minister of Security;Julien Lahaut;44;ST;Prince of Terror;Very High;M15024;x
15086;Minister of Security;Adolphe Van Glabbeke;45;SC;Man of the People;Very High;M15086;x
15087;Minister of Security;Auguste Buisseret;45;SC;Silent Lawyer;Very High;M15087;x
15088;Minister of Security;Charles du Bus de Warnaffe;45;SC;Crime Fighter;Very High;M15088;x
15089;Minister of Security;Albert Lilar;46;ML;Compassionate Gentleman;Very High;M15089;x
15090;Minister of Security;Paul Struye;47;SC;Man of the People;Very High;M15090;x
15091;Minister of Security;Jean Rey;47;SC;Silent Lawyer;Very High;M15091;x
15092;Head of Military Intelligence;Victor de Laveleye;36;SD;Logistics Specialist;Very High;M15084;x
15093;Head of Military Intelligence;Henri Denis;36;SC;Logistics Specialist;Very High;M15064;x
15095;Head of Military Intelligence;Paul Ouwerx;36;NS;Industrial Specialist;Very High;M15075;x
15096;Head of Military Intelligence;Jules Pire;40;SD;Logistics Specialist;Very High;M15051;x
15097;Head of Military Intelligence;Léon Delsinne;44;ML;Industrial Specialist;Very High;M15097;x
15098;Head of Military Intelligence;Auguste Buisseret;44;SC;Technical Specialist;Very High;M15087;x
15099;Head of Military Intelligence;Herman Vos;44;SD;Political Specialist;Very High;M15099;x
15100;Head of Military Intelligence;Léon Mundeleer;45;ML;Dismal Enigma;Very High;M15100;x
15101;Head of Military Intelligence;B.E.M. de Fraiteur;46;ML;Dismal Enigma;Very High;M15101;x
15102;Head of Military Intelligence;Pierre Vermeylen;47;SL;Technical Specialist;Very High;M15102;x
15104;Chief of Staff;Leon Degrelle;36;NS;School of Mass Combat;Very High;M15013;x
15105;Chief of Staff;Georges Deffontaine;38;SC;School of Fire Support;Very High;M15105;x
15106;Chief of Staff;Victor van Strydonck de Burkel;40;SC;School of Mass Combat;Very High;M15008;x
15107;Chief of Staff;Oscar Michiels;40;SC;School of Mass Combat;Very High;M15107;x
15108;Chief of Army;Réné Lagrou;36;NS;Decisive Battle Doctrine;Very High;M15017;x
15109;Chief of Army;Leon Degrelle;36;NS;Guns and Butter Doctrine;Very High;M15013;x
