BEN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
533001;Head of State;Leon Geismar;36;SL;Ruthless Powermonger;High;M533001;x
533002;Head of Government;Julien Georges Lamy;36;SL;Backroom Backstabber;High;M533002;x
533003;Foreign Minister;Hubert Deschamps;36;SL;Iron Fisted Brute;High;M533003;x
533004;Minister of Armament;Horace Valentin Crocicchia;36;SL;Battle Fleet Proponent;Medium;M533004;x
533005;Minister of Security;Louis Bressolles;36;SL;Crime Fighter;Medium;M533005;x
533006;Head of Military Intelligence;Albert Mercadier;36;SL;Technical Specialist;Medium;M533006;x
533007;Chief of Staff;Jean de Saint-Alary;36;SL;School of Defence;Medium;M533007;x
533008;Chief of Army;Leonce Joseph Delpech;36;SL;Static Defence Doctrine;Medium;M533008;x
533009;Chief of Navy;Francis d'Oultre Seille;36;SL;Indirect Approach Doctrine;Medium;M533009;x
533010;Chief of Air Force;Louis Flury-Hérard;36;SL;Vertical Envelopment Doctrine;Medium;M533010;x
533011;Head of State;Michel Lucien Montagne;36;SL;Autocratic Charmer;High;M533011;x
533012;Head of State;Leonce Joseph Delpech;41;SL;Resigned Generalissimo;High;M533008;x
533013;Head of State;Jean de Saint-Alary;41;SL;Weary Stiffneck;High;M533007;x
533014;Head of State;Pierre Salceti;42;SL;Benevolent Gentleman;High;M533014;x
533015;Head of State;Albert Mercadier;43;SL;Stern Imperialist;High;M533006;x
533016;Head of State;Jean Noutary;44;SL;Pig-headed Isolationist;High;M533016;x
533017;Head of State;Gaston Mondon-Vidailhet;36;PA;Die-hard Reformer;High;M533017;x
533018;Head of State;Felix Houphouet-Boigny;36;LWR;Popular Figurehead;High;M533018;x
533019;Head of Government;Gaston Mondon-Vidailhet;36;SL;Corporate Suit;High;M533017;x
533020;Head of Government;Louis Bressolles;38;SL;Flamboyant Tough Guy;High;M533005;x
533021;Head of Government;Horace Valentin Crocicchia;38;SL;Old Admiral;High;M533004;x
533022;Head of Government;Hubert Deschamps;41;SL;Naive Optimist;High;M533003;x
533023;Head of Government;Georges Pierre Rey;42;SL;Naive Optimist;High;M533023;x
533024;Head of Government;Andre Latrille;43;SL;Old General;High;M533024;x
533025;Head of Government;Henry de Mauduit;45;SL;Ambitious Union Boss;High;M533025;x
533026;Head of Government;Oswald Durand;47;SL;Ambitious Union Boss;High;M533026;x
533027;Head of Government;Georges Pierre Rey;36;PA;Political Protege;High;M533023;x
533028;Head of Government;Sylvanus Olympio;36;LWR;Corporate Suit;High;M533028;x
533029;Foreign Minister;Louis Picon;40;SL;The Cloak N Dagger Schemer;High;M533029;x
533030;Foreign Minister;Jean Noutary;43;SL;Great Compromiser;High;M533016;x
533031;Foreign Minister;Edme-Henri Gallois;45;SL;Apologetic Clerk;High;M533031;x
533032;Foreign Minister;Oswald Durand;36;PA;Iron Fisted Brute;High;M533026;x
533033;Foreign Minister;Nicolas Grunitzky;36;LWR;Biased Intellectual;High;M533033;x
533034;Foreign Minister;Souro Migan Apithy;42;LWR;Ideological Crusader;High;M533034;x
533035;Minister of Armament;Georges Pierre Rey;39;SL;Submarine Proponent;Medium;M533023;x
533036;Minister of Armament;Epiphanio Olympio;41;SL;Military Entrepreneur;Medium;M533036;x
533037;Minister of Armament;Raymond Echanne;43;SL;laissez-faire capitalist;Medium;M533037;x
533038;Minister of Armament;Charles Guéritault;36;PA;Air to Ground Proponent;Medium;M533038;x
533039;Minister of Armament;Hubert Maga;36;LWR;Battle Fleet Proponent;Medium;M533039;x
533040;Minister of Armament;Pierre Azenard;41;LWR;Air Superiority Proponent;Medium;M533040;x
533041;Minister of Security;Paul Milleliri;41;SL;Back Stabber;Medium;M533041;x
533042;Minister of Security;Henry de Mauduit;43;SL;Man of the People;Medium;M533025;x
533043;Minister of Security;André Lavergne;45;SL;Prince of Terror;Medium;M533043;x
533044;Minister of Security;Albert Doti;36;PA;Back Stabber;Medium;M533044;x
533045;Minister of Security;Maurice Yameogo;36;LWR;Crime Fighter;Medium;M533045;x
533046;Head of Military Intelligence;Charles Guéritault;40;SL;Dismal Enigma;Medium;M533038;x
533047;Head of Military Intelligence;Oswald Durand;44;SL;Political Specialist;Medium;M533026;x
533048;Head of Military Intelligence;Robert Joany;36;PA;Naval Intelligence Specialist;Medium;M533048;x
533049;Head of Military Intelligence;Hamani Diori;36;LWR;Naval Intelligence Specialist;Medium;M533049;x
533050;Head of Military Intelligence;Babacar Ba;43;LWR;Industrial Specialist;Medium;M533050;x
533051;Chief of Staff;Andre Latrille;43;SL;School of Manoeuvre;Medium;M533024;x
533052;Chief of Staff;Francis d'Oultre Seille;36;PA;School of Defence;Medium;M533009;x
533053;Chief of Staff;Akira Jomo;36;LWR;School of Psychology;Medium;M533053;x
533054;Chief of Staff;Ali Saibou;41;LWR;School of Defence;Medium;M533054;x
533055;Chief of Army;Pierre Salceti;42;SL;Elastic Defence Doctrine;Medium;M533014;x
533056;Chief of Army;Roger Podeur;36;PA;Decisive Battle Doctrine;Medium;M533056;x
533057;Chief of Army;Habib al-Aziz;36;LWR;Elastic Defence Doctrine;Medium;M533057;x
533058;Chief of Army;Yorgui Koli;41;LWR;Guns and Butter Doctrine;Medium;M533058;x
533059;Chief of Navy;Edmond Louveau;42;SL;Base Control Doctrine;Medium;M533059;x
533060;Chief of Navy;Jean Lassere;36;PA;Base Control Doctrine;Medium;M533060;x
533061;Chief of Navy;Francois Tombalbaye;36;LWR;Power Projection Doctrine;Medium;M533061;x
533062;Chief of Air Force;Fred Scamaroni;41;SL;Army Aviation Doctrine;Medium;M533062;x
533063;Chief of Air Force;Augustino de Souza;36;PA;Naval Aviation Doctrine;Medium;M533063;x
533064;Chief of Air Force;Auguste Denise;36;LWR;Air Superiority Doctrine;Medium;M533064;x
