BLR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
517001;Head of State;Aleksandr G. Chervyakov;36;LE;Autocratic Charmer;High;M517001;x
517002;Head of Government;Aleksiy A. Volkov;36;LE;Naive Optimist;High;M517002;x
517003;Foreign Minister;Nikolay I. Gusarov;36;LE;Great Compromiser;High;M517003;x
517004;Minister of Armament;Aleksander Osatkin-Vladimirsky;36;LE;Infantry Proponent;Medium;M517004;x
517005;Minister of Security;Yurij B. Gamarnik;36;LE;Prince of Terror;Medium;M517005;x
517006;Head of Military Intelligence;Yazip Losik;36;LE;Naval Intelligence Specialist;Medium;M517006;x
517007;Chief of Staff;Serafim Pokrovski;36;LE;School of Psychology;Medium;M517007;x
517008;Chief of Army;Pavel Ponomarenko;36;LE;Armoured Spearhead Doctrine;Medium;M517008;x
517009;Chief of Navy;Valerik Lesik;36;LE;Indirect Approach Doctrine;Medium;M517009;x
517010;Chief of Air Force;Vladimir I. Cheryakov;36;LE;Carpet Bombing Doctrine;Medium;M517010;x
517011;Head of State;Yazip Losik;36;SD;Weary Stiffneck;High;M517006;x
517012;Head of State;Radion Survilla;36;SC;Stern Imperialist;High;M517012;x
517013;Head of State;Pyotr Krecheuski;36;NS;Autocratic Charmer;High;M517013;x
517014;Head of Government;Pyotr Krecheuski;36;SD;Happy Amateur;High;M517013;x
517015;Head of Government;Venedict Bobkovski;36;SC;Political Protege;High;M517015;x
517016;Head of Government;Vasil Zacharka;36;NS;Corporate Suit;High;M517016;x
517017;Foreign Minister;Karl Lander;36;LE;Ideological Crusader;High;M517017;x
517018;Foreign Minister;Panteleimon Rozhnovsky;36;SD;Apologetic Clerk;High;M517018;x
517019;Foreign Minister;Pyotr A. Krechevsky;36;SD;Ideological Crusader;High;M517019;x
517020;Foreign Minister;Vasil Zacharka;36;SC;Great Compromiser;High;M517016;x
517021;Foreign Minister;Veniamin Novitski;36;SC;Apologetic Clerk;High;M517021;x
517022;Foreign Minister;Iuri Shurevich;36;NS;Biased Intellectual;High;M517022;x
517023;Foreign Minister;Wilhelm Kube;36;NS;The Cloak N Dagger Schemer;High;M517023;x
517024;Minister of Armament;Vasiliy F. Sharangovich;36;LE;Resource Industrialist;Medium;M517024;x
517025;Minister of Armament;Mikhail Bonch-Bruevich;36;SD;Tank Proponent;Medium;M517025;x
517026;Minister of Armament;Mikola Abramchyk;36;SC;Theoretical Scientist;Medium;M517026;x
517027;Minister of Armament;Radion Survilla;36;NS;laissez-faire capitalist;Medium;M517012;x
517028;Minister of Armament;Karl Lander;36;NS;Military Entrepreneur;Medium;M517017;x
517029;Minister of Security;Aleksandr I. Krivitsky;36;LE;Compassionate Gentleman;Medium;M517029;x
517030;Minister of Security;Nikolay F. Gikalo;36;LE;Back Stabber;Medium;M517030;x
517031;Minister of Security;Mikhail Bonch-Bruevich;36;LE;Man of the People;Medium;M517025;x
517032;Minister of Security;Aleksander Osatkin-Vladimirsky;36;SD;Crime Fighter;Medium;M517004;x
517033;Minister of Security;Larysa Hienijush;36;SC;Efficient Sociopath;Medium;M517033;x
517034;Minister of Security;Curt von Gottberg;36;NS;Prince of Terror;Medium;M517034;x
517035;Minister of Security;Constantine Voskoboinikov;36;NS;Silent Lawyer;Medium;M517035;x
517036;Head of Military Intelligence;Panteleion Ponomarenko;36;LE;Industrial Specialist;Medium;M517036;x
517037;Head of Military Intelligence;Aleksandr I. Krivitsky;36;SD;Political Specialist;Medium;M517029;x
517038;Head of Military Intelligence;Karl Lander;36;SD;Dismal Enigma;Medium;M517017;x
517039;Head of Military Intelligence;Iuri Shurevich;36;SC;Technical Specialist;Medium;M517022;x
517040;Head of Military Intelligence;Mikhail Bonch-Bruevich;36;NS;Technical Specialist;Medium;M517025;x
517041;Head of Military Intelligence;Yurij B. Gamarnik;36;NS;Political Specialist;Medium;M517005;x
517042;Head of Military Intelligence;Walter Darré;36;NS;Logistics Specialist;Medium;M517042;x
517043;Chief of Staff;Vladimir I. Cheryakov;36;SD;School of Fire Support;Medium;M517010;x
517044;Chief of Staff;Yurij B. Gamarnik;36;SC;School of Psychology;Medium;M517005;x
517045;Chief of Staff;Vassilyi Suerata;36;NS;School of Defence;Medium;M517045;x
517046;Chief of Army;Serafim Pokrovski;36;SD;Static Defence Doctrine;Medium;M517007;x
517047;Chief of Army;Jozef Dowbor-Musnicki;36;SC;Decisive Battle Doctrine;Medium;M517047;x
517048;Chief of Army;Bronislav Kaminski;36;NS;Guns and Butter Doctrine;Medium;M517048;x
517049;Chief of Navy;Aleksandr Iziumov;36;SD;Base Control Doctrine;Medium;M517049;x
517050;Chief of Navy;Friedrich Wilhelm Kurzr;36;SC;Open Seas Doctrine;Medium;M517050;x
517051;Chief of Navy;Erhard Märtens;36;NS;Base Control Doctrine;Medium;M517051;x
517052;Chief of Air Force;Nikolay F. Gikalo;36;SD;Army Aviation Doctrine;Medium;M517030;x
517053;Chief of Air Force;Aleksandr Iziumov;36;SC;Vertical Envelopment Doctrine;Medium;M517049;x
517054;Chief of Air Force;Hans Baur;36;NS;Air Superiority Doctrine;Medium;M517054;x
