BOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
43001;Head of State;Jose Tejada Sorzano;36;SL;Weary Stiffneck;High;M43001;x
43002;Head of Government;Jose Tejada Sorzano;36;SL;Smiling Oilman;High;M43001;x
43003;Foreign Minister;José Maria Gutierrez;36;SL;Iron Fisted Brute;High;M43003;x
43004;Minister of Armament;Moritz Hochschild;36;SL;laissez-faire capitalist;Medium;M43004;x
43005;Minister of Security;José Santos Quinteros;36;SL;Compassionate Gentleman;High;M43005;x
43006;Head of Military Intelligence;Carlos Altamirano;36;SL;Dismal Enigma;Medium;M43006;x
43007;Chief of Staff;Gualberto Villarroel Lopez;36;SL;School of Fire Support;Very Low;M43007;x
43008;Chief of Army;Hans Kundt;36;SL;Decisive Battle Doctrine;Medium;M43008;x
43009;Chief of Navy;Gil Ibarra Juarez;36;SL;Indirect Approach Doctrine;Medium;M43009;x
43010;Chief of Air Force;Hector Bilbao Roja;36;SL;Army Aviation Doctrine;Medium;M43010;x
43031;Head of State;Enrique Finot;36;SD;Pig-headed Isolationist;High;M43031;x
43032;Head of State;German Busch Beccera;37;SD;Popular Figurehead;High;M43032;x
43033;Head of State;Rafael Franco Rafél;36;SL;Benevolent Gentleman;High;M43033;x
43034;Head of State;Waldo Belmonte Pool;38;SL;Insignificant Layman;High;M43034;x
43035;Head of State;Néstor Guillén Olmos;44;SL;Autocratic Charmer;High;M43035;x
43036;Head of State;Abadon Saavedra Mallea;36;SC;Stern Imperialist;High;M43036;x
43037;Head of State;Carlos Quintanilla Quiroga;38;SC;Resigned Generalissimo;High;M43037;x
43038;Head of State;Simon I. Patino;40;SC;Powerhungry Demagogue;High;M43038;x
43039;Head of State;Tomas Monje Gutierrez;45;SC;Ruthless Powermonger;High;M43039;x
43040;Head of State;Eusebio Ayala;43;LWR;Barking Buffoon;High;M43040;x
43041;Head of State;Gualberto Villarroel Lopez;44;LWR;Resigned Generalissimo;High;M43007;x
43042;Head of State;Victor Paz Estenssorro;46;SD;Powerhungry Demagogue;High;M43042;x
43043;Head of State;Guillermo Lora;36;LE;Insignificant Layman;High;M43021;x
43044;Head of State;Daniel Sanchez Bustamante;44;ST;Autocratic Charmer;High;M43023;x
43045;Head of State;Enrique Penaranda Castillo;39;PA;Stern Imperialist;High;M43045;x
43046;Head of State;German Butron;36;FA;Resigned Generalissimo;High;M43011;x
43047;Head of State;Edwin Möller;44;FA;Popular Figurehead;High;M43015;x
43048;Head of Government;David Toro Ruilova;36;SD;Old General;High;M43048;x
43049;Head of Government;German Busch Beccera;37;SD;Naive Optimist;High;M43032;x
43050;Head of Government;Abadon Saavedra Mallea;36;SC;Flamboyant Tough Guy;High;M43036;x
43051;Head of Government;Carlos Quintanilla Quiroga;38;SC;Old General;High;M43037;x
43052;Head of Government;Simon I. Patino;40;SC;Corporate Suit;High;M43038;x
43053;Head of Government;Enrique Hertzog Garaizabal;45;SC;Silent Workhorse;High;M43053;x
43054;Head of Government;Rafael Franco Rafél;36;SL;Naive Optimist;High;M43033;x
43055;Head of Government;Waldo Belmonte Pool;39;SL;Happy Amateur;High;M43034;x
43056;Head of Government;Julian Montellano Carrasco;44;SL;Political Protege;High;M43056;x
43057;Head of Government;Eusebio Ayala;43;LWR;Ambitious Union Boss;High;M43040;x
43058;Head of Government;Gualberto Villarroel Lopez;44;LWR;Old General;High;M43007;x
43059;Head of Government;Victor Paz Estenssorro;46;LWR;Corporate Suit;High;M43042;x
43060;Head of Government;Guillermo Lora;36;ST;Happy Amateur;High;M43021;x
43061;Head of Government;Daniel Sanchez Bustamante;44;ST;Political Protege;High;M43023;x
43062;Head of Government;Enrique Penaranda Castillo;39;PA;Flamboyant Tough Guy;High;M43045;x
43063;Head of Government;Jorge Patinos;43;PA;Corporate Suit;High;M43063;x
43064;Head of Government;German Butron;36;FA;Old General;High;M43011;x
43065;Head of Government;Edwin Möller;44;FA;Corporate Suit;High;M43015;x
43066;Foreign Minister;Luis Guachalla Solares;36;SD;Great Compromiser;High;M43066;x
43067;Foreign Minister;Enrique Baldivieso Aparicio;37;SD;General Staffer;Medium;M43067;x
43068;Foreign Minister;Carlos Salinas Aramayo;38;SD;The Cloak N Dagger Schemer;Medium;M43068;x
43069;Foreign Minister;Jose Tejada Sorzano;36;SL;Great Compromiser;Medium;M43001;x
43070;Foreign Minister;Rafael Franco Rafél;36;SL;General Staffer;Medium;M43033;x
43071;Foreign Minister;Francesco Pierini;38;SL;Biased Intellectual;Medium;M43071;x
43072;Foreign Minister;Tomas Manuel Elío;43;SL;Great Compromiser;Low;M43072;x
43073;Foreign Minister;Enrique Hertzog Garaizabal;46;SL;Apologetic Clerk;Medium;M43053;x
43074;Foreign Minister;Abadon Saavedra Mallea;36;SC;Apologetic Clerk;High;M43036;x
43077;Foreign Minister;Hugo Ballivián Rojas;47;SC;General Staffer;Medium;M43077;x
43078;Foreign Minister;Alberto Ostria Gutierrez;39;PA;Apologetic Clerk;Medium;M43075;x
43079;Foreign Minister;Eduardo Anze Matienzo;42;PA;The Cloak N Dagger Schemer;High;M43076;x
43080;Foreign Minister;Tomas Manuel Elío;43;PA;Great Compromiser;Low;M43072;x
43081;Foreign Minister;Juan Mechin;36;FA;The Cloak N Dagger Schemer;High;M43013;x
43083;Foreign Minister;Fabian Vaca Chavez;40;PA;Biased Intellectual;Low;M43082;x
43084;Foreign Minister;Simon I. Patino;43;FA;The Cloak N Dagger Schemer;Medium;M43038;x
43085;Foreign Minister;German Butron;44;FA;Ideological Crusader;Low;M43011;x
43086;Foreign Minister;Alberto Diez de Medina;38;LWR;Biased Intellectual;Medium;M43086;x
43087;Foreign Minister;Victor Paz Estenssorro;43;LWR;Biased Intellectual;Medium;M43042;x
43088;Foreign Minister;José Franz Tamayo;44;LWR;Ideological Crusader;Medium;M43088;x
43089;Foreign Minister;Enrique Baldivieso Aparicio;44;LWR;General Staffer;Medium;M43067;x
43090;Foreign Minister;Gustavo Chacón Morales;44;LWR;The Cloak N Dagger Schemer;Medium;M43090;x
43091;Foreign Minister;José Pinto Sanchez;45;LWR;Iron Fisted Brute;Medium;M43091;x
43092;Foreign Minister;Aniceto Solares;45;LWR;Great Compromiser;Medium;M43092;x
43093;Foreign Minister;Daniel Sanchez Bustamante;36;LE;Iron Fisted Brute;Low;M43023;x
43094;Foreign Minister;Roberto Hinojosa;44;LE;Apologetic Clerk;High;M43024;x
43095;Minister of Armament;Enrique Finot;36;SD;Air Superiority Proponent;Medium;M43031;x
43098;Minister of Armament;Francesco Pierini;38;SL;Tank Proponent;Medium;M43071;x
43099;Minister of Armament;Hector Bilbao Roja;39;SL;Air to Ground Proponent;Medium;M43010;x
43100;Minister of Armament;Abadon Saavedra Mallea;40;SL;Air to Sea Proponent;High;M43036;x
43101;Minister of Armament;Adolfo Costa du Reis;41;SL;Military Entrepreneur;Medium;M43101;x
43102;Minister of Armament;Néstor Guillén Olmos;43;SL;Resource Industrialist;Medium;M43035;x
43103;Minister of Armament;Julian Montellano Carrasco;46;SL;Administrative Genius;Medium;M43056;x
43105;Minister of Armament;Abadon Saavedra Mallea;39;SC;Theoretical Scientist;Medium;M43036;x
43106;Minister of Armament;Simon I. Patino;40;SC;Resource Industrialist;Medium;M43038;x
43107;Minister of Armament;Mario Torres;45;SC;Corrupt Kleptocrat;High;M43014;x
43108;Minister of Armament;David Toro Ruilova;40;PA;Corrupt Kleptocrat;Medium;M43048;x
43109;Minister of Armament;Carlos Salinas Aramayo;41;PA;Military Entrepreneur;Medium;M43068;x
43110;Minister of Armament;Fabian Vaca Chavez;42;PA;Air to Sea Proponent;Low;M43082;x
43111;Minister of Armament;Hugo Ballivián Rojas;43;PA;Infantry Proponent;Medium;M43077;x
43112;Minister of Armament;Mario Torres;36;FA;Corrupt Kleptocrat;High;M43014;x
43113;Minister of Armament;Alberto Ostria Gutierrez;38;PA;Air to Ground Proponent;Medium;M43075;x
43114;Minister of Armament;Jorge Patinos;40;PA;Resource Industrialist;Medium;M43063;x
43115;Minister of Armament;Gil Ibarra Juarez;43;FA;Submarine Proponent;Medium;M43009;x
43116;Minister of Armament;Eusebio Ayala;43;LWR;Battle Fleet Proponent;Medium;M43040;x
43117;Minister of Armament;Walter Guevera;43;LWR;Theoretical Scientist;High;M43096;x
43118;Minister of Armament;Enrique Baldivieso Aparicio;44;LWR;Resource Industrialist;Medium;M43067;x
43119;Minister of Armament;Julian Montellano Carrasco;45;LWR;Administrative Genius;Medium;M43056;x
43120;Minister of Armament;Alberto Diez de Medina;46;LWR;Corrupt Kleptocrat;Medium;M43086;x
43121;Minister of Armament;Victor Paz Estenssorro;47;LWR;Resource Industrialist;Medium;M43042;x
43122;Minister of Armament;Roberto Hinojosa;36;LE;Infantry Proponent;High;M43024;x
43123;Minister of Armament;Werner Guttenberg;44;ST;Strategic Air Proponent;Medium;M43123;x
43124;Minister of Security;José Franz Tamayo;36;SD;Crime Fighter;Medium;M43088;x
43125;Minister of Security;Florian Zambrana;38;SD;Efficient Sociopath;Low;M43125;x
43126;Minister of Security;Salvator Morales Jauregi;36;SL;Man of the People;Medium;M43126;x
43127;Minister of Security;Felix A. Arromayo;39;SL;Silent Lawyer;Medium;M43127;x
43128;Minister of Security;Carlos Salinas Aramayo;43;SL;Back Stabber;Medium;M43068;x
