BOS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
546001;Head of State;Ali Efendi Aganovic;36;NS;Stern Imperialist;High;M546001;x
546002;Head of Government;Mehmed Alabegovic;36;NS;Silent Workhorse;High;M546002;x
546003;Foreign Minister;Osman Kulenovic;36;NS;The Cloak N Dagger Schemer;High;M546003;x
546004;Minister of Armament;Neshad Topcic;36;NS;Air to Ground Proponent;Medium;M546004;x
546005;Minister of Security;Mohammed Hadzieffendic;36;NS;Crooked Kleptocrat;Medium;M546005;x
546006;Head of Military Intelligence;Ibrahim Fejic;36;NS;Political Specialist;Medium;M546006;x
546007;Chief of Staff;Hakija Hadzec;36;NS;School of Fire Support;Medium;M546007;x
546008;Chief of Army;Desiderius Hampel;36;NS;Guns and Butter Doctrine;Medium;M546008;x
546009;Chief of Navy;Walther Kinzel;36;NS;Decisive Naval Battle Doctrine;Medium;M546009;x
546010;Chief of Air Force;Slavomir Tomic;36;NS;Vertical Envelopment Doctrine;Medium;L46061;x
546011;Head of State;Esat Pasha Toptani;36;SC;Resigned Generalissimo;High;M546011;x
546012;Head of State;Michel Yovanovic;36;LWR;Barking Buffoon;High;M20056;x
546013;Head of Government;Osman Zulfikarpasic;36;SC;Naive Optimist;High;M546013;x
546014;Head of Government;Aleksandar Rankovic;36;LWR;Political Protege;High;M20026;x
546015;Foreign Minister;Mehmed Kapetanovic;36;SC;Ideological Crusader;High;M546015;x
546016;Foreign Minister;Mehmed Dzemaludin;42;SC;Apologetic Clerk;High;M546016;x
546017;Foreign Minister;Ivo Ljujic;36;LWR;Iron Fisted Brute;High;M546017;x
546018;Minister of Armament;Adolf Wagner;41;NS;Battle Fleet Proponent;Medium;M546018;x
546019;Minister of Armament;Abdulah Trivuncic;36;SC;Administrative Genius;Medium;M546019;x
546020;Minister of Armament;Ali Livadic;36;LWR;Infantry Proponent;Medium;M546020;x
546021;Minister of Armament;Nijaz Dudakovic;41;LWR;Resource Industrialist;Medium;M546021;x
546022;Minister of Security;Ludwig Öhlhafen;41;NS;Crime Fighter;Medium;M546022;x
546023;Minister of Security;Sulejman Effendi Kemura;36;SC;Silent Lawyer;Medium;M546023;x
546024;Minister of Security;Serif Begic;36;LWR;Efficient Sociopath;Medium;M546024;x
546025;Minister of Security;Fehim Effendi Spaho;42;LWR;Compassionate Gentleman;Medium;M546025;x
546026;Head of Military Intelligence;Otto Nippolt;42;NS;Logistics Specialist;Medium;M546026;x
546027;Head of Military Intelligence;Haris Merdanovic;41;NS;Industrial Specialist;Medium;M546027;x
546028;Head of Military Intelligence;Drazen Subacic;36;SC;Technical Specialist;Medium;M546028;x
546029;Head of Military Intelligence;Emin Hodzic;36;LWR;Dismal Enigma;Medium;M546029;x
546030;Chief of Staff;Mihovil Vujicic;36;SC;School of Defence;Medium;M546030;x
546031;Chief of Staff;Mihailo Lukic;36;LWR;School of Mass Combat;Medium;L46020;x
546032;Chief of Army;Esat Pasha Toptani;36;SC;Static Defence Doctrine;Medium;M546011;x
546033;Chief of Army;Draza Mihailovic;36;LWR;Elastic Defence Doctrine;Medium;M20012;x
546034;Chief of Navy;Duro Jakcin;36;SC;Indirect Approach Doctrine;High;L46044;x
546035;Chief of Navy;Josip Broz;36;LWR;Base Control Doctrine;High;M20029;x
546036;Chief of Air Force;Branko Naumovic;36;SC;Air Superiority Doctrine;Medium;L46056;x
546037;Chief of Air Force;Josip Broz;36;LWR;Carpet Bombing Doctrine;Medium;M20028;x
