BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
34001;Head of State;Getulio Vargas;36;LWR;Autocratic Charmer;High;M34001;x
34002;Head of Government;Getulio Vargas;36;LWR;Naive Optimist;High;M34001;x
34003;Foreign Minister;José de Macedo Soares;36;LWR;Iron Fisted Brute;Medium;M34003;x
34004;Minister of Armament;Café Filho;36;SD;Military Entrepreneur;Low;M34004;x
34005;Minister of Security;Marcondes Filho;36;SD;Crime Fighter;High;M34005;x
34006;Head of Military Intelligence;Filinto Muller;36;SD;Political Specialist;Very High;M34006;x
34007;Chief of Staff;Gaspar Dutra;36;LWR;School of Defence;Medium;M34007;x
34008;Chief of Army;Joao Neves da Fontoura;36;LWR;Static Defence Doctrine;Medium;M34008;x
34009;Chief of Navy;Aristides Guilhem;36;SD;Open Seas Doctrine;Medium;M34009;x
34010;Chief of Air Force;Salgado Filho;36;LWR;Army Aviation Doctrine;Medium;M34010;x
34063;Head of State;Luis Carlos Prestes;36;ST;Die-hard Reformer;High;M34051;x
34064;Head of State;Nero Fiuza de Castro;45;SD;Benevolent Gentleman;High;M34031;x
34065;Head of State;Eduardo Gomes;37;ML;Stern Imperialist;High;M34021;x
34066;Head of State;Washington Luis Pereira;43;SC;Insignificant Layman;High;M34066;x
34067;Head of State;Gaspar Dutra;45;SC;Weary Stiffneck;High;M34011;x
34068;Head of State;Plinio Salgado;36;FA;Powerhungry Demagogue;High;M34041;x
34070;Head of Government;Luis Carlos Prestes;36;ST;Smiling Oilman;High;M34051;x
34071;Head of Government;Nero Fiuza de Castro;45;SD;Naive Optimist;High;M34031;x
34072;Head of Government;Eduardo Gomes;37;ML;Flamboyant Tough Guy;High;M34021;x
34073;Head of Government;Washington Luis Pereira;43;SC;Naive Optimist;High;M34066;x
34074;Head of Government;Gaspar Dutra;45;PA;Old General;High;M34011;x
34075;Head of Government;Plinio Salgado;36;FA;Backroom Backstabber;High;M34041;x
34076;Foreign Minister;Oswaldo Aranha;38;LWR;Biased Intellectual;Medium;M34076;x
34077;Foreign Minister;Pedro Leão Veloso;44;LWR;Great Compromiser;Medium;M34077;x
34078;Foreign Minister;Henry Berger;39;ST;Ideological Crusader;Very Low;M34053;x
34079;Foreign Minister;Oscar Weinschenck;42;LE;The Cloak N Dagger Schemer;High;M34079;x
34080;Foreign Minister;Mario Pimentel Brandão;37;SD;The Cloak N Dagger Schemer;High;M34080;x
34081;Foreign Minister;Otavio Mangabeira;45;SD;Great Compromiser;High;M34033;x
34082;Foreign Minister;Otavio Mangabeira;37;ML;The Cloak N Dagger Schemer;Low;M34033;x
34083;Foreign Minister;Afranio de Mello Franco;39;ML;Great Compromiser;High;M34083;x
34084;Foreign Minister;Acyr de Nascimento Paes;43;ML;Biased Intellectual;Low;M34084;x
34086;Foreign Minister;Paso Fernandes Morã;43;SC;Ideological Crusader;High;M34086;x
34087;Foreign Minister;S. de Sousa Leão Gracíe;46;SC;Biased Intellectual;High;M34087;x
34088;Foreign Minister;Raul Fernandes;47;SC;Great Compromiser;High;M34013;x
34089;Foreign Minister;Joao Neves da Fontoura;45;SC;General Staffer;High;M34008;x
