BRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
567001;Head of State;H.H. Paduka Ahmad Muhammed;36;SC;Autocratic Charmer;High;M567001;x
567002;Head of Government;Sir Paul Armstrong;36;SC;Corporate Suit;High;M567002;x
567003;Foreign Minister;Hubert Oggleton;36;SC;Iron Fisted Brute;Very High;M567003;x
567004;Minister of Armament;Nawanagar Ranjit;36;SC;Infantry Proponent;Very High;M567004;x
567005;Minister of Security;David H. Crowther;36;SC;Silent Lawyer;Very High;M567005;x
567006;Head of Military Intelligence;Simon Jenkinson;36;SC;Dismal Enigma;Very High;M567006;x
567007;Chief of Staff;H.R.H. Omar Ali Salif;36;SC;School of Psychology;Very High;M567007;x
567008;Chief of Army;H.L. Henderson;36;SC;Decisive Battle Doctrine;Very High;M567008;x
567009;Chief of Navy;R.M.C. Arant;36;SC;Indirect Approach Doctrine;Very High;M567009;x
567010;Chief of Air Force;H.H. Down;36;SC;Air Superiority Doctrine;Very High;M567010;x
567011;Head of State;H.H. Vijayasinhji of Rajpipla;36;FA;Popular Figurehead;High;M567011;x
567012;Head of Government;Mohammed Tuttu;36;FA;Political Protege;High;M567012;x
567013;Foreign Minister;Sior Kala Noodai;36;FA;Ideological Crusader;Very High;M567013;x
567014;Foreign Minister;Ahmad Kamarul;45;SC;General Staffer;Very High;M567014;x
567015;Minister of Armament;Aly Enyang;36;FA;Air to Ground Proponent;Very High;M567015;x
567016;Minister of Armament;Paduka Haj Ali;42;SC;laissez-faire capitalist;Very High;M567016;x
567017;Minister of Security;Sachin Ibrahim Yakut;36;FA;Man of the People;Very High;M567017;x
567018;Minister of Security;Abdallah Razik;45;SC;Prince of Terror;Very High;M567018;x
567019;Head of Military Intelligence;Puduk Martanda;36;FA;Industrial Specialist;Very High;M567019;x
567020;Head of Military Intelligence;Nabil Masyhur;43;SC;Logistics Specialist;Very High;M567020;x
567021;Chief of Staff;Ishmael Taranagoor;36;FA;School of Defence;Very High;M567021;x
567022;Chief of Staff;Abdullah Rattak;44;SC;School of Mass Combat;Very High;M567022;x
567023;Chief of Army;Rama Varma VI;36;FA;Static Defence Doctrine;Very High;M567023;x
567024;Chief of Army;H.R.H. Omar Ali Salif;44;SC;Armoured Spearhead Doctrine;Very High;M567007;x
567025;Chief of Navy;Rama Varma VI;36;FA;Base Control Doctrine;Very High;M567023;x
567026;Chief of Navy;Dewanagar Singh;44;SC;Open Seas Doctrine;Very High;M567026;x
567027;Chief of Air Force;Ishmael Taranagoor;36;FA;Vertical Envelopment Doctrine;Very High;M567021;x
567028;Chief of Air Force;C.S. Oddie;41;SC;Naval Aviation Doctrine;Very High;M567028;x
567029;Chief of Air Force;Donald Emck;45;SC;Army Aviation Doctrine;Very High;M567029;x
567030;Head of State;Omar Ali Khairi;50;SC;Benevolent Gentleman;High;M567030;x
567031;Head of Government;Omar Ali Khairi;47;SC;Smiling Oilman;High;M567030;x
