BUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
563001;Head of State;Sir Reginald Dorman-Smith;36;ML;Stern Imperialist;High;M563001;x
563002;Head of Government;Hubert Elvin Rance;36;ML;Naive Optimist;High;M563002;x
563003;Foreign Minister;Sir Archibald Cochrane;36;ML;General Staffer;High;M563003;x
563004;Minister of Armament;Robert Fitzhendricks;36;ML;Military Entrepreneur;Medium;M563004;x
563005;Minister of Security;John Collins;36;ML;Crime Fighter;Medium;M563005;x
563006;Head of Military Intelligence;Lord Ralph Bottomley;36;ML;Dismal Enigma;Medium;M563006;x
563007;Chief of Staff;Sir Archibald Cochrane;36;ML;School of Defence;Medium;M563003;x
563008;Chief of Army;Donald Clarkson;36;ML;Static Defence Doctrine;Medium;M563008;x
563009;Chief of Navy;Hubert Scott-Paine;36;ML;Power Projection Doctrine;Medium;M563009;x
563010;Chief of Air Force;P.C. Maltby;36;ML;Army Aviation Doctrine;Medium;M563010;x
563011;Head of State;Thakin Bai Thei Tin;36;ST;Ruthless Powermonger;High;M563011;x
563012;Head of State;Sao Shwe Thaike;36;SD;Die-hard Reformer;High;M563012;x
563013;Head of State;H.M. Sao Yang Wen Pin;36;PA;Pig-headed Isolationist;High;M563013;x
563014;Head of State;Ba Oo;36;FA;Insignificant Layman;High;M563014;x
563015;Head of Government;Thakin Soe Buu;36;ST;Old Admiral;High;M563015;x
563016;Head of Government;Aung San;36;SD;Old General;High;M563016;x
563017;Head of Government;H.R.H. Sao Edward Yang Kyein Tsai;36;PA;Political Protege;High;M563017;x
563018;Head of Government;Ba Maw;36;FA;Flamboyant Tough Guy;High;M563018;x
563019;Foreign Minister;Thaik Tun;36;ST;Ideological Crusader;High;M563019;x
563020;Foreign Minister;U Thant;36;SD;Great Compromiser;High;M563020;x
563021;Foreign Minister;Thakin Nu;36;PA;Apologetic Clerk;High;M563021;x
563022;Foreign Minister;Galon Saw Oo;36;FA;The Cloak N Dagger Schemer;High;M563022;x
563023;Minister of Armament;Thakin Ba Thaung;36;ST;Submarine Proponent;Medium;M563023;x
563024;Minister of Armament;Aung Gyi;36;SD;laissez-faire capitalist;Medium;M563024;x
563025;Minister of Armament;James Franklyn;36;PA;Administrative Genius;Medium;M563025;x
563026;Minister of Armament;Ba Khin;36;FA;Air to Ground Proponent;Medium;M563026;x
563027;Minister of Security;A.N. Ghosal;36;ST;Man of the People;Medium;M563027;x
563028;Minister of Security;Wing Maung;36;SD;Back Stabber;Medium;M563028;x
563029;Minister of Security;Sein Lwin;36;PA;Silent Lawyer;Medium;M563029;x
563030;Minister of Security;Ne Win;36;FA;Compassionate Gentleman;Medium;L101130;x
563031;Head of Military Intelligence;Hem Chandra Mazumdar;36;ST;Industrial Specialist;Medium;M563031;x
563032;Head of Military Intelligence;Hla Myaing;36;SD;Logistics Specialist;Medium;M563032;x
563033;Head of Military Intelligence;Cecil Crouch Ford;36;PA;Political Specialist;Medium;M563033;x
563034;Head of Military Intelligence;Keneko Toyoji;36;FA;Technical Specialist;Medium;M563034;x
563035;Chief of Staff;Ne Win;36;ST;School of Manoeuvre;Medium;L101130;x
563036;Chief of Staff;Smith Dun;36;SD;School of Psychology;Medium;M563036;x
563037;Chief of Staff;Mason Fitzgerald;41;ML;School of Fire Support;Medium;M563037;x
563038;Chief of Staff;Bo Mya;36;PA;School of Mass Combat;Medium;M563038;x
563039;Chief of Staff;Khun Sa;36;FA;School of Manoeuvre;Medium;M563039;x
563040;Chief of Army;Maung Khin;36;ST;Decisive Battle Doctrine;Medium;M563040;x
563041;Chief of Army;Aung San;36;SD;Guns and Butter Doctrine;Medium;M563016;x
563042;Chief of Army;William Merrick;43;ML;Armoured Spearhead Doctrine;Medium;M563042;x
563043;Chief of Army;Galon Saw Oo;36;PA;Elastic Defence Doctrine;Medium;M563022;x
563044;Chief of Army;Ne Win;36;FA;Decisive Battle Doctrine;Medium;L101130;x
563045;Chief of Navy;Thakin Soe Buu;36;ST;Indirect Approach Doctrine;Medium;M563015;x
563046;Chief of Navy;Khin Maung Swe;36;SD;Base Control Doctrine;Medium;M563046;x
563047;Chief of Navy;Claude Poigdestre;36;PA;Decisive Naval Battle Doctrine;Medium;M563047;x
563048;Chief of Navy;Hsaya Maung Thaw Ka;36;FA;Open Seas Doctrine;Medium;M563048;x
563049;Chief of Air Force;Thaik Tun;36;ST;Vertical Envelopment Doctrine;Medium;M563019;x
563050;Chief of Air Force;Naw Seng;36;SD;Naval Aviation Doctrine;Medium;M563050;x
563051;Chief of Air Force;Aik Luk;36;PA;Air Superiority Doctrine;Medium;M563051;x
563052;Chief of Air Force;Tin Tun;36;FA;Carpet Bombing Doctrine;Medium;M563052;x
563053;Head of State;Ba Oo;52;LWR;Stern Imperialist;High;M563014;x
563054;Head of Government;U Nu;48;SD;Smiling Oilman;High;M563054;x
