CHC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
51001;Head of State;Mao Zedong;36;ST;Powerhungry Demagogue;High;M51001;x
51002;Head of Government;Mao Zedong;36;ST;Backroom Backstabber;High;M51001;x
51003;Foreign Minister;Wang Jiaxiang;36;ST;General Staffer;High;M51003;x
51004;Minister of Armament;Lin Bojiu;36;ST;Military Entrepreneur;High;M51004;x
51005;Minister of Security;Xie Juezai;36;ST;Man of the People;Medium;M51005;x
51006;Head of Military Intelligence;Li Kenong;36;ST;Logistics Specialist;Medium;M51006;x
51007;Chief of Staff;Zhu De;36;ST;School of Mass Combat;Medium;M51007;x
51008;Chief of Army;Zhu De;36;ST;Guns and Butter Doctrine;Low;M51007;x
51009;Chief of Navy;Ziao Jingguang;36;ST;Open Seas Doctrine;Medium;M51009;x
51010;Chief of Air Force;Fang Zeyi;36;ST;Army Aviation Doctrine;Medium;M51010;x
51012;Head of State;Zhang Guotao;37;LE;Ruthless Powermonger;High;M51012;x
51013;Head of State;Lin Bojiu;37;LWR;Die-hard Reformer;High;M51004;x
51015;Head of Government;Zhang Guotao;37;LE;Ambitious Union Boss;High;M51012;x
51016;Head of Government;Lin Bojiu;37;LWR;Flamboyant Tough Guy;High;M51004;x
51018;Foreign Minister;Zhang Guotao;42;ST;Ideological Crusader;High;M51012;x
51019;Foreign Minister;Li Kenong;44;ST;Great Compromiser;Medium;M51006;x
51023;Minister of Armament;Cao Qiuru;39;ST;Administrative Genius;High;M51023;x
51024;Minister of Armament;Guo Yunshen;41;ST;Air to Ground Proponent;High;M51024;x
51025;Minister of Armament;Wang Fengbo;43;ST;laissez-faire capitalist;High;M51025;x
51028;Minister of Armament;He Yuandang;37;LWR;Resource Industrialist;High;M51026;x
51030;Minister of Security;Zhou Xing;39;ST;Crime Fighter;Medium;M51030;x
51031;Minister of Security;Mao Zedong;41;ST;Back Stabber;Medium;M51001;x
51032;Minister of Security;Lin Bojiu;42;ST;Compassionate Gentleman;High;M51004;x
51033;Minister of Security;Gao Xue;44;ST;Compassionate Gentleman;High;M51033;x
51037;Head of Military Intelligence;Zhou Enlai;39;ST;Technical Specialist;Medium;M51037;x
51038;Head of Military Intelligence;Deng Xiaoping;40;ST;Industrial Specialist;Medium;M51038;x
51039;Head of Military Intelligence;Wang Jiaxiang;42;ST;Dismal Enigma;High;M51003;x
51040;Head of Military Intelligence;Xie Juezai;45;ST;Political Specialist;Medium;M51005;x
51044;Chief of Staff;Xu Xiangqian;41;ST;School of Manoeuvre;Medium;M51044;x
51045;Chief of Staff;Chen Yi;44;ST;School of Psychology;Medium;M51045;x
51049;Chief of Army;Gao Gang;40;ST;Elastic Defence Doctrine;Low;M51049;x
51050;Chief of Army;Chen Yi;43;ST;Armoured Spearhead Doctrine;Medium;M51045;x
51051;Head of Government;Zhou Enlai;49;ST;Ambitious Union Boss;High;M51051;x
51052;Foreign Minister;Zhou Enlai;49;ST;Ideological Crusader;High;M51051;x
51053;Minister of Armament;Peng Dehuai;49;ST;Theoretical Scientist;High;M51053;x
51054;Minister of Security;Ren Bishi;49;ST;Efficient Sociopath;Medium;M51054;x
51055;Head of Military Intelligence;Peng Zhen;49;ST;Industrial Specialist;High;M51055;x
51056;Foreign Minister;Chen Yi;58;ST;General Staffer;High;M51045;x
51057;Minister of Armament;Lin Biao;59;ST;Military Entrepreneur;High;L76324;x
51058;Minister of Security;Shi Liang;50;ST;Prince of Terror;Medium;M51058;x
51059;Minister of Security;Qian Ying;59;ST;Silent Lawyer;Medium;M51059;x
51060;Minister of Security;Zeng Shan;60;ST;Back Stabber;Medium;M51060;x
51061;Head of Military Intelligence;Bo Yibo;53;ST;Technical Specialist;High;M51061;x
51062;Head of Military Intelligence;Li Xiannian;54;ST;Logistics Specialist;High;L76322;x
