CHL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
44001;Head of State;Arturo Alessandri Palma;36;SL;Stern Imperialist;High;M44001;x
44002;Head of Government;Gustavo Ross Santa Maria;36;SL;Naive Optimist;High;M44002;x
44003;Foreign Minister;Miguel Cruchaga Tacomal;36;SL;Iron Fisted Brute;Medium;M44003;x
44004;Minister of Armament;Eduardo Hillman;36;SL;Resource Industrialist;High;M44004;x
44005;Minister of Security;Arturo Alessandri Palma;36;SL;Compassionate Gentleman;Medium;M44001;x
44006;Head of Military Intelligence;Julio Allard Pinto;36;SL;Naval Intelligence Specialist;Medium;M44006;x
44007;Chief of Staff;C.J. de la Motte;36;SL;School of Fire Support;Medium;M44007;x
44008;Chief of Army;E. Novoa Fuentes;36;SL;Static Defence Doctrine;Medium;M44008;x
44009;Chief of Navy;C.J. de la Motte;36;SL;Open Seas Doctrine;Medium;M44007;x
44010;Chief of Air Force;Dario Mujica Gamboa;36;SL;Air Superiority Doctrine;Medium;M44010;x
44031;Head of State;Pedro Aguirre Cerda;38;SD;Benevolent Gentleman;High;M44031;x
44032;Head of State;Antonio J. Rios Morales;42;SD;Weary Stiffneck;High;M44032;x
44033;Head of State;Gabriel Gonzalez Videla;46;SD;Popular Figurehead;High;M44033;x
44035;Head of State;Carlos Ibanez del Campo;46;SC;Resigned Generalissimo;High;M44035;x
44036;Head of State;Carlos Ibanez del Campo;42;PA;Resigned Generalissimo;High;M44035;x
44037;Head of State;J.G. von Mareés;38;FA;Autocratic Charmer;High;M44011;x
44038;Head of State;Marmaduke Grove;38;LE;Barking Buffoon;High;M44021;x
44039;Head of State;Salvador Allende;45;LWR;Die-hard Reformer;High;M44039;x
44040;Head of Government;Pedro Aguirre Cerda;38;SD;Political Protege;High;M44031;x
44041;Head of Government;Antonio J. Rios Morales;42;SD;Flamboyant Tough Guy;High;M44032;x
44042;Head of Government;Gabriel Gonzalez Videla;46;SD;Backroom Backstabber;High;M44033;x
44043;Head of Government;Arturo Alessandri Palma;37;SL;Smiling Oilman;High;M44001;x
44044;Head of Government;Gustavo Ross Santa Maria;38;SC;Naive Optimist;High;M44002;x
44045;Head of Government;Manuel Mora Miranda;42;SC;Happy Amateur;High;M44045;x
44046;Head of Government;Carlos Ibanez del Campo;42;PA;Old General;High;M44035;x
44047;Head of Government;Misael Galleguillos;38;FA;Ambitious Union Boss;High;M44012;x
44048;Head of Government;C.L. Blest Riffo;38;LE;Old Admiral;High;M44022;x
44049;Head of Government;Marmaduke Grove;42;LE;old airmarshal;High;M44021;x
44050;Head of Government;Salvador Allende;45;LWR;Naive Optimist;NA;M44039;x
44051;Foreign Minister;Abraham Ortega Aguayo;38;SD;Iron Fisted Brute;Medium;M44051;x
44052;Foreign Minister;Cristobál Saénz Cerda;40;SD;Apologetic Clerk;Medium;M44052;x
44053;Foreign Minister;Manuel Mora Miranda;40;SD;Great Compromiser;Medium;M44045;x
44054;Foreign Minister;Manuel Bianchi Gúndian;40;SD;Iron Fisted Brute;Medium;M44054;x
44055;Foreign Minister;Luis Alamos Barros;41;SD;Ideological Crusader;High;M44055;x
44056;Foreign Minister;Ernesto Barras Jarpa;42;SD;General Staffer;Medium;M44056;x
44057;Foreign Minister;J. Fernandez y Fernandéz;42;SD;The Cloak N Dagger Schemer;Medium;M44057;x
44058;Foreign Minister;Raúl Juliet Gómez;45;SD;Apologetic Clerk;Medium;M44058;x
44059;Foreign Minister;J.R.Guiterréz Allende;38;SL;Biased Intellectual;High;M44059;x
44060;Foreign Minister;Luis Arteaga Garcia;38;SL;The Cloak N Dagger Schemer;Medium;M44023;x
44061;Foreign Minister;Miguel Cruchaga Tacomal;42;PA;Iron Fisted Brute;Medium;M44003;x
44062;Foreign Minister;Francisco O'Ryan Orrego;42;SC;General Staffer;Medium;M44062;x
44063;Foreign Minister;Carlos D. Soto;43;SC;The Cloak N Dagger Schemer;Medium;M44063;x
44064;Foreign Minister;Luis Renard Valenzuela;46;SC;Apologetic Clerk;High;M44064;x
44065;Foreign Minister;J.G. von Mareés;38;FA;Ideological Crusader;Very Low;M44011;x
44066;Foreign Minister;Luis Arteaga Garcia;38;LE;The Cloak N Dagger Schemer;Medium;M44023;x
44067;Foreign Minister;Fernando Brown Morales;46;LWR;Apologetic Clerk;Medium;M44067;x
44068;Minister of Armament;Carlos Garcia Palacios;38;SD;Theoretical Scientist;High;M44068;x
44069;Minister of Armament;Juan Rios Morales;38;SD;Resource Industrialist;High;M44069;x
44070;Minister of Armament;Luis Alamos Barros;39;SD;Infantry Proponent;High;M44055;x
44071;Minister of Armament;Pedro Aguirre Cerda;40;SD;laissez-faire capitalist;Medium;M44031;x
44072;Minister of Armament;Carlos Fuentes Rabe;41;SD;Military Entrepreneur;High;M44072;x
44073;Minister of Armament;Francisco Walker Linares;42;SD;Tank Proponent;Very High;M44073;x
44074;Minister of Armament;Dario Mujica Gamboa;44;SD;Air Superiority Proponent;Medium;M44010;x
44075;Minister of Armament;Manuel C. Pereira;46;SD;Resource Industrialist;High;M44075;x
44076;Minister of Armament;José Luis Sánchez Besa;37;SL;Air to Ground Proponent;High;M44076;x
44077;Minister of Armament;Cristobál Saénz Cerda;38;SL;Administrative Genius;Medium;M44052;x
44078;Minister of Armament;Enrique Villegas;38;SC;laissez-faire capitalist;High;M44078;x
44079;Minister of Armament;Victor Larens Quijada;39;SC;Submarine Proponent;High;M44079;x
44080;Minister of Armament;Francisco O'Ryan Orrego;43;SC;Battle Fleet Proponent;Medium;M44062;x
44081;Minister of Armament;Misael Galleguillos;46;SC;Corrupt Kleptocrat;Low;M44012;x
44082;Minister of Armament;Gustavo Ross Santa Maria;46;SC;Administrative Genius;Medium;M44002;x
44083;Minister of Armament;Ernesto Barras Jarpa;42;PA;Corrupt Kleptocrat;Medium;M44056;x
44084;Minister of Armament;Manuel Bianchi Gúndian;42;PA;Infantry Proponent;Medium;M44054;x
44086;Minister of Armament;Ramón Callís;38;FA;Infantry Proponent;Low;M44014;x
44087;Minister of Armament;Carlos Puga Monsalve;44;FA;Air to Sea Proponent;High;M44087;x
44088;Minister of Armament;C.L. Blest Riffo;38;LE;Theoretical Scientist;Very Low;M44022;x
44089;Minister of Armament;Augustin Edwards;42;LE;Air Superiority Proponent;Medium;M44089;x
44090;Minister of Armament;Aurelio Celedon Palma;46;LWR;Strategic Air Proponent;High;M44090;x
44091;Minister of Security;Manuel Salinas;38;SD;Silent Lawyer;High;M44091;x
44092;Minister of Security;Manuel Mora Miranda;41;SD;Back Stabber;Medium;M44045;x
44093;Minister of Security;Dario Mujica Gamboa;42;SD;Efficient Sociopath;Medium;M44010;x
44094;Minister of Security;Antonio J. Rios;45;SD;Prince of Terror;High;M44032;x
44095;Minister of Security;Antonio Huneeus;37;SL;Man of the People;High;M44095;x
44096;Minister of Security;Miguel Gonzalez Rios;38;SL;Crooked Kleptocrat;Medium;M44096;x
44097;Minister of Security;Abraham Ortega Aguayo;38;SL;Crime Fighter;Medium;M44051;x
44098;Minister of Security;J.R.Guiterréz Allende;42;SC;Crime Fighter;High;M44059;x
44099;Minister of Security;Manuel Rivas Vicuna;43;SC;Prince of Terror;High;M44099;x
44100;Minister of Security;Ernesto Barras Jarpa;46;SC;Crooked Kleptocrat;Medium;M44056;x
44101;Minister of Security;Carlos Ibanez del Campo;39;PA;Man of the People;Medium;M44035;x
44102;Minister of Security;Vicente Merino Bielich;42;PA;Prince of Terror;Medium;M44102;x
44103;Minister of Security;Carlos Keller;38;FA;Back Stabber;Low;M44015;x
44104;Minister of Security;Marmaduke Grove;38;LE;Man of the People;Medium;M44021;x
44105;Minister of Security;Cristobál Saénz Cerda;45;LWR;Prince of Terror;Medium;M44052;x
44106;Head of Military Intelligence;Federico Escamante;38;SD;Logistics Specialist;Medium;M44106;x
44108;Head of Military Intelligence;Juan Rios Morales;41;SD;Dismal Enigma;High;M44069;x
44109;Head of Military Intelligence;Eduardo Hillman;42;SD;Naval Intelligence Specialist;High;M44004;x
44110;Head of Military Intelligence;Salvador Allende;43;SD;Industrial Specialist;Low;M44039;x
44111;Head of Military Intelligence;Dario Mujica Gamboa;46;SD;Technical Specialist;Medium;M44010;x
44112;Head of Military Intelligence;Carlos Fuentes Rabe;38;SL;Industrial Specialist;High;M44072;x
44113;Head of Military Intelligence;Carlos Puga Monsalve;40;SL;Technical Specialist;High;M44087;x
44114;Head of Military Intelligence;Victor Larens Quijada;42;SC;Naval Intelligence Specialist;High;M44079;x
44115;Head of Military Intelligence;Federico Claude;43;SL;Industrial Specialist;High;M44115;x
44116;Head of Military Intelligence;Dario Cellejas Rojas;46;SC;Logistics Specialist;Medium;M44116;x
44117;Head of Military Intelligence;Ariosto Herrera;38;FA;Logistics Specialist;High;M44016;x
44118;Head of Military Intelligence;Pietro Campos Valenzana;44;PA;Industrial Specialist;High;M44118;x
44119;Head of Military Intelligence;Julio Allard Pinto;38;LE;Political Specialist;Medium;M44006;x
44121;Chief of Staff;Ernesto M. Orlando;38;SD;School of Mass Combat;High;M44121;x
44122;Chief of Staff;Arturo Espinoza Mujica;45;SC;School of Fire Support;High;M44122;x
44123;Chief of Staff;Carlos Puga Monsalve;38;SL;School of Mass Combat;High;M44087;x
44124;Chief of Staff;Dario Cellejas Rojas;42;SC;School of Psychology;Medium;M44116;x
44125;Chief of Staff;Raul Array Stiglich;44;SC;School of Manoeuvre;Medium;M44125;x
44126;Chief of Staff;Luis Vidal Vargas;46;SC;School of Fire Support;Medium;M44126;x
44127;Chief of Staff;E. Novoa Fuentes;42;PA;School of Defence;Medium;M44008;x
44128;Chief of Staff;Diaz Valderrama;38;FA;School of Defence;Very Low;M44017;x
44129;Chief of Staff;Gustavo Silva;38;LE;School of Manoeuvre;Medium;M44027;x
44130;Chief of Army;Luis Otero Mujica;38;SD;Armoured Spearhead Doctrine;High;M44130;x
44131;Chief of Army;Salvador Arron Galvéz;44;SD;Guns and Butter Doctrine;High;M44131;x
44132;Chief of Army;Carlos Fuentes Rabe;38;SL;Decisive Battle Doctrine;High;M44072;x
44133;Chief of Army;Arturo Espinoza Mujica;43;SC;Static Defence Doctrine;High;M44122;x
44134;Chief of Army;Oscar Izurieta Molina;46;SC;Guns and Butter Doctrine;Medium;M44134;x
44135;Chief of Army;Rafael Fernandez Reyes;42;PA;Elastic Defence Doctrine;Medium;M44135;x
44136;Chief of Army;Diaz Valderrama;38;FA;Static Defence Doctrine;Medium;M44017;x
44137;Chief of Army;Julio Allard Pinto;38;LE;Elastic Defence Doctrine;Medium;M44006;x
44138;Chief of Navy;Juan Rodriguez;38;SD;Open Seas Doctrine;Medium;M44138;x
44139;Chief of Navy;Julio Gerken Mahn;44;SD;Power Projection Doctrine;Medium;M44139;x
44140;Chief of Navy;Francisco O'Ryan Orrego;38;SL;Decisive Naval Battle Doctrine;Medium;M44062;x
44142;Chief of Navy;Gaston Kulzcewski Garcia;46;SC;Base Control Doctrine;Medium;M44142;x
44144;Chief of Navy;Hernan Sarratea;38;FA;Decisive Naval Battle Doctrine;Medium;M44019;x
44145;Chief of Navy;Gustavo Silva;38;LE;Indirect Approach Doctrine;Medium;M44027;x
44146;Chief of Air Force;Diego Aracena;38;SD;Air Superiority Doctrine;Medium;M44146;x
44147;Chief of Air Force;Raúl Gonzalez Nolle;46;SL;Army Aviation Doctrine;Medium;M44147;x
44148;Chief of Air Force;José Luis Sánchez Besa;37;SL;Carpet Bombing Doctrine;High;M44076;x
44149;Chief of Air Force;Ismael Sarazua Teran;42;SC;Vertical Envelopment Doctrine;High;M44149;x
44150;Chief of Air Force;Manuel Tovarias;46;SC;Army Aviation Doctrine;Low;M44150;x
44151;Chief of Air Force;Ariosto Herrera;38;FA;Air Superiority Doctrine;Very High;M44016;x
44152;Chief of Air Force;Marmaduke Grove;38;LE;Naval Aviation Doctrine;Very Low;M44021;x
44153;Chief of Air Force;Gustavo Silva;45;LWR;Army Aviation Doctrine;Medium;M44027;x
44154;Head of State;Gustavo Ross Santa Maria;38;SC;Popular Figurehead;High;M44002;x
44155;Head of State;Manuel Mora Miranda;42;SC;Insignificant Layman;High;M44045;x
44156;Head of Government;Carlos Ibanez del Campo;46;SC;Old General;High;M44035;x
44157;Head of State;Jeronimo Mendez Arancíbia;41;SD;Stern Imperialist;High;M44157;x
44158;Head of Government;Jeronimo Mendez Arancíbia;41;SD;Silent Workhorse;High;M44157;x
44159;Head of State;Alfredo Duhalde Vasquez;46;SD;Pig-headed Isolationist;High;M44159;x
44160;Head of Government;Alfredo Duhalde Vasquez;46;SD;Naive Optimist;High;M44159;x
44161;Head of State;Misael Galleguillos;44;FA;Insignificant Layman;High;M44012;x
44162;Head of State;Miguel Cruchaga Tacomal;38;SL;Autocratic Charmer;Medium;M44003;x
44163;Head of Government;Miguel Cruchaga Tacomal;38;SL;Naive Optimist;Medium;M44003;x
44164;Head of Government;Jorge Alessandri Rodriguez;52;SC;Corporate Suit;High;M44164;x
