CMB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
541001;Head of State;H.M. Sisowath Monivong;36;SL;Benevolent Gentleman;High;M541001;x
541002;Head of Government;Leon E. Thibeaudeau;36;SL;Old Admiral;High;M541002;x
541003;Foreign Minister;Sisowath Monipong;36;SL;Great Compromiser;High;M541003;x
541004;Minister of Armament;Sisowath Monireth;36;SL;Infantry Proponent;Medium;M541004;x
541005;Minister of Security;Sisowath Youtevong;36;SL;Silent Lawyer;Medium;M541005;x
541006;Head of Military Intelligence;Son Ngoc Thanh;36;SL;Industrial Specialist;Medium;M541006;x
541007;Chief of Staff;Georges A.L. Gauthier;36;SL;School of Defence;Medium;M541007;x
541008;Chief of Army;Maurice de Roussac Salcién;36;SL;Static Defence Doctrine;Medium;M541008;x
541009;Chief of Navy;Leon E. Thibeaudeau;36;SL;Indirect Approach Doctrine;Medium;M541002;x
541010;Chief of Air Force;Georges A.L. Gauthier;36;SL;Vertical Envelopment Doctrine;Medium;M541007;x
541011;Head of State;H.M. Norodom Sihanouk;41;SL;Ruthless Powermonger;High;M541011;x
541012;Head of State;Norodom Suramarit;36;SC;Barking Buffoon;High;M541012;x
541013;Head of State;Sisowath Monipong;36;PA;Popular Figurehead;High;M541003;x
541014;Head of State;Pol Pot;36;ST;Powerhungry Demagogue;High;M541014;x
541015;Head of Government;Georges A.L. Gauthier;43;SL;old airmarshal;High;M541007;x
541016;Head of Government;Son Ngoc Thanh;45;SL;Ambitious Union Boss;High;M541006;x
541017;Head of Government;Sisowath Monireth;45;SL;Political Protege;High;M541004;x
541018;Head of Government;Sisowath Youtevong;46;SL;Naive Optimist;High;M541005;x
541019;Head of Government;Sisowath Watchayavong;47;SL;Corporate Suit;High;M541019;x
541020;Head of Government;Son Sann;36;SC;Silent Workhorse;High;M541020;x
541021;Head of Government;Sisowath Sirik Matak;36;PA;Happy Amateur;High;M541021;x
541022;Head of Government;Khieu Samphan;36;ST;Smiling Oilman;High;M541022;x
541023;Foreign Minister;Sisowath Monirak;42;SL;Iron Fisted Brute;High;M541023;x
541024;Foreign Minister;Leonel de Moustier;36;SC;Apologetic Clerk;High;M541024;x
541025;Foreign Minister;Phan Sina;44;SC;Ideological Crusader;High;M541025;x
541026;Foreign Minister;Krisan Cheda;36;PA;General Staffer;High;M541026;x
